,강원도 동해시,강원도 동해시 천곡동,강원도 동해시 송정동,강원도 동해시 북삼동,강원도 동해시 부곡동,강원도 동해시 동호동,강원도 동해시 발한동,강원도 동해시 묵호동,강원도 동해시 북평동,강원도 동해시 망상동,강원도 동해시 삼화동
2021년05월_계_총인구수,"89,968","30,478","3,836","19,752","5,011","5,130","3,429","3,142","12,803","3,535","2,852"
2021년05월_계_연령구간인구수,"89,968","30,478","3,836","19,752","5,011","5,130","3,429","3,142","12,803","3,535","2,852"
2021년05월_계_0~9세,"6,469","2,686",140,"1,505",179,288,103,91,"1,226",165,86
2021년05월_계_10~19세,"8,622","3,228",216,"2,559",330,435,159,165,"1,168",188,174
2021년05월_계_20~29세,"9,324","3,377",524,"2,292",444,489,256,197,"1,280",257,208
2021년05월_계_30~39세,"8,898","3,540",281,"1,953",348,413,195,174,"1,537",269,188
2021년05월_계_40~49세,"14,365","5,093",508,"3,766",663,721,419,397,"2,054",432,312
2021년05월_계_50~59세,"15,589","5,068",661,"3,564",910,937,556,516,"2,181",622,574
2021년05월_계_60~69세,"14,289","4,586",722,"2,321","1,085",918,801,694,"1,813",729,620
2021년05월_계_70~79세,"7,975","1,933",459,"1,182",715,640,602,566,939,517,422
2021년05월_계_80~89세,"3,897",834,278,539,298,267,297,321,524,309,230
2021년05월_계_90~99세,528,133,46,71,38,20,39,20,79,46,36
2021년05월_계_100세 이상,12,0,1,0,1,2,2,1,2,1,2
2021년05월_남_총인구수,"45,667","15,164","2,088","10,227","2,450","2,599","1,739","1,558","6,575","1,768","1,499"
2021년05월_남_연령구간인구수,"45,667","15,164","2,088","10,227","2,450","2,599","1,739","1,558","6,575","1,768","1,499"
2021년05월_남_0~9세,"3,316","1,380",66,771,100,143,52,52,628,80,44
2021년05월_남_10~19세,"4,494","1,621",125,"1,373",178,228,82,90,603,99,95
2021년05월_남_20~29세,"5,494","1,947",359,"1,375",246,279,158,104,739,152,135
2021년05월_남_30~39세,"4,763","1,865",163,"1,043",176,219,125,101,806,146,119
2021년05월_남_40~49세,"7,477","2,511",302,"1,858",365,420,253,237,"1,090",255,186
2021년05월_남_50~59세,"8,087","2,427",370,"1,906",449,493,308,296,"1,164",327,347
2021년05월_남_60~69세,"6,912","2,193",363,"1,130",514,430,370,321,906,368,317
2021년05월_남_70~79세,"3,615",905,220,547,311,282,280,222,447,230,171
2021년05월_남_80~89세,"1,410",287,109,211,106,99,101,130,183,105,79
2021년05월_남_90~99세,97,28,11,13,5,5,10,5,9,6,5
2021년05월_남_100세 이상,2,0,0,0,0,1,0,0,0,0,1
2021년05월_여_총인구수,"44,301","15,314","1,748","9,525","2,561","2,531","1,690","1,584","6,228","1,767","1,353"
2021년05월_여_연령구간인구수,"44,301","15,314","1,748","9,525","2,561","2,531","1,690","1,584","6,228","1,767","1,353"
2021년05월_여_0~9세,"3,153","1,306",74,734,79,145,51,39,598,85,42
2021년05월_여_10~19세,"4,128","1,607",91,"1,186",152,207,77,75,565,89,79
2021년05월_여_20~29세,"3,830","1,430",165,917,198,210,98,93,541,105,73
2021년05월_여_30~39세,"4,135","1,675",118,910,172,194,70,73,731,123,69
2021년05월_여_40~49세,"6,888","2,582",206,"1,908",298,301,166,160,964,177,126
2021년05월_여_50~59세,"7,502","2,641",291,"1,658",461,444,248,220,"1,017",295,227
2021년05월_여_60~69세,"7,377","2,393",359,"1,191",571,488,431,373,907,361,303
2021년05월_여_70~79세,"4,360","1,028",239,635,404,358,322,344,492,287,251
2021년05월_여_80~89세,"2,487",547,169,328,192,168,196,191,341,204,151
2021년05월_여_90~99세,431,105,35,58,33,15,29,15,70,40,31
2021년05월_여_100세 이상,10,0,1,0,1,1,2,1,2,1,1
