카테고리,충청북도 증평군,충청북도 증평군 증평읍,충청북도 증평군 도안면
2021년02월_계_총인구수,"36,685","34,817","1,868"
2021년02월_계_연령구간인구수,"36,685","34,817","1,868"
2021년02월_계_0~9세,"3,146","3,108",38
2021년02월_계_10~19세,"3,349","3,271",78
2021년02월_계_20~29세,"4,483","4,363",120
2021년02월_계_30~39세,"4,660","4,562",98
2021년02월_계_40~49세,"5,572","5,377",195
2021년02월_계_50~59세,"6,042","5,711",331
2021년02월_계_60~69세,"5,060","4,576",484
2021년02월_계_70~79세,"2,685","2,405",280
2021년02월_계_80~89세,"1,498","1,285",213
2021년02월_계_90~99세,180,150,30
2021년02월_계_100세 이상,10,9,1
2021년02월_남_총인구수,"19,080","18,099",981
2021년02월_남_연령구간인구수,"19,080","18,099",981
2021년02월_남_0~9세,"1,622","1,599",23
2021년02월_남_10~19세,"1,744","1,711",33
2021년02월_남_20~29세,"2,616","2,543",73
2021년02월_남_30~39세,"2,601","2,544",57
2021년02월_남_40~49세,"3,015","2,890",125
2021년02월_남_50~59세,"3,186","2,998",188
2021년02월_남_60~69세,"2,530","2,265",265
2021년02월_남_70~79세,"1,208","1,072",136
2021년02월_남_80~89세,509,439,70
2021년02월_남_90~99세,45,35,10
2021년02월_남_100세 이상,4,3,1
2021년02월_여_총인구수,"17,605","16,718",887
2021년02월_여_연령구간인구수,"17,605","16,718",887
2021년02월_여_0~9세,"1,524","1,509",15
2021년02월_여_10~19세,"1,605","1,560",45
2021년02월_여_20~29세,"1,867","1,820",47
2021년02월_여_30~39세,"2,059","2,018",41
2021년02월_여_40~49세,"2,557","2,487",70
2021년02월_여_50~59세,"2,856","2,713",143
2021년02월_여_60~69세,"2,530","2,311",219
2021년02월_여_70~79세,"1,477","1,333",144
2021년02월_여_80~89세,989,846,143
2021년02월_여_90~99세,135,115,20
2021년02월_여_100세 이상,6,6,0
