카테고리,경상북도 군위군,경상북도 군위군 군위읍,경상북도 군위군 소보면,경상북도 군위군 효령면,경상북도 군위군 부계면,경상북도 군위군 우보면,경상북도 군위군 의흥면,경상북도 군위군 산성면,경상북도 군위군 고로면
2020년06월_계_총인구수,"23,451","8,268","2,289","3,800","2,047","2,053","2,431","1,207","1,356"
2020년06월_계_연령구간인구수,"23,451","8,268","2,289","3,800","2,047","2,053","2,431","1,207","1,356"
2020년06월_계_0~9세,721,449,37,91,38,24,47,17,18
2020년06월_계_10~19세,985,587,53,134,53,49,64,24,21
2020년06월_계_20~29세,"1,574",733,110,274,144,113,110,29,61
2020년06월_계_30~39세,"1,390",675,110,192,100,89,112,56,56
2020년06월_계_40~49세,"2,229","1,108",148,317,154,156,183,80,83
2020년06월_계_50~59세,"4,367","1,512",448,726,418,370,411,219,263
2020년06월_계_60~69세,"5,213","1,441",526,944,498,508,598,308,390
2020년06월_계_70~79세,"4,050","1,059",456,686,364,407,521,268,289
2020년06월_계_80~89세,"2,588",616,353,399,240,305,342,183,150
2020년06월_계_90~99세,318,81,46,36,38,29,40,23,25
2020년06월_계_100세 이상,16,7,2,1,0,3,3,0,0
2020년06월_남_총인구수,"11,971","4,286","1,159","1,948","1,045","1,031","1,178",611,713
2020년06월_남_연령구간인구수,"11,971","4,286","1,159","1,948","1,045","1,031","1,178",611,713
2020년06월_남_0~9세,388,248,17,50,23,13,14,11,12
2020년06월_남_10~19세,538,329,30,60,33,25,36,12,13
2020년06월_남_20~29세,953,437,64,171,92,66,65,21,37
2020년06월_남_30~39세,783,364,62,99,63,55,64,39,37
2020년06월_남_40~49세,"1,316",603,95,200,89,106,119,54,50
2020년06월_남_50~59세,"2,460",837,256,405,242,205,228,136,151
2020년06월_남_60~69세,"2,718",740,278,510,248,265,292,156,229
2020년06월_남_70~79세,"1,863",493,212,320,162,185,236,121,134
2020년06월_남_80~89세,886,216,134,127,84,103,117,56,49
2020년06월_남_90~99세,65,18,11,6,9,8,7,5,1
2020년06월_남_100세 이상,1,1,0,0,0,0,0,0,0
2020년06월_여_총인구수,"11,480","3,982","1,130","1,852","1,002","1,022","1,253",596,643
2020년06월_여_연령구간인구수,"11,480","3,982","1,130","1,852","1,002","1,022","1,253",596,643
2020년06월_여_0~9세,333,201,20,41,15,11,33,6,6
2020년06월_여_10~19세,447,258,23,74,20,24,28,12,8
2020년06월_여_20~29세,621,296,46,103,52,47,45,8,24
2020년06월_여_30~39세,607,311,48,93,37,34,48,17,19
2020년06월_여_40~49세,913,505,53,117,65,50,64,26,33
2020년06월_여_50~59세,"1,907",675,192,321,176,165,183,83,112
2020년06월_여_60~69세,"2,495",701,248,434,250,243,306,152,161
2020년06월_여_70~79세,"2,187",566,244,366,202,222,285,147,155
2020년06월_여_80~89세,"1,702",400,219,272,156,202,225,127,101
2020년06월_여_90~99세,253,63,35,30,29,21,33,18,24
2020년06월_여_100세 이상,15,6,2,1,0,3,3,0,0
