,충청남도 당진시,충청남도 당진시 합덕읍,충청남도 당진시 송악읍,충청남도 당진시 고대면,충청남도 당진시 석문면,충청남도 당진시 대호지면,충청남도 당진시 정미면,충청남도 당진시 면천면,충청남도 당진시 순성면,충청남도 당진시 우강면,충청남도 당진시 신평면,충청남도 당진시 송산면,충청남도 당진시 당진1동,충청남도 당진시 당진2동,충청남도 당진시 당진3동
2021년11월_계_총인구수,"166,989","8,735","30,428","5,301","9,689","2,404","3,593","3,515","5,026","5,239","15,427","11,774","24,741","23,201","17,916"
2021년11월_계_연령구간인구수,"166,989","8,735","30,428","5,301","9,689","2,404","3,593","3,515","5,026","5,239","15,427","11,774","24,741","23,201","17,916"
2021년11월_계_0~9세,"14,599",289,"3,733",137,380,63,98,86,157,188,"1,309","1,030","2,382","2,919","1,828"
2021년11월_계_10~19세,"15,827",540,"2,732",274,462,83,170,179,297,317,"1,816","1,014","2,592","2,668","2,683"
2021년11월_계_20~29세,"15,779",615,"2,235",369,898,128,277,213,334,400,"1,359",981,"3,398","2,430","2,142"
2021년11월_계_30~39세,"21,777",650,"5,130",274,"1,059",129,210,222,258,311,"1,467","1,817","4,363","3,632","2,255"
2021년11월_계_40~49세,"26,948","1,057","5,557",501,"1,331",184,293,341,487,586,"2,552","2,044","4,388","4,124","3,503"
2021년11월_계_50~59세,"26,569","1,495","4,619",915,"1,990",344,588,634,926,871,"2,512","1,907","3,554","3,333","2,881"
2021년11월_계_60~69세,"22,614","1,838","3,511","1,259","1,843",631,868,851,"1,107","1,125","2,182","1,500","2,260","2,226","1,413"
2021년11월_계_70~79세,"13,383","1,284","1,742",866,997,485,610,576,783,819,"1,331",841,"1,177","1,149",723
2021년11월_계_80~89세,"8,248",829,"1,022",610,636,309,410,342,582,551,786,556,552,640,423
2021년11월_계_90~99세,"1,209",131,146,91,90,46,68,71,91,71,110,80,73,78,63
2021년11월_계_100세 이상,36,7,1,5,3,2,1,0,4,0,3,4,2,2,2
2021년11월_남_총인구수,"88,885","4,611","16,873","2,720","5,741","1,212","1,841","1,809","2,534","2,623","7,862","6,758","13,211","11,842","9,248"
2021년11월_남_연령구간인구수,"88,885","4,611","16,873","2,720","5,741","1,212","1,841","1,809","2,534","2,623","7,862","6,758","13,211","11,842","9,248"
2021년11월_남_0~9세,"7,419",157,"1,915",73,193,38,41,40,69,86,667,503,"1,200","1,511",926
2021년11월_남_10~19세,"8,321",305,"1,446",141,252,45,83,99,162,173,926,531,"1,345","1,397","1,416"
2021년11월_남_20~29세,"9,228",367,"1,314",211,618,81,166,131,188,237,775,621,"1,982","1,300","1,237"
2021년11월_남_30~39세,"12,502",411,"2,879",156,731,79,129,128,153,180,759,"1,199","2,573","1,916","1,209"
2021년11월_남_40~49세,"15,147",640,"3,374",287,921,116,169,201,283,337,"1,348","1,284","2,357","2,123","1,707"
2021년11월_남_50~59세,"15,049",868,"2,792",534,"1,264",183,325,349,510,474,"1,401","1,186","1,869","1,753","1,541"
2021년11월_남_60~69세,"11,656",908,"1,909",643,"1,046",314,455,433,558,568,"1,081",816,"1,143","1,081",701
2021년11월_남_70~79세,"6,317",605,848,419,470,230,301,298,386,365,604,384,524,532,351
2021년11월_남_80~89세,"2,942",312,358,232,227,115,160,113,198,182,276,213,197,220,139
2021년11월_남_90~99세,302,38,38,24,19,11,12,17,27,21,24,21,21,9,20
2021년11월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2021년11월_여_총인구수,"78,104","4,124","13,555","2,581","3,948","1,192","1,752","1,706","2,492","2,616","7,565","5,016","11,530","11,359","8,668"
2021년11월_여_연령구간인구수,"78,104","4,124","13,555","2,581","3,948","1,192","1,752","1,706","2,492","2,616","7,565","5,016","11,530","11,359","8,668"
2021년11월_여_0~9세,"7,180",132,"1,818",64,187,25,57,46,88,102,642,527,"1,182","1,408",902
2021년11월_여_10~19세,"7,506",235,"1,286",133,210,38,87,80,135,144,890,483,"1,247","1,271","1,267"
2021년11월_여_20~29세,"6,551",248,921,158,280,47,111,82,146,163,584,360,"1,416","1,130",905
2021년11월_여_30~39세,"9,275",239,"2,251",118,328,50,81,94,105,131,708,618,"1,790","1,716","1,046"
2021년11월_여_40~49세,"11,801",417,"2,183",214,410,68,124,140,204,249,"1,204",760,"2,031","2,001","1,796"
2021년11월_여_50~59세,"11,520",627,"1,827",381,726,161,263,285,416,397,"1,111",721,"1,685","1,580","1,340"
2021년11월_여_60~69세,"10,958",930,"1,602",616,797,317,413,418,549,557,"1,101",684,"1,117","1,145",712
2021년11월_여_70~79세,"7,066",679,894,447,527,255,309,278,397,454,727,457,653,617,372
2021년11월_여_80~89세,"5,306",517,664,378,409,194,250,229,384,369,510,343,355,420,284
2021년11월_여_90~99세,907,93,108,67,71,35,56,54,64,50,86,59,52,69,43
2021년11월_여_100세 이상,34,7,1,5,3,2,1,0,4,0,2,4,2,2,1
