,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년06월_계_총인구수,"185,305","58,071","5,485","7,568","3,425","5,685","15,645","5,264","6,249","7,662","6,886","3,789","1,953","12,614","22,778","22,231"
2020년06월_계_연령구간인구수,"185,305","58,071","5,485","7,568","3,425","5,685","15,645","5,264","6,249","7,662","6,886","3,789","1,953","12,614","22,778","22,231"
2020년06월_계_0~9세,"14,484","6,136",185,460,90,239,"1,516",154,408,299,247,93,52,742,"2,119","1,744"
2020년06월_계_10~19세,"18,483","7,489",313,686,153,274,"1,182",276,411,507,390,449,82,"1,099","2,563","2,609"
2020년06월_계_20~29세,"22,027","6,621",526,723,302,524,"2,105",469,763,657,698,429,187,"1,623","3,131","3,269"
2020년06월_계_30~39세,"23,199","8,421",436,701,271,528,"2,736",399,876,648,574,286,154,"1,421","3,061","2,687"
2020년06월_계_40~49세,"30,104","11,856",578,"1,114",360,705,"2,539",573,889,855,809,347,192,"1,785","3,964","3,538"
2020년06월_계_50~59세,"31,066","8,380","1,081","1,335",701,"1,084","2,401","1,071","1,192","1,450","1,436",659,379,"2,272","3,689","3,936"
2020년06월_계_60~69세,"24,065","4,995","1,132","1,329",731,"1,142","1,761","1,136",920,"1,623","1,347",744,448,"1,918","2,407","2,432"
2020년06월_계_70~79세,"13,456","2,761",719,702,472,690,896,652,487,957,835,476,260,"1,086","1,186","1,277"
2020년06월_계_80~89세,"7,384","1,257",452,450,308,440,446,436,260,577,501,284,172,576,579,646
2020년06월_계_90~99세,981,149,58,65,35,54,59,95,40,83,44,21,26,85,77,90
2020년06월_계_100세 이상,56,6,5,3,2,5,4,3,3,6,5,1,1,7,2,3
2020년06월_남_총인구수,"95,447","29,241","2,900","3,803","1,803","3,073","8,702","2,763","3,496","4,008","3,653","2,008","1,010","6,331","11,484","11,172"
2020년06월_남_연령구간인구수,"95,447","29,241","2,900","3,803","1,803","3,073","8,702","2,763","3,496","4,008","3,653","2,008","1,010","6,331","11,484","11,172"
2020년06월_남_0~9세,"7,435","3,084",101,251,57,132,810,81,226,146,118,51,28,358,"1,090",902
2020년06월_남_10~19세,"9,665","3,892",181,350,85,143,594,131,240,304,200,231,45,557,"1,344","1,368"
2020년06월_남_20~29세,"12,118","3,489",311,390,184,330,"1,201",286,470,359,402,236,102,875,"1,681","1,802"
2020년06월_남_30~39세,"12,637","4,370",269,367,158,331,"1,595",235,529,399,342,192,93,776,"1,563","1,418"
2020년06월_남_40~49세,"16,090","6,068",344,596,216,439,"1,555",340,551,491,479,209,114,934,"2,057","1,697"
2020년06월_남_50~59세,"16,446","4,351",597,687,391,576,"1,391",609,646,783,817,360,200,"1,154","1,888","1,996"
2020년06월_남_60~69세,"12,094","2,325",603,686,373,618,931,605,495,829,713,390,226,936,"1,159","1,205"
2020년06월_남_70~79세,"6,132","1,208",320,304,214,335,441,311,234,467,391,230,131,495,511,540
2020년06월_남_80~89세,"2,617",417,165,161,116,157,173,151,91,211,180,107,66,225,172,225
2020년06월_남_90~99세,201,36,9,10,8,11,10,14,13,17,10,2,5,19,18,19
2020년06월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년06월_여_총인구수,"89,858","28,830","2,585","3,765","1,622","2,612","6,943","2,501","2,753","3,654","3,233","1,781",943,"6,283","11,294","11,059"
2020년06월_여_연령구간인구수,"89,858","28,830","2,585","3,765","1,622","2,612","6,943","2,501","2,753","3,654","3,233","1,781",943,"6,283","11,294","11,059"
2020년06월_여_0~9세,"7,049","3,052",84,209,33,107,706,73,182,153,129,42,24,384,"1,029",842
2020년06월_여_10~19세,"8,818","3,597",132,336,68,131,588,145,171,203,190,218,37,542,"1,219","1,241"
2020년06월_여_20~29세,"9,909","3,132",215,333,118,194,904,183,293,298,296,193,85,748,"1,450","1,467"
2020년06월_여_30~39세,"10,562","4,051",167,334,113,197,"1,141",164,347,249,232,94,61,645,"1,498","1,269"
2020년06월_여_40~49세,"14,014","5,788",234,518,144,266,984,233,338,364,330,138,78,851,"1,907","1,841"
2020년06월_여_50~59세,"14,620","4,029",484,648,310,508,"1,010",462,546,667,619,299,179,"1,118","1,801","1,940"
2020년06월_여_60~69세,"11,971","2,670",529,643,358,524,830,531,425,794,634,354,222,982,"1,248","1,227"
2020년06월_여_70~79세,"7,324","1,553",399,398,258,355,455,341,253,490,444,246,129,591,675,737
2020년06월_여_80~89세,"4,767",840,287,289,192,283,273,285,169,366,321,177,106,351,407,421
2020년06월_여_90~99세,780,113,49,55,27,43,49,81,27,66,34,19,21,66,59,71
2020년06월_여_100세 이상,44,5,5,2,1,4,3,3,2,4,4,1,1,5,1,3
