,경기도 여주시,경기도 여주시 가남읍,경기도 여주시 점동면,경기도 여주시 흥천면,경기도 여주시 금사면,경기도 여주시 능서면,경기도 여주시 대신면,경기도 여주시 북내면,경기도 여주시 강천면,경기도 여주시 산북면,경기도 여주시 여흥동,경기도 여주시 중앙동,경기도 여주시 오학동
2021년06월_계_총인구수,"112,177","15,438","4,705","5,103","2,986","6,301","6,992","4,899","4,218","2,627","21,708","18,570","18,630"
2021년06월_계_연령구간인구수,"112,177","15,438","4,705","5,103","2,986","6,301","6,992","4,899","4,218","2,627","21,708","18,570","18,630"
2021년06월_계_0~9세,"7,167",961,199,174,90,270,202,153,139,115,"1,465","1,343","2,056"
2021년06월_계_10~19세,"9,518","1,261",248,270,139,423,410,332,265,207,"1,958","2,151","1,854"
2021년06월_계_20~29세,"12,200","1,650",443,399,232,538,625,420,338,219,"2,787","2,440","2,109"
2021년06월_계_30~39세,"11,308","1,751",291,361,182,464,428,293,300,183,"2,423","1,966","2,666"
2021년06월_계_40~49세,"15,816","2,199",407,517,261,687,661,568,454,259,"3,452","3,062","3,289"
2021년06월_계_50~59세,"20,018","2,795",861,919,558,"1,077","1,273",977,880,436,"3,850","3,343","3,049"
2021년06월_계_60~69세,"19,561","2,643","1,126","1,272",791,"1,430","1,689","1,069",939,618,"3,337","2,508","2,139"
2021년06월_계_70~79세,"10,212","1,353",672,728,460,814,982,619,551,360,"1,560","1,145",968
2021년06월_계_80~89세,"5,487",716,396,389,228,514,621,402,285,201,763,531,441
2021년06월_계_90~99세,861,105,58,72,45,83,99,65,67,28,106,77,56
2021년06월_계_100세 이상,29,4,4,2,0,1,2,1,0,1,7,4,3
2021년06월_남_총인구수,"57,050","8,007","2,439","2,668","1,554","3,243","3,654","2,537","2,189","1,334","10,841","9,314","9,270"
2021년06월_남_연령구간인구수,"57,050","8,007","2,439","2,668","1,554","3,243","3,654","2,537","2,189","1,334","10,841","9,314","9,270"
2021년06월_남_0~9세,"3,691",472,114,96,46,127,100,80,67,52,764,701,"1,072"
2021년06월_남_10~19세,"4,910",654,139,146,63,213,233,192,138,110,"1,001","1,095",926
2021년06월_남_20~29세,"6,683",917,259,229,153,301,378,234,201,120,"1,487","1,303","1,101"
2021년06월_남_30~39세,"5,970",985,160,209,97,248,252,160,156,103,"1,235","1,023","1,342"
2021년06월_남_40~49세,"8,191","1,176",228,281,150,409,367,297,253,143,"1,739","1,502","1,646"
2021년06월_남_50~59세,"10,498","1,510",460,504,298,605,684,563,493,226,"1,924","1,741","1,490"
2021년06월_남_60~69세,"9,961","1,335",575,665,422,747,909,563,470,318,"1,664","1,226","1,067"
2021년06월_남_70~79세,"4,892",658,349,367,227,400,456,280,281,170,726,519,459
2021년06월_남_80~89세,"2,049",270,138,153,91,176,240,151,120,84,278,191,157
2021년06월_남_90~99세,198,27,16,18,7,16,35,17,10,7,22,13,10
2021년06월_남_100세 이상,7,3,1,0,0,1,0,0,0,1,1,0,0
2021년06월_여_총인구수,"55,127","7,431","2,266","2,435","1,432","3,058","3,338","2,362","2,029","1,293","10,867","9,256","9,360"
2021년06월_여_연령구간인구수,"55,127","7,431","2,266","2,435","1,432","3,058","3,338","2,362","2,029","1,293","10,867","9,256","9,360"
2021년06월_여_0~9세,"3,476",489,85,78,44,143,102,73,72,63,701,642,984
2021년06월_여_10~19세,"4,608",607,109,124,76,210,177,140,127,97,957,"1,056",928
2021년06월_여_20~29세,"5,517",733,184,170,79,237,247,186,137,99,"1,300","1,137","1,008"
2021년06월_여_30~39세,"5,338",766,131,152,85,216,176,133,144,80,"1,188",943,"1,324"
2021년06월_여_40~49세,"7,625","1,023",179,236,111,278,294,271,201,116,"1,713","1,560","1,643"
2021년06월_여_50~59세,"9,520","1,285",401,415,260,472,589,414,387,210,"1,926","1,602","1,559"
2021년06월_여_60~69세,"9,600","1,308",551,607,369,683,780,506,469,300,"1,673","1,282","1,072"
2021년06월_여_70~79세,"5,320",695,323,361,233,414,526,339,270,190,834,626,509
2021년06월_여_80~89세,"3,438",446,258,236,137,338,381,251,165,117,485,340,284
2021년06월_여_90~99세,663,78,42,54,38,67,64,48,57,21,84,64,46
2021년06월_여_100세 이상,22,1,3,2,0,0,2,1,0,0,6,4,3
