,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년09월_계_총인구수,"347,621","8,123","4,015","8,751","2,203","1,892","2,577","1,566","1,476","1,437","3,197","20,998","4,672","1,575","4,015","1,041","2,204","27,755","10,482","10,954","13,940","19,381","24,331","11,611","26,849","27,485","11,634","11,939","21,083","27,600","32,835"
2021년09월_계_연령구간인구수,"347,621","8,123","4,015","8,751","2,203","1,892","2,577","1,566","1,476","1,437","3,197","20,998","4,672","1,575","4,015","1,041","2,204","27,755","10,482","10,954","13,940","19,381","24,331","11,611","26,849","27,485","11,634","11,939","21,083","27,600","32,835"
2021년09월_계_0~9세,"27,179",610,326,986,36,43,96,21,28,39,50,"2,063",219,16,126,23,51,"1,504",411,307,529,905,"1,267",693,"3,233","1,998",616,631,"2,286","2,393","5,673"
2021년09월_계_10~19세,"34,766",632,447,523,103,47,182,42,47,69,129,"2,727",407,46,192,42,89,"2,443",698,636,"1,027","1,563","2,370","1,025","4,000","3,391","1,088","1,231","2,987","2,582","4,001"
2021년09월_계_20~29세,"44,962",771,426,"1,096",135,120,207,68,56,98,198,"2,297",411,75,324,94,142,"4,333","1,433","1,064","1,805","2,859","3,694","1,491","3,291","4,085","1,564","1,516","2,325","5,597","3,387"
2021년09월_계_30~39세,"40,942",887,395,"1,725",120,120,163,60,75,60,147,"2,373",360,54,221,47,102,"2,690","1,113",817,"1,232","1,972","2,455","1,363","3,617","2,984","1,141","1,075","2,368","4,242","6,964"
2021년09월_계_40~49세,"53,441","1,005",642,"1,200",180,138,266,94,142,137,251,"3,675",620,98,415,87,198,"3,872","1,500","1,306","1,804","2,703","3,517","1,683","5,259","4,536","1,581","1,724","4,061","4,096","6,651"
2021년09월_계_50~59세,"57,061","1,372",684,"1,282",359,338,489,252,201,243,562,"3,347",875,282,739,179,383,"4,538","1,702","1,849","2,561","3,513","4,896","2,027","4,123","5,130","2,017","2,302","3,257","3,992","3,567"
2021년09월_계_60~69세,"48,491","1,446",569,"1,151",491,492,521,443,372,314,747,"2,602",855,381,"1,016",257,556,"4,217","1,920","2,441","2,583","3,298","3,763","1,933","2,043","3,096","1,987","2,013","2,302","2,851","1,831"
2021년09월_계_70~79세,"25,799",819,308,475,405,291,358,310,296,248,570,"1,224",543,325,566,153,339,"2,702","1,111","1,679","1,608","1,807","1,624",988,863,"1,374","1,039",979,"1,001","1,265",529
