카테고리,울산광역시 중구,울산광역시 중구 학성동,울산광역시 중구 반구1동,울산광역시 중구 반구2동,울산광역시 중구 복산1동,울산광역시 중구 복산2동,울산광역시 중구 중앙동,울산광역시 중구 우정동,울산광역시 중구 태화동,울산광역시 중구 다운동,울산광역시 중구 병영1동,울산광역시 중구 병영2동,울산광역시 중구 약사동,울산광역시 중구 성안동
2021년12월_계_총인구수,"212,883","11,223","16,804","8,658","4,377","11,227","12,644","18,222","33,110","22,693","22,032","20,241","10,811","20,841"
2021년12월_계_연령구간인구수,"212,883","11,223","16,804","8,658","4,377","11,227","12,644","18,222","33,110","22,693","22,032","20,241","10,811","20,841"
2021년12월_계_0~9세,"15,265",513,"1,274",368,191,892,390,"1,218","3,195",932,"1,361","1,901","1,259","1,771"
2021년12월_계_10~19세,"19,455",665,"1,295",571,291,"1,065",605,"1,526","3,660","1,892","2,171","1,913","1,270","2,531"
2021년12월_계_20~29세,"25,187","1,299","1,919","1,241",520,"1,424","1,472","2,106","3,603","3,025","2,789","2,122","1,258","2,409"
2021년12월_계_30~39세,"25,105","1,352","2,313",998,463,"1,598","1,251","2,146","4,095","2,045","2,211","2,659","1,569","2,405"
2021년12월_계_40~49세,"33,097","1,502","2,586","1,103",497,"1,713","1,504","2,680","5,839","3,095","3,189","3,383","1,814","4,192"
2021년12월_계_50~59세,"40,252","1,957","3,233","1,727",863,"2,046","2,417","3,280","5,816","4,947","4,628","3,602","1,982","3,754"
2021년12월_계_60~69세,"33,526","2,143","2,727","1,541",932,"1,530","2,846","3,137","4,454","4,046","3,676","3,062","1,115","2,317"
2021년12월_계_70~79세,"14,861","1,284","1,059",794,452,676,"1,525","1,444","1,789","1,854","1,454","1,131",377,"1,022"
2021년12월_계_80~89세,"5,467",451,353,274,153,246,584,618,578,779,487,424,143,377
2021년12월_계_90~99세,657,54,45,41,15,37,50,67,79,78,64,43,23,61
2021년12월_계_100세 이상,11,3,0,0,0,0,0,0,2,0,2,1,1,2
2021년12월_남_총인구수,"107,736","5,722","8,726","4,394","2,202","5,598","6,508","9,072","16,511","11,560","11,188","10,184","5,413","10,658"
2021년12월_남_연령구간인구수,"107,736","5,722","8,726","4,394","2,202","5,598","6,508","9,072","16,511","11,560","11,188","10,184","5,413","10,658"
2021년12월_남_0~9세,"7,858",250,649,208,115,432,209,654,"1,711",467,692,932,625,914
2021년12월_남_10~19세,"10,332",354,670,307,155,558,315,829,"1,923","1,041","1,161","1,019",666,"1,334"
2021년12월_남_20~29세,"14,133",703,"1,067",676,286,784,825,"1,158","2,050","1,777","1,602","1,202",687,"1,316"
2021년12월_남_30~39세,"13,186",765,"1,252",540,273,859,747,"1,103","1,992","1,145","1,160","1,357",756,"1,237"
2021년12월_남_40~49세,"16,910",840,"1,416",582,258,856,822,"1,374","2,852","1,534","1,568","1,777",877,"2,154"
2021년12월_남_50~59세,"20,049","1,060","1,681",856,401,970,"1,255","1,596","2,759","2,476","2,293","1,751","1,003","1,948"
2021년12월_남_60~69세,"16,319","1,018","1,338",727,456,717,"1,440","1,500","2,159","1,982","1,812","1,481",564,"1,125"
2021년12월_남_70~79세,"6,885",564,511,389,199,336,668,620,850,861,703,516,170,498
2021년12월_남_80~89세,"1,950",161,137,102,56,77,215,221,202,262,187,145,60,125
2021년12월_남_90~99세,113,7,5,7,3,9,12,17,13,15,10,4,5,6
2021년12월_남_100세 이상,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2021년12월_여_총인구수,"105,147","5,501","8,078","4,264","2,175","5,629","6,136","9,150","16,599","11,133","10,844","10,057","5,398","10,183"
2021년12월_여_연령구간인구수,"105,147","5,501","8,078","4,264","2,175","5,629","6,136","9,150","16,599","11,133","10,844","10,057","5,398","10,183"
2021년12월_여_0~9세,"7,407",263,625,160,76,460,181,564,"1,484",465,669,969,634,857
2021년12월_여_10~19세,"9,123",311,625,264,136,507,290,697,"1,737",851,"1,010",894,604,"1,197"
2021년12월_여_20~29세,"11,054",596,852,565,234,640,647,948,"1,553","1,248","1,187",920,571,"1,093"
2021년12월_여_30~39세,"11,919",587,"1,061",458,190,739,504,"1,043","2,103",900,"1,051","1,302",813,"1,168"
2021년12월_여_40~49세,"16,187",662,"1,170",521,239,857,682,"1,306","2,987","1,561","1,621","1,606",937,"2,038"
2021년12월_여_50~59세,"20,203",897,"1,552",871,462,"1,076","1,162","1,684","3,057","2,471","2,335","1,851",979,"1,806"
2021년12월_여_60~69세,"17,207","1,125","1,389",814,476,813,"1,406","1,637","2,295","2,064","1,864","1,581",551,"1,192"
2021년12월_여_70~79세,"7,976",720,548,405,253,340,857,824,939,993,751,615,207,524
2021년12월_여_80~89세,"3,517",290,216,172,97,169,369,397,376,517,300,279,83,252
2021년12월_여_90~99세,544,47,40,34,12,28,38,50,66,63,54,39,18,55
2021년12월_여_100세 이상,10,3,0,0,0,0,0,0,2,0,2,1,1,1
