카테고리,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년05월_계_총인구수,"347,519","8,467","4,174","7,531","2,289","1,975","2,662","1,622","1,524","1,497","3,304","21,620","4,834","1,649","4,130","1,100","2,237","28,254","10,981","11,590","14,595","20,462","25,633","12,075","27,154","28,476","12,144","12,464","21,881","25,838","25,357"
2020년05월_계_연령구간인구수,"347,519","8,467","4,174","7,531","2,289","1,975","2,662","1,622","1,524","1,497","3,304","21,620","4,834","1,649","4,130","1,100","2,237","28,254","10,981","11,590","14,595","20,462","25,633","12,075","27,154","28,476","12,144","12,464","21,881","25,838","25,357"
2020년05월_계_0~9세,"29,055",684,393,852,44,48,105,27,35,38,66,"2,338",273,18,158,27,58,"1,687",505,399,683,"1,162","1,531",822,"3,526","2,280",693,752,"2,688","2,366","4,797"
2020년05월_계_10~19세,"35,793",688,469,469,122,65,199,50,52,75,162,"2,901",425,65,211,50,111,"2,652",762,699,"1,141","1,710","2,715","1,144","4,062","3,724","1,185","1,342","3,036","2,714","2,793"
2020년05월_계_20~29세,"44,840",848,416,962,170,138,225,75,81,107,227,"2,314",448,94,365,112,142,"4,292","1,449","1,146","1,908","2,993","3,911","1,549","3,358","4,207","1,721","1,661","2,415","4,763","2,743"
2020년05월_계_30~39세,"42,221",999,435,"1,421",141,135,199,71,81,74,184,"2,589",420,59,252,56,107,"2,829","1,334",918,"1,403","2,316","2,776","1,473","3,885","3,138","1,237","1,156","2,829","3,898","5,806"
2020년05월_계_40~49세,"54,667","1,116",690,"1,030",187,165,309,119,155,163,299,"3,963",668,132,442,103,234,"4,113","1,605","1,471","2,009","2,969","3,934","1,840","5,330","4,979","1,685","1,864","4,184","4,112","4,797"
2020년05월_계_50~59세,"57,852","1,462",680,"1,172",407,370,488,292,232,261,593,"3,384",897,303,805,202,421,"4,683","1,850","2,096","2,733","3,782","5,173","2,142","3,985","5,252","2,193","2,446","3,243","3,771","2,534"
2020년05월_계_60~69세,"43,899","1,337",552,888,455,465,493,392,342,289,672,"2,295",786,357,931,235,471,"3,947","1,841","2,369","2,430","3,074","3,396","1,831","1,780","2,705","1,899","1,814","2,077","2,485","1,291"
2020년05월_계_70~79세,"25,348",807,330,454,421,301,371,327,311,263,602,"1,173",546,330,584,163,374,"2,709","1,086","1,713","1,548","1,754","1,498",910,813,"1,375",995,990,969,"1,214",417
2020년05월_계_80~89세,"12,067",446,179,234,291,253,244,235,211,186,430,585,322,257,331,127,293,"1,162",471,676,661,638,615,319,363,713,470,372,387,449,147
2020년05월_계_90~99세,"1,685",78,27,45,51,33,28,34,24,40,66,76,47,33,48,24,25,164,71,86,77,63,81,43,45,103,65,62,51,64,31
2020년05월_계_100세 이상,92,2,3,4,0,2,1,0,0,1,3,2,2,1,3,1,1,16,7,17,2,1,3,2,7,0,1,5,2,2,1
2020년05월_남_총인구수,"172,037","4,285","2,091","3,865","1,085",962,"1,293",814,755,748,"1,639","10,849","2,419",800,"2,055",531,"1,087","13,880","5,429","5,626","7,154","10,159","12,846","6,131","13,761","13,714","5,808","6,153","10,483","13,011","12,604"
2020년05월_남_연령구간인구수,"172,037","4,285","2,091","3,865","1,085",962,"1,293",814,755,748,"1,639","10,849","2,419",800,"2,055",531,"1,087","13,880","5,429","5,626","7,154","10,159","12,846","6,131","13,761","13,714","5,808","6,153","10,483","13,011","12,604"
2020년05월_남_0~9세,"15,114",374,215,432,20,24,52,19,16,18,37,"1,229",138,7,80,11,32,878,273,218,388,598,806,389,"1,908","1,167",364,403,"1,367","1,239","2,412"
2020년05월_남_10~19세,"18,894",365,230,254,68,32,103,33,30,33,90,"1,532",221,39,110,25,62,"1,474",409,388,606,876,"1,441",574,"2,275","1,945",620,742,"1,469","1,392","1,456"
2020년05월_남_20~29세,"24,744",477,225,539,99,75,138,51,50,68,149,"1,335",259,56,202,65,71,"2,354",766,654,999,"1,659","2,208",883,"1,867","2,242",900,964,"1,284","2,729","1,376"
2020년05월_남_30~39세,"21,489",526,209,757,85,79,96,46,45,47,100,"1,277",216,36,144,26,57,"1,487",727,531,745,"1,240","1,534",776,"1,813","1,535",642,575,"1,284","2,057","2,797"
2020년05월_남_40~49세,"27,263",598,341,570,120,100,180,77,114,109,195,"1,943",361,86,248,62,155,"2,035",843,824,"1,074","1,508","1,861",976,"2,486","2,200",800,869,"2,001","2,023","2,504"
2020년05월_남_50~59세,"28,480",767,365,554,218,205,253,174,130,150,341,"1,673",492,171,422,111,239,"2,270",885,"1,035","1,325","1,789","2,457","1,080","2,026","2,527","1,003","1,183","1,604","1,813","1,218"
2020년05월_남_60~69세,"21,030",708,290,478,230,233,256,211,173,143,329,"1,128",403,199,479,131,247,"1,761",845,"1,044","1,121","1,409","1,659",898,914,"1,311",856,852,973,"1,141",608
2020년05월_남_70~79세,"11,038",338,163,210,155,128,150,131,137,128,264,532,225,135,260,68,140,"1,186",501,714,670,820,689,423,358,542,447,453,385,487,199
2020년05월_남_80~89세,"3,656",118,48,65,83,77,59,65,56,46,118,188,97,64,100,29,79,391,168,195,216,245,176,122,102,225,162,99,109,122,32
2020년05월_남_90~99세,308,14,4,6,7,9,5,7,4,6,15,12,7,7,9,3,5,38,11,21,10,15,13,10,9,20,13,12,7,7,2
2020년05월_남_100세 이상,21,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,2,0,0,2,0,3,0,1,1,0,1,0
2020년05월_여_총인구수,"175,482","4,182","2,083","3,666","1,204","1,013","1,369",808,769,749,"1,665","10,771","2,415",849,"2,075",569,"1,150","14,374","5,552","5,964","7,441","10,303","12,787","5,944","13,393","14,762","6,336","6,311","11,398","12,827","12,753"
2020년05월_여_연령구간인구수,"175,482","4,182","2,083","3,666","1,204","1,013","1,369",808,769,749,"1,665","10,771","2,415",849,"2,075",569,"1,150","14,374","5,552","5,964","7,441","10,303","12,787","5,944","13,393","14,762","6,336","6,311","11,398","12,827","12,753"
2020년05월_여_0~9세,"13,941",310,178,420,24,24,53,8,19,20,29,"1,109",135,11,78,16,26,809,232,181,295,564,725,433,"1,618","1,113",329,349,"1,321","1,127","2,385"
2020년05월_여_10~19세,"16,899",323,239,215,54,33,96,17,22,42,72,"1,369",204,26,101,25,49,"1,178",353,311,535,834,"1,274",570,"1,787","1,779",565,600,"1,567","1,322","1,337"
2020년05월_여_20~29세,"20,096",371,191,423,71,63,87,24,31,39,78,979,189,38,163,47,71,"1,938",683,492,909,"1,334","1,703",666,"1,491","1,965",821,697,"1,131","2,034","1,367"
2020년05월_여_30~39세,"20,732",473,226,664,56,56,103,25,36,27,84,"1,312",204,23,108,30,50,"1,342",607,387,658,"1,076","1,242",697,"2,072","1,603",595,581,"1,545","1,841","3,009"
2020년05월_여_40~49세,"27,404",518,349,460,67,65,129,42,41,54,104,"2,020",307,46,194,41,79,"2,078",762,647,935,"1,461","2,073",864,"2,844","2,779",885,995,"2,183","2,089","2,293"
