,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년11월_계_총인구수,"306,421","19,557","14,046","12,497","12,297","26,580","21,516","25,381","16,976","15,763","10,748","27,357","38,898","27,345","12,887","18,624","5,949"
2021년11월_계_연령구간인구수,"306,421","19,557","14,046","12,497","12,297","26,580","21,516","25,381","16,976","15,763","10,748","27,357","38,898","27,345","12,887","18,624","5,949"
2021년11월_계_0~9세,"18,447",993,808,494,717,"1,518","1,134","1,358","1,049","1,012",867,"1,761","2,777","1,595","1,391",848,125
2021년11월_계_10~19세,"24,568","1,548","1,104",732,942,"2,239","1,626","1,952","1,106","1,294",940,"2,383","3,859","2,311",940,"1,365",227
2021년11월_계_20~29세,"38,363","2,196","1,535","1,397","1,427","3,313","3,508","5,140","1,804","2,043","1,044","3,375","4,395","3,176","1,436","2,063",511
2021년11월_계_30~39세,"35,126","2,141","1,429","1,442","1,306","2,877","2,814","3,195","2,009","2,076","1,367","3,443","4,076","2,544","2,305","1,709",393
2021년11월_계_40~49세,"44,792","2,626","2,127","1,585","1,778","3,779","2,931","3,471","2,481","2,372","1,934","4,357","6,277","3,884","2,027","2,478",685
2021년11월_계_50~59세,"53,302","3,356","2,242","2,078","2,015","4,671","3,589","4,048","3,076","2,873","1,748","4,796","7,033","5,187","2,008","3,467","1,115"
2021년11월_계_60~69세,"53,248","3,544","2,625","2,625","2,335","4,820","3,518","3,687","3,148","2,611","1,606","4,520","6,126","5,106","1,778","3,896","1,303"
2021년11월_계_70~79세,"26,889","2,117","1,551","1,482","1,239","2,371","1,655","1,796","1,620","1,055",913,"2,021","2,971","2,344",749,"1,982","1,023"
2021년11월_계_80~89세,"10,308",903,557,593,477,873,660,656,613,364,304,626,"1,207","1,048",209,719,499
2021년11월_계_90~99세,"1,344",129,66,69,59,118,79,73,67,63,25,74,177,145,42,95,63
2021년11월_계_100세 이상,34,4,2,0,2,1,2,5,3,0,0,1,0,5,2,2,5
2021년11월_남_총인구수,"152,471","9,389","6,869","5,983","5,973","12,993","10,742","12,646","8,777","7,894","5,563","13,913","19,490","13,437","6,578","9,168","3,056"
2021년11월_남_연령구간인구수,"152,471","9,389","6,869","5,983","5,973","12,993","10,742","12,646","8,777","7,894","5,563","13,913","19,490","13,437","6,578","9,168","3,056"
2021년11월_남_0~9세,"9,508",522,416,261,387,780,571,722,549,534,444,922,"1,395",812,732,408,53
2021년11월_남_10~19세,"12,684",808,542,379,456,"1,169",819,950,584,674,495,"1,245","2,051","1,185",513,701,113
2021년11월_남_20~29세,"20,575","1,147",806,722,778,"1,728","1,832","2,801","1,001","1,061",573,"1,801","2,445","1,776",732,"1,069",303
2021년11월_남_30~39세,"18,699","1,126",753,772,666,"1,517","1,587","1,748","1,151","1,108",712,"1,880","2,034","1,292","1,198",915,240
2021년11월_남_40~49세,"22,985","1,293","1,102",848,882,"1,861","1,493","1,787","1,344","1,216","1,077","2,261","3,104","1,885","1,075","1,334",423
2021년11월_남_50~59세,"26,176","1,539","1,112",990,957,"2,134","1,713","1,911","1,639","1,378",962,"2,397","3,540","2,545","1,014","1,681",664
2021년11월_남_60~69세,"25,558","1,616","1,205","1,162","1,055","2,294","1,699","1,668","1,565","1,258",782,"2,218","3,119","2,541",866,"1,857",653
2021년11월_남_70~79세,"12,371",998,723,627,586,"1,161",761,795,724,516,415,949,"1,359","1,032",371,926,428
2021년11월_남_80~89세,"3,658",314,201,206,196,321,257,250,206,135,99,230,402,342,74,257,168
2021년11월_남_90~99세,250,26,9,16,10,28,8,12,13,14,4,10,41,26,3,20,10
2021년11월_남_100세 이상,7,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,1
2021년11월_여_총인구수,"153,950","10,168","7,177","6,514","6,324","13,587","10,774","12,735","8,199","7,869","5,185","13,444","19,408","13,908","6,309","9,456","2,893"
2021년11월_여_연령구간인구수,"153,950","10,168","7,177","6,514","6,324","13,587","10,774","12,735","8,199","7,869","5,185","13,444","19,408","13,908","6,309","9,456","2,893"
2021년11월_여_0~9세,"8,939",471,392,233,330,738,563,636,500,478,423,839,"1,382",783,659,440,72
2021년11월_여_10~19세,"11,884",740,562,353,486,"1,070",807,"1,002",522,620,445,"1,138","1,808","1,126",427,664,114
2021년11월_여_20~29세,"17,788","1,049",729,675,649,"1,585","1,676","2,339",803,982,471,"1,574","1,950","1,400",704,994,208
2021년11월_여_30~39세,"16,427","1,015",676,670,640,"1,360","1,227","1,447",858,968,655,"1,563","2,042","1,252","1,107",794,153
