,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년09월_계_총인구수,"38,698","21,117","1,097","1,478","1,747","2,159","2,272","1,275","1,746","3,795","2,012"
2020년09월_계_연령구간인구수,"38,698","21,117","1,097","1,478","1,747","2,159","2,272","1,275","1,746","3,795","2,012"
2020년09월_계_0~9세,"1,703","1,323",19,25,27,36,49,41,45,95,43
2020년09월_계_10~19세,"2,936","2,165",31,57,80,85,95,54,74,212,83
2020년09월_계_20~29세,"3,284","2,328",42,68,93,129,121,104,103,218,78
2020년09월_계_30~39세,"2,836","1,918",54,64,60,111,123,88,113,203,102
2020년09월_계_40~49세,"4,654","2,994",102,118,167,204,224,144,178,342,181
2020년09월_계_50~59세,"7,406","3,779",231,347,414,457,443,266,330,740,399
2020년09월_계_60~69세,"7,962","3,296",274,378,474,553,632,309,425,"1,004",617
2020년09월_계_70~79세,"4,874","2,113",205,262,262,347,339,159,290,548,349
2020년09월_계_80~89세,"2,643","1,039",124,143,146,207,209,97,159,381,138
2020년09월_계_90~99세,347,142,13,15,21,23,32,12,28,41,20
2020년09월_계_100세 이상,53,20,2,1,3,7,5,1,1,11,2
2020년09월_남_총인구수,"19,987","10,799",571,768,901,"1,129","1,195",713,940,"1,947","1,024"
2020년09월_남_연령구간인구수,"19,987","10,799",571,768,901,"1,129","1,195",713,940,"1,947","1,024"
2020년09월_남_0~9세,906,713,14,12,15,17,20,22,25,47,21
2020년09월_남_10~19세,"1,577","1,179",18,24,40,36,54,29,32,123,42
2020년09월_남_20~29세,"1,886","1,319",25,44,56,80,75,68,58,120,41
2020년09월_남_30~39세,"1,557","1,002",29,43,33,64,81,48,82,123,52
2020년09월_남_40~49세,"2,556","1,535",67,76,90,131,140,88,118,197,114
2020년09월_남_50~59세,"4,095","2,067",138,195,225,262,249,165,199,392,203
2020년09월_남_60~69세,"4,139","1,659",139,212,251,302,346,168,223,531,308
2020년09월_남_70~79세,"2,207",914,92,109,134,153,157,84,132,258,174
2020년09월_남_80~89세,955,374,45,48,52,76,62,38,60,139,61
2020년09월_남_90~99세,93,31,3,4,5,5,9,3,11,14,8
2020년09월_남_100세 이상,16,6,1,1,0,3,2,0,0,3,0
2020년09월_여_총인구수,"18,711","10,318",526,710,846,"1,030","1,077",562,806,"1,848",988
2020년09월_여_연령구간인구수,"18,711","10,318",526,710,846,"1,030","1,077",562,806,"1,848",988
2020년09월_여_0~9세,797,610,5,13,12,19,29,19,20,48,22
2020년09월_여_10~19세,"1,359",986,13,33,40,49,41,25,42,89,41
2020년09월_여_20~29세,"1,398","1,009",17,24,37,49,46,36,45,98,37
2020년09월_여_30~39세,"1,279",916,25,21,27,47,42,40,31,80,50
2020년09월_여_40~49세,"2,098","1,459",35,42,77,73,84,56,60,145,67
2020년09월_여_50~59세,"3,311","1,712",93,152,189,195,194,101,131,348,196
2020년09월_여_60~69세,"3,823","1,637",135,166,223,251,286,141,202,473,309
2020년09월_여_70~79세,"2,667","1,199",113,153,128,194,182,75,158,290,175
2020년09월_여_80~89세,"1,688",665,79,95,94,131,147,59,99,242,77
2020년09월_여_90~99세,254,111,10,11,16,18,23,9,17,27,12
2020년09월_여_100세 이상,37,14,1,0,3,4,3,1,1,8,2
