카테고리,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2020년07월_계_총인구수,"218,777","37,616","40,148","39,254","16,458","29,972","34,968","10,136","10,225"
2020년07월_계_연령구간인구수,"218,777","37,616","40,148","39,254","16,458","29,972","34,968","10,136","10,225"
2020년07월_계_0~9세,"25,804","4,783","5,560","3,931","2,723","2,766","4,459",770,812
2020년07월_계_10~19세,"23,601","3,943","4,617","6,312","1,258","2,348","3,568",764,791
2020년07월_계_20~29세,"28,068","4,371","4,571","4,963","1,261","4,779","5,036","1,743","1,344"
2020년07월_계_30~39세,"34,891","5,970","6,836","4,188","3,614","4,923","6,195","1,659","1,506"
2020년07월_계_40~49세,"38,453","6,694","7,361","8,638","2,655","4,447","5,655","1,462","1,541"
2020년07월_계_50~59세,"38,517","6,294","6,320","6,949","2,195","6,412","6,319","2,069","1,959"
2020년07월_계_60~69세,"18,812","3,491","3,110","2,482","1,687","2,932","2,470","1,122","1,518"
2020년07월_계_70~79세,"7,218","1,457","1,176","1,226",659,935,830,387,548
2020년07월_계_80~89세,"2,948",526,515,490,342,375,379,138,183
2020년07월_계_90~99세,445,82,80,73,59,54,57,21,19
2020년07월_계_100세 이상,20,5,2,2,5,1,0,1,4
2020년07월_남_총인구수,"113,253","19,219","20,568","19,967","8,416","15,985","17,857","5,789","5,452"
2020년07월_남_연령구간인구수,"113,253","19,219","20,568","19,967","8,416","15,985","17,857","5,789","5,452"
2020년07월_남_0~9세,"13,258","2,465","2,895","2,022","1,354","1,446","2,295",378,403
2020년07월_남_10~19세,"12,327","2,031","2,424","3,317",632,"1,247","1,834",412,430
2020년07월_남_20~29세,"15,814","2,403","2,503","2,761",685,"2,697","2,762","1,183",820
2020년07월_남_30~39세,"18,088","2,985","3,436","1,985","1,838","2,821","3,160","1,009",854
2020년07월_남_40~49세,"19,659","3,501","3,812","4,082","1,489","2,347","2,730",832,866
2020년07월_남_50~59세,"20,018","3,206","3,214","3,818","1,105","3,307","3,246","1,139",983
2020년07월_남_60~69세,"9,826","1,804","1,569","1,285",890,"1,563","1,327",601,787
2020년07월_남_70~79세,"3,328",661,549,535,312,441,399,196,235
2020년07월_남_80~89세,863,149,156,147,99,107,99,36,70
2020년07월_남_90~99세,69,13,10,15,12,8,5,3,3
2020년07월_남_100세 이상,3,1,0,0,0,1,0,0,1
2020년07월_여_총인구수,"105,524","18,397","19,580","19,287","8,042","13,987","17,111","4,347","4,773"
2020년07월_여_연령구간인구수,"105,524","18,397","19,580","19,287","8,042","13,987","17,111","4,347","4,773"
2020년07월_여_0~9세,"12,546","2,318","2,665","1,909","1,369","1,320","2,164",392,409
2020년07월_여_10~19세,"11,274","1,912","2,193","2,995",626,"1,101","1,734",352,361
2020년07월_여_20~29세,"12,254","1,968","2,068","2,202",576,"2,082","2,274",560,524
2020년07월_여_30~39세,"16,803","2,985","3,400","2,203","1,776","2,102","3,035",650,652
2020년07월_여_40~49세,"18,794","3,193","3,549","4,556","1,166","2,100","2,925",630,675
2020년07월_여_50~59세,"18,499","3,088","3,106","3,131","1,090","3,105","3,073",930,976
2020년07월_여_60~69세,"8,986","1,687","1,541","1,197",797,"1,369","1,143",521,731
2020년07월_여_70~79세,"3,890",796,627,691,347,494,431,191,313
2020년07월_여_80~89세,"2,085",377,359,343,243,268,280,102,113
2020년07월_여_90~99세,376,69,70,58,47,46,52,18,16
2020년07월_여_100세 이상,17,4,2,2,5,0,0,1,3
