카테고리,강원도 삼척시,강원도 삼척시 도계읍,강원도 삼척시 원덕읍,강원도 삼척시 원덕읍임원출장소,강원도 삼척시 근덕면,강원도 삼척시 하장면,강원도 삼척시 노곡면,강원도 삼척시 미로면,강원도 삼척시 가곡면,강원도 삼척시 신기면,강원도 삼척시 남양동,강원도 삼척시 교동,강원도 삼척시 정라동,강원도 삼척시 성내동
2020년06월_계_총인구수,"65,753","10,188","3,356","1,728","5,236","1,346",716,"1,879",700,679,"7,793","14,712","9,184","8,236"
2020년06월_계_연령구간인구수,"65,753","10,188","3,356","1,728","5,236","1,346",716,"1,879",700,679,"7,793","14,712","9,184","8,236"
2020년06월_계_0~9세,"3,988",348,95,38,97,30,7,47,14,22,309,"1,733",690,558
2020년06월_계_10~19세,"5,186",733,145,77,247,42,11,72,27,10,508,"1,689",837,788
2020년06월_계_20~29세,"7,402","1,944",254,119,373,69,33,91,33,25,763,"1,913",999,786
2020년06월_계_30~39세,"6,019",596,229,101,285,77,25,97,28,45,632,"2,122","1,001",781
2020년06월_계_40~49세,"9,075","1,134",404,190,479,154,65,208,78,76,966,"2,561","1,545","1,215"
2020년06월_계_50~59세,"11,480","1,713",641,353,"1,018",301,145,354,139,132,"1,489","2,268","1,535","1,392"
2020년06월_계_60~69세,"10,842","1,809",670,366,"1,157",358,172,414,169,150,"1,566","1,360","1,282","1,369"
2020년06월_계_70~79세,"7,238","1,254",530,302,865,190,143,331,124,128,"1,018",683,832,838
2020년06월_계_80~89세,"3,912",578,330,156,608,111,96,227,79,83,480,321,391,452
2020년06월_계_90~99세,561,64,50,26,100,14,19,37,8,7,60,57,64,55
2020년06월_계_100세 이상,50,15,8,0,7,0,0,1,1,1,2,5,8,2
2020년06월_남_총인구수,"33,329","5,105","1,751",858,"2,692",728,389,977,352,374,"3,849","7,489","4,689","4,076"
2020년06월_남_연령구간인구수,"33,329","5,105","1,751",858,"2,692",728,389,977,352,374,"3,849","7,489","4,689","4,076"
2020년06월_남_0~9세,"2,024",164,53,20,51,16,3,27,10,12,173,868,352,275
2020년06월_남_10~19세,"2,730",360,75,45,159,24,6,45,12,4,266,870,458,406
2020년06월_남_20~29세,"4,178","1,051",170,63,242,35,22,60,21,13,427,"1,089",552,433
2020년06월_남_30~39세,"3,235",312,141,65,172,51,15,53,14,27,357,"1,085",520,423
2020년06월_남_40~49세,"5,033",643,272,120,321,110,46,150,52,60,508,"1,267",833,651
2020년06월_남_50~59세,"6,109",919,374,179,582,157,92,203,78,80,725,"1,177",855,688
2020년06월_남_60~69세,"5,412",913,341,190,588,199,101,216,80,88,741,681,619,655
2020년06월_남_70~79세,"3,173",541,218,114,363,86,64,152,55,59,471,310,360,380
2020년06월_남_80~89세,"1,314",177,98,57,202,47,34,66,29,30,170,125,125,154
2020년06월_남_90~99세,109,20,6,5,11,3,6,5,1,1,11,16,14,10
2020년06월_남_100세 이상,12,5,3,0,1,0,0,0,0,0,0,1,1,1
2020년06월_여_총인구수,"32,424","5,083","1,605",870,"2,544",618,327,902,348,305,"3,944","7,223","4,495","4,160"
2020년06월_여_연령구간인구수,"32,424","5,083","1,605",870,"2,544",618,327,902,348,305,"3,944","7,223","4,495","4,160"
2020년06월_여_0~9세,"1,964",184,42,18,46,14,4,20,4,10,136,865,338,283
2020년06월_여_10~19세,"2,456",373,70,32,88,18,5,27,15,6,242,819,379,382
2020년06월_여_20~29세,"3,224",893,84,56,131,34,11,31,12,12,336,824,447,353
2020년06월_여_30~39세,"2,784",284,88,36,113,26,10,44,14,18,275,"1,037",481,358
2020년06월_여_40~49세,"4,042",491,132,70,158,44,19,58,26,16,458,"1,294",712,564
2020년06월_여_50~59세,"5,371",794,267,174,436,144,53,151,61,52,764,"1,091",680,704
2020년06월_여_60~69세,"5,430",896,329,176,569,159,71,198,89,62,825,679,663,714
2020년06월_여_70~79세,"4,065",713,312,188,502,104,79,179,69,69,547,373,472,458
2020년06월_여_80~89세,"2,598",401,232,99,406,64,62,161,50,53,310,196,266,298
2020년06월_여_90~99세,452,44,44,21,89,11,13,32,7,6,49,41,50,45
2020년06월_여_100세 이상,38,10,5,0,6,0,0,1,1,1,2,4,7,1
