,경상북도 울진군,경상북도 울진군 울진읍,경상북도 울진군 평해읍,경상북도 울진군 북면,경상북도 울진군 북면하당출장소,경상북도 울진군 근남면,경상북도 울진군 기성면,경상북도 울진군 온정면,경상북도 울진군 죽변면,경상북도 울진군 후포면,경상북도 울진군 금강송면,경상북도 울진군 매화면
2021년10월_계_총인구수,"47,941","13,873","2,748","6,653",685,"2,748","2,478","1,696","6,323","7,438","1,273","2,026"
2021년10월_계_연령구간인구수,"47,941","13,873","2,748","6,653",685,"2,748","2,478","1,696","6,323","7,438","1,273","2,026"
2021년10월_계_0~9세,"2,762","1,031",53,751,6,106,50,44,296,356,21,48
2021년10월_계_10~19세,"3,566","1,591",202,461,20,114,93,60,365,541,36,83
2021년10월_계_20~29세,"4,276","1,545",159,724,43,181,155,91,646,601,37,94
2021년10월_계_30~39세,"4,087","1,341",156,"1,050",23,171,120,50,537,521,38,80
2021년10월_계_40~49세,"6,017","2,255",205,976,58,279,139,136,791,916,106,156
2021년10월_계_50~59세,"8,324","2,401",434,"1,048",136,491,404,262,"1,204","1,318",291,335
2021년10월_계_60~69세,"8,778","1,858",583,838,158,607,596,395,"1,295","1,645",332,471
2021년10월_계_70~79세,"5,556","1,074",497,460,121,379,439,333,690,991,218,354
2021년10월_계_80~89세,"3,875",665,383,300,105,357,394,276,438,456,172,329
2021년10월_계_90~99세,688,110,74,41,15,63,88,48,61,92,21,75
2021년10월_계_100세 이상,12,2,2,4,0,0,0,1,0,1,1,1
2021년10월_남_총인구수,"24,052","7,025","1,317","3,518",353,"1,381","1,181",815,"3,247","3,632",627,956
2021년10월_남_연령구간인구수,"24,052","7,025","1,317","3,518",353,"1,381","1,181",815,"3,247","3,632",627,956
2021년10월_남_0~9세,"1,434",547,32,381,4,61,26,20,148,180,12,23
2021년10월_남_10~19세,"1,903",831,138,240,10,60,43,35,198,289,18,41
2021년10월_남_20~29세,"2,539",896,93,442,24,104,105,54,395,349,23,54
2021년10월_남_30~39세,"2,246",713,88,569,17,98,77,30,306,272,25,51
2021년10월_남_40~49세,"3,284","1,128",125,552,41,173,76,74,458,501,54,102
2021년10월_남_50~59세,"4,564","1,269",242,605,89,286,231,155,658,674,160,195
2021년10월_남_60~69세,"4,366",935,268,424,84,312,302,202,649,772,177,241
2021년10월_남_70~79세,"2,439",472,198,217,49,162,188,147,314,439,99,154
2021년10월_남_80~89세,"1,162",220,118,86,34,114,118,88,110,137,50,87
2021년10월_남_90~99세,115,14,15,2,1,11,15,10,11,19,9,8
2021년10월_남_100세 이상,0,0,0,0,0,0,0,0,0,0,0,0
2021년10월_여_총인구수,"23,889","6,848","1,431","3,135",332,"1,367","1,297",881,"3,076","3,806",646,"1,070"
2021년10월_여_연령구간인구수,"23,889","6,848","1,431","3,135",332,"1,367","1,297",881,"3,076","3,806",646,"1,070"
2021년10월_여_0~9세,"1,328",484,21,370,2,45,24,24,148,176,9,25
2021년10월_여_10~19세,"1,663",760,64,221,10,54,50,25,167,252,18,42
2021년10월_여_20~29세,"1,737",649,66,282,19,77,50,37,251,252,14,40
2021년10월_여_30~39세,"1,841",628,68,481,6,73,43,20,231,249,13,29
2021년10월_여_40~49세,"2,733","1,127",80,424,17,106,63,62,333,415,52,54
2021년10월_여_50~59세,"3,760","1,132",192,443,47,205,173,107,546,644,131,140
2021년10월_여_60~69세,"4,412",923,315,414,74,295,294,193,646,873,155,230
2021년10월_여_70~79세,"3,117",602,299,243,72,217,251,186,376,552,119,200
2021년10월_여_80~89세,"2,713",445,265,214,71,243,276,188,328,319,122,242
2021년10월_여_90~99세,573,96,59,39,14,52,73,38,50,73,12,67
2021년10월_여_100세 이상,12,2,2,4,0,0,0,1,0,1,1,1
