카테고리,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년06월_계_총인구수,"264,098","15,839","32,683","12,494","16,860","15,527","44,573","16,941","12,321","8,578","8,253","13,336","6,825","12,987","13,819","8,653","15,802","8,607"
2021년06월_계_연령구간인구수,"264,098","15,839","32,683","12,494","16,860","15,527","44,573","16,941","12,321","8,578","8,253","13,336","6,825","12,987","13,819","8,653","15,802","8,607"
2021년06월_계_0~9세,"17,262",501,"2,688","1,029","1,059","1,758","3,318","1,364",477,499,504,626,267,611,730,360,"1,139",332
2021년06월_계_10~19세,"22,707",925,"3,161",883,"1,391","1,555","5,054","1,771",876,646,771,946,479,888,"1,192",379,"1,271",519
2021년06월_계_20~29세,"34,614","3,610","6,344","1,219","2,707","1,721","4,897","1,616","1,382",885,"1,037","1,454",639,"1,244","1,670","1,265","1,913","1,011"
2021년06월_계_30~39세,"29,009","1,822","4,053","1,707","1,946","2,117","4,017","1,789","1,101","1,005",775,"1,334",615,"1,214","1,275","1,322","2,090",827
2021년06월_계_40~49세,"41,131","2,029","5,670","1,879","2,575","2,782","7,620","2,805","1,630","1,318","1,272","1,915",999,"1,807","2,117","1,176","2,422","1,115"
2021년06월_계_50~59세,"42,254","2,216","4,577","1,823","2,483","2,248","7,950","2,652","2,100","1,329","1,468","2,260","1,123","2,105","2,477","1,278","2,632","1,533"
2021년06월_계_60~69세,"41,195","2,337","3,456","2,016","2,445","1,848","6,493","2,782","2,543","1,634","1,363","2,573","1,357","2,694","2,304","1,377","2,339","1,634"
2021년06월_계_70~79세,"24,916","1,664","1,884","1,345","1,564","1,048","3,588","1,541","1,596",898,759,"1,557",932,"1,705","1,427",950,"1,369","1,089"
2021년06월_계_80~89세,"9,807",664,731,540,629,396,"1,428",537,556,318,265,604,381,629,569,493,573,494
