,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2020년10월_계_총인구수,"186,695","58,877","5,405","7,481","3,390","5,773","15,365","5,277","6,356","7,678","6,871","3,731","1,946","12,481","23,564","22,500"
2020년10월_계_연령구간인구수,"186,695","58,877","5,405","7,481","3,390","5,773","15,365","5,277","6,356","7,678","6,871","3,731","1,946","12,481","23,564","22,500"
2020년10월_계_0~9세,"14,193","5,992",180,424,88,238,"1,436",149,390,297,236,90,44,721,"2,113","1,795"
2020년10월_계_10~19세,"18,341","7,515",302,658,149,277,"1,131",277,414,538,372,389,85,"1,067","2,558","2,609"
2020년10월_계_20~29세,"22,387","6,781",517,730,293,520,"2,021",473,788,674,697,439,184,"1,580","3,423","3,267"
2020년10월_계_30~39세,"23,175","8,472",417,672,259,526,"2,619",401,895,628,555,281,146,"1,347","3,204","2,753"
2020년10월_계_40~49세,"30,127","11,972",547,"1,064",343,711,"2,526",570,900,840,782,336,187,"1,773","3,998","3,578"
2020년10월_계_50~59세,"31,395","8,627","1,056","1,342",686,"1,103","2,387","1,049","1,200","1,425","1,459",669,382,"2,276","3,785","3,949"
2020년10월_계_60~69세,"24,886","5,198","1,153","1,353",754,"1,203","1,819","1,165",972,"1,647","1,394",744,457,"1,928","2,588","2,511"
2020년10월_계_70~79세,"13,609","2,851",721,699,466,678,907,659,487,968,817,475,256,"1,111","1,219","1,295"
2020년10월_계_80~89세,"7,501","1,299",444,464,313,458,457,439,267,574,506,281,175,580,597,647
2020년10월_계_90~99세,"1,023",164,63,72,37,54,58,91,40,82,47,26,29,90,77,93
2020년10월_계_100세 이상,58,6,5,3,2,5,4,4,3,5,6,1,1,8,2,3
2020년10월_남_총인구수,"96,241","29,703","2,863","3,770","1,783","3,128","8,566","2,782","3,592","4,016","3,642","1,935","1,010","6,239","11,917","11,295"
2020년10월_남_연령구간인구수,"96,241","29,703","2,863","3,770","1,783","3,128","8,566","2,782","3,592","4,016","3,642","1,935","1,010","6,239","11,917","11,295"
2020년10월_남_0~9세,"7,297","3,022",100,233,49,130,773,81,225,148,117,48,22,346,"1,073",930
2020년10월_남_10~19세,"9,543","3,896",177,327,81,144,583,126,245,306,191,163,50,541,"1,347","1,366"
2020년10월_남_20~29세,"12,348","3,602",301,401,183,332,"1,150",287,491,373,392,241,102,851,"1,836","1,806"
2020년10월_남_30~39세,"12,667","4,419",260,358,149,330,"1,535",238,560,390,340,187,89,724,"1,666","1,422"
2020년10월_남_40~49세,"16,086","6,125",324,579,205,439,"1,538",344,546,486,452,198,113,934,"2,062","1,741"
2020년10월_남_50~59세,"16,650","4,483",580,697,386,599,"1,389",591,651,774,838,372,200,"1,152","1,942","1,996"
2020년10월_남_60~69세,"12,550","2,435",625,695,386,651,962,631,534,839,734,390,233,941,"1,256","1,238"
2020년10월_남_70~79세,"6,229","1,261",322,301,218,328,452,317,236,473,385,227,127,502,529,551
2020년10월_남_80~89세,"2,650",422,162,167,116,163,174,153,89,210,184,105,69,227,183,226
2020년10월_남_90~99세,209,37,12,11,9,11,9,14,14,15,8,4,5,19,22,19
2020년10월_남_100세 이상,12,1,0,1,1,1,1,0,1,2,1,0,0,2,1,0
2020년10월_여_총인구수,"90,454","29,174","2,542","3,711","1,607","2,645","6,799","2,495","2,764","3,662","3,229","1,796",936,"6,242","11,647","11,205"
2020년10월_여_연령구간인구수,"90,454","29,174","2,542","3,711","1,607","2,645","6,799","2,495","2,764","3,662","3,229","1,796",936,"6,242","11,647","11,205"
2020년10월_여_0~9세,"6,896","2,970",80,191,39,108,663,68,165,149,119,42,22,375,"1,040",865
2020년10월_여_10~19세,"8,798","3,619",125,331,68,133,548,151,169,232,181,226,35,526,"1,211","1,243"
2020년10월_여_20~29세,"10,039","3,179",216,329,110,188,871,186,297,301,305,198,82,729,"1,587","1,461"
2020년10월_여_30~39세,"10,508","4,053",157,314,110,196,"1,084",163,335,238,215,94,57,623,"1,538","1,331"
2020년10월_여_40~49세,"14,041","5,847",223,485,138,272,988,226,354,354,330,138,74,839,"1,936","1,837"
2020년10월_여_50~59세,"14,745","4,144",476,645,300,504,998,458,549,651,621,297,182,"1,124","1,843","1,953"
2020년10월_여_60~69세,"12,336","2,763",528,658,368,552,857,534,438,808,660,354,224,987,"1,332","1,273"
2020년10월_여_70~79세,"7,380","1,590",399,398,248,350,455,342,251,495,432,248,129,609,690,744
2020년10월_여_80~89세,"4,851",877,282,297,197,295,283,286,178,364,322,176,106,353,414,421
2020년10월_여_90~99세,814,127,51,61,28,43,49,77,26,67,39,22,24,71,55,74
2020년10월_여_100세 이상,46,5,5,2,1,4,3,4,2,3,5,1,1,6,1,3
