카테고리,충청북도 진천군,충청북도 진천군 진천읍,충청북도 진천군 덕산읍,충청북도 진천군 덕산읍혁신도시출장소,충청북도 진천군 초평면,충청북도 진천군 문백면,충청북도 진천군 백곡면,충청북도 진천군 이월면,충청북도 진천군 광혜원면
2020년04월_계_총인구수,"81,483","30,113","25,540",0,"3,236","3,590","2,094","6,263","10,647"
2020년04월_계_연령구간인구수,"81,483","30,113","25,540",0,"3,236","3,590","2,094","6,263","10,647"
2020년04월_계_0~9세,"7,670","2,415","3,955",0,80,132,57,245,786
2020년04월_계_10~19세,"7,897","3,320","2,617",0,188,146,75,419,"1,132"
2020년04월_계_20~29세,"8,935","3,801","2,727",0,208,301,111,550,"1,237"
2020년04월_계_30~39세,"11,282","3,363","5,489",0,188,275,120,507,"1,340"
2020년04월_계_40~49세,"13,163","5,073","4,562",0,324,375,185,759,"1,885"
2020년04월_계_50~59세,"13,484","5,291","3,070",0,639,773,399,"1,264","2,048"
2020년04월_계_60~69세,"9,735","3,531","1,732",0,723,759,519,"1,250","1,221"
2020년04월_계_70~79세,"5,456","2,032",825,0,475,464,344,710,606
2020년04월_계_80~89세,"3,401","1,130",496,0,374,323,249,484,345
2020년04월_계_90~99세,442,152,63,0,37,42,33,68,47
2020년04월_계_100세 이상,18,5,4,0,0,0,2,7,0
2020년04월_남_총인구수,"42,652","15,453","13,477",0,"1,654","1,896","1,059","3,312","5,801"
2020년04월_남_연령구간인구수,"42,652","15,453","13,477",0,"1,654","1,896","1,059","3,312","5,801"
2020년04월_남_0~9세,"3,951","1,250","2,022",0,40,67,26,131,415
2020년04월_남_10~19세,"4,138","1,749","1,325",0,98,72,45,219,630
2020년04월_남_20~29세,"5,173","2,182","1,543",0,120,179,69,345,735
2020년04월_남_30~39세,"6,152","1,762","2,957",0,118,162,69,303,781
2020년04월_남_40~49세,"7,206","2,658","2,527",0,196,240,108,438,"1,039"
2020년04월_남_50~59세,"7,364","2,832","1,667",0,373,431,230,698,"1,133"
2020년04월_남_60~69세,"4,964","1,699",870,0,376,410,259,682,668
2020년04월_남_70~79세,"2,475",907,371,0,215,225,156,330,271
2020년04월_남_80~89세,"1,138",381,177,0,111,100,92,156,121
2020년04월_남_90~99세,86,31,18,0,7,10,5,7,8
2020년04월_남_100세 이상,5,2,0,0,0,0,0,3,0
2020년04월_여_총인구수,"38,831","14,660","12,063",0,"1,582","1,694","1,035","2,951","4,846"
2020년04월_여_연령구간인구수,"38,831","14,660","12,063",0,"1,582","1,694","1,035","2,951","4,846"
2020년04월_여_0~9세,"3,719","1,165","1,933",0,40,65,31,114,371
2020년04월_여_10~19세,"3,759","1,571","1,292",0,90,74,30,200,502
2020년04월_여_20~29세,"3,762","1,619","1,184",0,88,122,42,205,502
2020년04월_여_30~39세,"5,130","1,601","2,532",0,70,113,51,204,559
2020년04월_여_40~49세,"5,957","2,415","2,035",0,128,135,77,321,846
2020년04월_여_50~59세,"6,120","2,459","1,403",0,266,342,169,566,915
2020년04월_여_60~69세,"4,771","1,832",862,0,347,349,260,568,553
2020년04월_여_70~79세,"2,981","1,125",454,0,260,239,188,380,335
2020년04월_여_80~89세,"2,263",749,319,0,263,223,157,328,224
2020년04월_여_90~99세,356,121,45,0,30,32,28,61,39
2020년04월_여_100세 이상,13,3,4,0,0,0,2,4,0
