카테고리,경기도 양평군,경기도 양평군 양평읍,경기도 양평군 강상면,경기도 양평군 강하면,경기도 양평군 양서면,경기도 양평군 옥천면,경기도 양평군 서종면,경기도 양평군 단월면,경기도 양평군 청운면,경기도 양평군 양동면,경기도 양평군 지평면,경기도 양평군 용문면,경기도 양평군 개군면
2020년01월_계_총인구수,"116,910","30,548","10,045","4,618","12,996","7,768","9,505","3,933","3,718","4,579","6,784","17,324","5,092"
2020년01월_계_연령구간인구수,"116,910","30,548","10,045","4,618","12,996","7,768","9,505","3,933","3,718","4,579","6,784","17,324","5,092"
2020년01월_계_0~9세,"7,590","2,366",938,163,734,501,660,137,120,150,240,"1,347",234
2020년01월_계_10~19세,"9,719","3,350",888,248,996,553,797,260,163,188,396,"1,546",334
2020년01월_계_20~29세,"10,447","3,494",789,342,"1,172",703,603,267,239,303,487,"1,643",405
2020년01월_계_30~39세,"11,151","3,359","1,239",385,"1,232",787,847,321,210,301,410,"1,672",388
2020년01월_계_40~49세,"16,357","4,880","1,600",493,"1,796","1,037","1,500",471,380,419,722,"2,451",608
2020년01월_계_50~59세,"20,984","5,367","1,708",915,"2,388","1,404","1,721",711,698,880,"1,317","2,912",963
2020년01월_계_60~69세,"21,062","4,089","1,560","1,132","2,435","1,543","1,939",888,897,"1,134","1,529","2,823","1,093"
2020년01월_계_70~79세,"12,679","2,392",873,675,"1,510",835,981,561,604,693,"1,001","1,863",691
2020년01월_계_80~89세,"5,948","1,103",393,214,627,350,375,280,356,432,569,913,336
2020년01월_계_90~99세,911,133,54,50,98,51,76,37,45,71,110,148,38
2020년01월_계_100세 이상,62,15,3,1,8,4,6,0,6,8,3,6,2
2020년01월_남_총인구수,"58,654","15,282","4,955","2,336","6,525","3,916","4,710","1,996","1,880","2,271","3,451","8,751","2,581"
2020년01월_남_연령구간인구수,"58,654","15,282","4,955","2,336","6,525","3,916","4,710","1,996","1,880","2,271","3,451","8,751","2,581"
2020년01월_남_0~9세,"3,894","1,221",467,93,378,248,317,67,60,82,147,696,118
2020년01월_남_10~19세,"5,159","1,753",453,147,520,290,435,140,94,99,219,825,184
2020년01월_남_20~29세,"5,688","1,863",413,193,624,423,325,148,125,168,280,902,224
2020년01월_남_30~39세,"5,622","1,665",595,199,640,393,406,194,112,166,218,829,205
2020년01월_남_40~49세,"8,448","2,412",810,260,935,560,746,262,227,231,392,"1,287",326
2020년01월_남_50~59세,"10,735","2,772",851,458,"1,205",701,846,341,370,467,686,"1,542",496
2020년01월_남_60~69세,"10,443","2,053",749,536,"1,183",743,952,467,449,554,816,"1,400",541
2020년01월_남_70~79세,"6,205","1,125",452,350,744,410,522,275,294,325,461,893,354
2020년01월_남_80~89세,"2,215",380,147,89,267,133,139,95,142,161,198,342,122
2020년01월_남_90~99세,232,35,18,10,25,15,20,7,7,17,34,34,10
2020년01월_남_100세 이상,13,3,0,1,4,0,2,0,0,1,0,1,1
2020년01월_여_총인구수,"58,256","15,266","5,090","2,282","6,471","3,852","4,795","1,937","1,838","2,308","3,333","8,573","2,511"
2020년01월_여_연령구간인구수,"58,256","15,266","5,090","2,282","6,471","3,852","4,795","1,937","1,838","2,308","3,333","8,573","2,511"
2020년01월_여_0~9세,"3,696","1,145",471,70,356,253,343,70,60,68,93,651,116
2020년01월_여_10~19세,"4,560","1,597",435,101,476,263,362,120,69,89,177,721,150
2020년01월_여_20~29세,"4,759","1,631",376,149,548,280,278,119,114,135,207,741,181
2020년01월_여_30~39세,"5,529","1,694",644,186,592,394,441,127,98,135,192,843,183
2020년01월_여_40~49세,"7,909","2,468",790,233,861,477,754,209,153,188,330,"1,164",282
2020년01월_여_50~59세,"10,249","2,595",857,457,"1,183",703,875,370,328,413,631,"1,370",467
2020년01월_여_60~69세,"10,619","2,036",811,596,"1,252",800,987,421,448,580,713,"1,423",552
2020년01월_여_70~79세,"6,474","1,267",421,325,766,425,459,286,310,368,540,970,337
2020년01월_여_80~89세,"3,733",723,246,125,360,217,236,185,214,271,371,571,214
2020년01월_여_90~99세,679,98,36,40,73,36,56,30,38,54,76,114,28
2020년01월_여_100세 이상,49,12,3,0,4,4,4,0,6,7,3,5,1
