,전라남도 완도군,전라남도 완도군 완도읍,전라남도 완도군 금일읍,전라남도 완도군 노화읍,전라남도 완도군 노화읍넙도출장소,전라남도 완도군 군외면,전라남도 완도군 신지면,전라남도 완도군 고금면,전라남도 완도군 약산면,전라남도 완도군 청산면,전라남도 완도군 청산면모도출장소,전라남도 완도군 소안면,전라남도 완도군 금당면,전라남도 완도군 보길면,전라남도 완도군 생일면
2020년04월_계_총인구수,"50,351","18,355","3,770","4,475",787,"3,329","3,496","4,314","2,388","2,102",228,"2,579",998,"2,697",833
2020년04월_계_연령구간인구수,"50,351","18,355","3,770","4,475",787,"3,329","3,496","4,314","2,388","2,102",228,"2,579",998,"2,697",833
2020년04월_계_0~9세,"3,278","1,502",212,358,45,108,137,209,126,67,10,150,38,274,42
2020년04월_계_10~19세,"3,738","1,788",196,382,53,143,226,266,104,107,8,158,58,214,35
2020년04월_계_20~29세,"3,817","1,825",239,287,40,204,217,279,132,134,10,164,66,160,60
2020년04월_계_30~39세,"4,270","1,894",300,424,82,205,214,278,137,143,7,185,60,278,63
2020년04월_계_40~49세,"6,302","2,737",440,575,117,346,420,430,226,176,29,290,100,325,91
2020년04월_계_50~59세,"8,312","3,171",604,699,130,552,606,621,396,376,33,365,176,430,153
2020년04월_계_60~69세,"8,320","2,670",729,607,155,705,621,726,480,399,36,454,163,438,137
2020년04월_계_70~79세,"7,475","1,811",639,651,124,646,609,898,489,377,49,487,186,352,157
2020년04월_계_80~89세,"4,285",840,359,437,36,372,401,538,266,285,40,296,130,204,81
2020년04월_계_90~99세,531,108,50,54,3,46,44,67,32,37,5,29,21,22,13
2020년04월_계_100세 이상,23,9,2,1,2,2,1,2,0,1,1,1,0,0,1
2020년04월_남_총인구수,"25,319","9,265","1,920","2,238",430,"1,657","1,787","2,092","1,212","1,037",117,"1,272",494,"1,362",436
2020년04월_남_연령구간인구수,"25,319","9,265","1,920","2,238",430,"1,657","1,787","2,092","1,212","1,037",117,"1,272",494,"1,362",436
2020년04월_남_0~9세,"1,689",801,104,171,22,61,63,103,81,29,8,70,18,137,21
2020년04월_남_10~19세,"1,923",913,99,205,28,71,119,131,47,55,4,77,35,115,24
2020년04월_남_20~29세,"2,248","1,052",140,172,29,108,141,165,81,89,9,101,42,88,31
2020년04월_남_30~39세,"2,348",965,183,237,52,137,115,152,78,96,3,108,34,147,41
2020년04월_남_40~49세,"3,701","1,444",295,345,82,210,275,250,150,103,21,193,63,201,69
2020년04월_남_50~59세,"4,539","1,661",339,383,71,304,352,355,229,214,18,205,99,227,82
2020년04월_남_60~69세,"4,125","1,295",379,310,73,343,307,357,235,204,21,217,81,235,68
2020년04월_남_70~79세,"3,275",837,269,270,62,304,264,377,215,148,22,200,81,154,72
2020년04월_남_80~89세,"1,374",279,103,136,11,113,141,190,88,91,11,94,36,54,27
2020년04월_남_90~99세,94,17,9,9,0,6,10,12,8,7,0,6,5,4,1
2020년04월_남_100세 이상,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0
2020년04월_여_총인구수,"25,032","9,090","1,850","2,237",357,"1,672","1,709","2,222","1,176","1,065",111,"1,307",504,"1,335",397
2020년04월_여_연령구간인구수,"25,032","9,090","1,850","2,237",357,"1,672","1,709","2,222","1,176","1,065",111,"1,307",504,"1,335",397
2020년04월_여_0~9세,"1,589",701,108,187,23,47,74,106,45,38,2,80,20,137,21
2020년04월_여_10~19세,"1,815",875,97,177,25,72,107,135,57,52,4,81,23,99,11
2020년04월_여_20~29세,"1,569",773,99,115,11,96,76,114,51,45,1,63,24,72,29
2020년04월_여_30~39세,"1,922",929,117,187,30,68,99,126,59,47,4,77,26,131,22
2020년04월_여_40~49세,"2,601","1,293",145,230,35,136,145,180,76,73,8,97,37,124,22
2020년04월_여_50~59세,"3,773","1,510",265,316,59,248,254,266,167,162,15,160,77,203,71
2020년04월_여_60~69세,"4,195","1,375",350,297,82,362,314,369,245,195,15,237,82,203,69
2020년04월_여_70~79세,"4,200",974,370,381,62,342,345,521,274,229,27,287,105,198,85
2020년04월_여_80~89세,"2,911",561,256,301,25,259,260,348,178,194,29,202,94,150,54
2020년04월_여_90~99세,437,91,41,45,3,40,34,55,24,30,5,23,16,18,12
2020년04월_여_100세 이상,20,8,2,1,2,2,1,2,0,0,1,0,0,0,1
