카테고리,강원도 화천군,강원도 화천군 화천읍,강원도 화천군 간동면,강원도 화천군 하남면,강원도 화천군 상서면,강원도 화천군 사내면
2021년01월_계_총인구수,"24,732","8,401","2,707","2,907","4,285","6,432"
2021년01월_계_연령구간인구수,"24,732","8,401","2,707","2,907","4,285","6,432"
2021년01월_계_0~9세,"1,784",706,56,135,300,587
2021년01월_계_10~19세,"1,769",763,141,276,150,439
2021년01월_계_20~29세,"3,858","1,197",270,267,"1,134",990
2021년01월_계_30~39세,"2,844","1,002",138,249,541,914
2021년01월_계_40~49세,"2,714","1,154",217,374,329,640
2021년01월_계_50~59세,"3,885","1,315",574,529,515,952
2021년01월_계_60~69세,"3,862","1,080",629,517,635,"1,001"
2021년01월_계_70~79세,"2,390",732,406,318,381,553
2021년01월_계_80~89세,"1,382",398,225,208,252,299
2021년01월_계_90~99세,228,50,50,29,46,53
2021년01월_계_100세 이상,16,4,1,5,2,4
2021년01월_남_총인구수,"13,412","4,387","1,436","1,514","2,603","3,472"
2021년01월_남_연령구간인구수,"13,412","4,387","1,436","1,514","2,603","3,472"
2021년01월_남_0~9세,897,361,29,70,141,296
2021년01월_남_10~19세,901,396,66,139,80,220
2021년01월_남_20~29세,"2,703",745,199,147,925,687
2021년01월_남_30~39세,"1,666",556,82,129,364,535
2021년01월_남_40~49세,"1,477",601,107,214,198,357
2021년01월_남_50~59세,"2,108",714,329,301,278,486
2021년01월_남_60~69세,"2,059",567,343,281,351,517
2021년01월_남_70~79세,"1,058",299,189,151,169,250
2021년01월_남_80~89세,478,133,77,73,88,107
2021년01월_남_90~99세,58,14,14,7,8,15
2021년01월_남_100세 이상,7,1,1,2,1,2
2021년01월_여_총인구수,"11,320","4,014","1,271","1,393","1,682","2,960"
2021년01월_여_연령구간인구수,"11,320","4,014","1,271","1,393","1,682","2,960"
2021년01월_여_0~9세,887,345,27,65,159,291
2021년01월_여_10~19세,868,367,75,137,70,219
2021년01월_여_20~29세,"1,155",452,71,120,209,303
2021년01월_여_30~39세,"1,178",446,56,120,177,379
2021년01월_여_40~49세,"1,237",553,110,160,131,283
2021년01월_여_50~59세,"1,777",601,245,228,237,466
2021년01월_여_60~69세,"1,803",513,286,236,284,484
2021년01월_여_70~79세,"1,332",433,217,167,212,303
2021년01월_여_80~89세,904,265,148,135,164,192
2021년01월_여_90~99세,170,36,36,22,38,38
2021년01월_여_100세 이상,9,3,0,3,1,2
