카테고리,경상북도 포항시,경상북도 포항시 남구,경상북도 포항시 남구 구룡포읍,경상북도 포항시 남구 연일읍,경상북도 포항시 남구 오천읍,경상북도 포항시 남구 대송면,경상북도 포항시 남구 동해면,경상북도 포항시 남구 장기면,경상북도 포항시 남구 호미곶면,경상북도 포항시 남구 상대동,경상북도 포항시 남구 해도동,경상북도 포항시 남구 송도동,경상북도 포항시 남구 청림동,경상북도 포항시 남구 제철동,경상북도 포항시 남구 효곡동,경상북도 포항시 남구 대이동,경상북도 포항시 북구,경상북도 포항시 북구 흥해읍,경상북도 포항시 북구 신광면,경상북도 포항시 북구 청하면,경상북도 포항시 북구 송라면,경상북도 포항시 북구 기계면,경상북도 포항시 북구 죽장면,경상북도 포항시 북구 죽장면상옥출장소,경상북도 포항시 북구 기북면,경상북도 포항시 북구 중앙동,경상북도 포항시 북구 양학동,경상북도 포항시 북구 죽도동,경상북도 포항시 북구 용흥동,경상북도 포항시 북구 우창동,경상북도 포항시 북구 두호동,경상북도 포항시 북구 장량동,경상북도 포항시 북구 환여동
2021년05월_계_총인구수,"503,580","231,084","7,432","30,448","55,516","3,445","9,860","4,087","1,882","24,874","17,172","12,403","4,720","2,910","30,690","25,645","272,496","40,868","2,883","4,792","2,518","4,952","2,113",607,"1,312","15,584","17,038","19,872","22,041","32,303","23,032","73,079","9,502"
2021년05월_계_연령구간인구수,"503,580","231,084","7,432","30,448","55,516","3,445","9,860","4,087","1,882","24,874","17,172","12,403","4,720","2,910","30,690","25,645","272,496","40,868","2,883","4,792","2,518","4,952","2,113",607,"1,312","15,584","17,038","19,872","22,041","32,303","23,032","73,079","9,502"
2021년05월_계_0~9세,"38,629","17,031",133,"2,282","5,537",62,532,63,28,"1,130",605,415,191,149,"3,664","2,240","21,598","3,819",62,100,38,79,40,7,16,565,"1,180",761,"1,407","3,028","1,591","8,031",874
2021년05월_계_10~19세,"46,432","21,110",237,"3,629","5,868",129,767,122,70,"1,487",775,688,264,191,"3,927","2,956","25,322","3,690",80,191,86,192,58,17,39,799,"1,826",913,"1,977","3,081","2,381","8,854","1,138"
2021년05월_계_20~29세,"56,876","26,687",440,"3,554","6,696",262,971,193,93,"3,290","1,643","1,020",636,671,"3,598","3,620","30,189","4,169",173,303,151,282,61,26,53,"1,610","2,103","2,333","2,326","3,744","2,873","9,086",896
2021년05월_계_30~39세,"58,610","26,535",429,"2,994","8,039",247,965,186,84,"2,934","1,586","1,008",489,346,"3,799","3,429","32,075","4,972",123,258,104,227,63,14,59,"1,741","1,836","2,364","2,149","4,445","2,470","10,063","1,187"
2021년05월_계_40~49세,"76,877","35,591",726,"5,094","10,313",304,"1,241",289,183,"3,305","2,166","1,421",529,354,"5,299","4,367","41,286","6,283",214,448,189,371,121,37,94,"1,929","2,624","2,501","3,242","4,869","3,300","13,408","1,656"
2021년05월_계_50~59세,"89,344","41,057","1,392","5,979","8,609",668,"1,815",700,317,"4,439","3,288","2,276",807,491,"5,295","4,981","48,287","7,063",471,897,464,907,386,113,208,"2,700","3,403","3,434","4,063","5,950","4,639","12,149","1,440"
2021년05월_계_60~69세,"81,097","37,637","1,965","4,400","6,549",941,"1,849","1,002",454,"5,170","4,197","3,184",984,425,"3,833","2,684","43,460","6,105",800,"1,151",635,"1,277",615,209,374,"3,318","2,643","4,287","4,162","4,684","3,761","8,004","1,435"
2021년05월_계_70~79세,"37,525","17,497","1,304","1,728","2,596",542,"1,120",809,388,"2,444","2,207","1,710",592,199,936,922,"20,028","2,971",496,846,478,899,420,116,261,"2,017","1,019","2,365","1,901","1,701","1,428","2,458",652
2021년05월_계_80~89세,"15,900","6,981",719,707,"1,166",246,522,621,228,590,642,590,203,76,278,393,"8,919","1,551",402,517,319,619,310,55,176,791,344,797,719,703,523,889,204
2021년05월_계_90~99세,"2,221",919,84,77,135,42,75,98,36,82,60,90,23,8,58,51,"1,302",242,61,80,54,98,38,13,29,110,57,114,92,96,64,134,20
2021년05월_계_100세 이상,69,39,3,4,8,2,3,4,1,3,3,1,2,0,3,2,30,3,1,1,0,1,1,0,3,4,3,3,3,2,2,3,0
2021년05월_남_총인구수,"254,933","119,382","3,750","15,527","29,574","1,786","4,985","1,994",924,"12,885","8,816","6,219","2,568","1,736","15,606","13,012","135,551","20,526","1,432","2,363","1,226","2,410","1,050",309,639,"7,644","8,429","9,831","10,797","15,785","11,423","36,995","4,692"
