,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년12월_계_총인구수,"25,235","10,730","1,268","1,491","2,513","2,614","2,243","1,432","2,944"
2021년12월_계_연령구간인구수,"25,235","10,730","1,268","1,491","2,513","2,614","2,243","1,432","2,944"
2021년12월_계_0~9세,"1,024",633,35,38,46,93,61,34,84
2021년12월_계_10~19세,"1,774","1,031",62,67,139,172,101,47,155
2021년12월_계_20~29세,"1,882","1,000",84,82,143,188,104,96,185
2021년12월_계_30~39세,"1,506",805,42,73,98,143,118,85,142
2021년12월_계_40~49세,"2,707","1,379",117,134,222,300,171,141,243
2021년12월_계_50~59세,"4,555","1,929",253,278,510,453,353,224,555
2021년12월_계_60~69세,"4,910","1,787",272,314,617,522,484,286,628
2021년12월_계_70~79세,"3,781","1,274",208,282,380,403,436,275,523
2021년12월_계_80~89세,"2,685",764,169,199,308,289,360,212,384
2021년12월_계_90~99세,398,123,25,24,50,47,53,32,44
2021년12월_계_100세 이상,13,5,1,0,0,4,2,0,1
2021년12월_남_총인구수,"12,285","5,215",640,730,"1,237","1,280","1,069",691,"1,423"
2021년12월_남_연령구간인구수,"12,285","5,215",640,730,"1,237","1,280","1,069",691,"1,423"
2021년12월_남_0~9세,493,300,21,16,25,46,28,18,39
2021년12월_남_10~19세,928,544,33,30,68,101,53,29,70
2021년12월_남_20~29세,"1,066",558,53,43,86,96,59,55,116
2021년12월_남_30~39세,771,387,17,39,60,76,70,51,71
2021년12월_남_40~49세,"1,456",688,70,85,124,165,103,78,143
2021년12월_남_50~59세,"2,528","1,005",140,164,287,272,208,127,325
2021년12월_남_60~69세,"2,473",890,156,159,316,255,244,139,314
2021년12월_남_70~79세,"1,615",552,82,121,161,173,187,119,220
2021년12월_남_80~89세,871,266,67,67,96,85,108,66,116
2021년12월_남_90~99세,82,24,1,6,14,10,9,9,9
2021년12월_남_100세 이상,2,1,0,0,0,1,0,0,0
2021년12월_여_총인구수,"12,950","5,515",628,761,"1,276","1,334","1,174",741,"1,521"
2021년12월_여_연령구간인구수,"12,950","5,515",628,761,"1,276","1,334","1,174",741,"1,521"
2021년12월_여_0~9세,531,333,14,22,21,47,33,16,45
2021년12월_여_10~19세,846,487,29,37,71,71,48,18,85
2021년12월_여_20~29세,816,442,31,39,57,92,45,41,69
2021년12월_여_30~39세,735,418,25,34,38,67,48,34,71
2021년12월_여_40~49세,"1,251",691,47,49,98,135,68,63,100
2021년12월_여_50~59세,"2,027",924,113,114,223,181,145,97,230
2021년12월_여_60~69세,"2,437",897,116,155,301,267,240,147,314
2021년12월_여_70~79세,"2,166",722,126,161,219,230,249,156,303
2021년12월_여_80~89세,"1,814",498,102,132,212,204,252,146,268
2021년12월_여_90~99세,316,99,24,18,36,37,44,23,35
2021년12월_여_100세 이상,11,4,1,0,0,3,2,0,1
