카테고리,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2021년02월_계_총인구수,"38,907","4,226",243,"5,795",247,227,"1,463",309,"3,182","2,265","3,555","2,513",221,"2,300",465,223,483,322,"1,764","1,551","1,561","2,700",275,974,"2,043"
2021년02월_계_연령구간인구수,"38,907","4,226",243,"5,795",247,227,"1,463",309,"3,182","2,265","3,555","2,513",221,"2,300",465,223,483,322,"1,764","1,551","1,561","2,700",275,974,"2,043"
2021년02월_계_0~9세,"1,539",136,5,217,9,13,40,7,175,78,145,103,9,72,13,15,24,11,74,71,75,117,11,23,96
2021년02월_계_10~19세,"2,034",230,6,295,6,6,46,10,226,101,207,211,5,117,24,14,29,20,110,103,62,96,8,31,71
2021년02월_계_20~29세,"2,729",275,13,488,8,7,98,19,229,136,213,168,8,206,59,16,44,32,120,129,84,194,17,45,121
2021년02월_계_30~39세,"2,689",256,16,417,19,11,89,17,215,137,234,174,13,190,60,14,53,26,116,122,109,176,32,64,129
2021년02월_계_40~49세,"4,327",448,16,641,23,21,189,34,406,213,410,267,31,303,81,26,87,42,196,213,165,221,25,86,183
2021년02월_계_50~59세,"7,028",770,52,"1,100",37,35,294,67,575,426,631,388,61,432,97,44,107,64,312,283,236,458,46,141,372
2021년02월_계_60~69세,"7,667",866,54,"1,239",65,49,236,69,589,464,701,458,45,389,67,45,68,64,329,285,330,551,63,216,425
2021년02월_계_70~79세,"6,356",725,41,838,56,55,282,57,503,420,620,408,30,328,40,24,40,40,286,200,286,476,45,212,344
2021년02월_계_80~89세,"4,008",454,38,482,22,28,171,28,247,264,345,307,16,214,23,22,31,18,196,128,191,352,25,137,269
2021년02월_계_90~99세,513,65,2,75,2,2,18,1,17,25,49,28,2,44,1,3,0,5,25,15,21,58,3,19,33
2021년02월_계_100세 이상,17,1,0,3,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,2,2,1,0,0,0
2021년02월_남_총인구수,"20,740","2,201",128,"3,126",125,132,798,181,"1,693","1,192","1,871","1,286",128,"1,271",301,125,281,192,935,844,821,"1,402",153,485,"1,069"
2021년02월_남_연령구간인구수,"20,740","2,201",128,"3,126",125,132,798,181,"1,693","1,192","1,871","1,286",128,"1,271",301,125,281,192,935,844,821,"1,402",153,485,"1,069"
2021년02월_남_0~9세,773,77,2,113,4,11,18,3,76,43,77,51,6,30,8,7,11,5,34,30,38,59,6,12,52
2021년02월_남_10~19세,"1,055",113,2,139,2,4,25,9,123,54,100,98,3,69,15,9,18,10,61,55,26,54,6,17,43
2021년02월_남_20~29세,"1,647",175,10,282,5,5,59,10,142,79,108,108,3,125,40,9,22,21,75,74,51,115,13,38,78
2021년02월_남_30~39세,"1,705",149,9,273,13,9,66,15,126,94,148,111,6,124,48,10,40,15,65,70,69,106,22,37,80
2021년02월_남_40~49세,"2,893",290,12,412,17,16,136,25,276,136,262,159,24,217,61,21,64,34,128,147,116,151,15,56,118
2021년02월_남_50~59세,"4,279",464,36,633,20,22,197,46,354,245,395,226,42,273,69,28,66,45,197,173,153,284,23,74,214
2021년02월_남_60~69세,"4,224",479,33,693,37,26,122,33,315,245,379,257,24,225,39,26,34,38,180,165,173,306,36,120,239
2021년02월_남_70~79세,"2,865",307,13,398,20,25,117,29,218,191,288,186,17,137,14,11,19,21,141,94,132,210,25,94,158
2021년02월_남_80~89세,"1,198",137,11,169,6,13,55,11,61,99,107,83,3,68,7,3,7,2,49,31,58,105,5,34,74
2021년02월_남_90~99세,96,10,0,13,1,1,3,0,2,6,7,7,0,2,0,1,0,1,5,4,4,11,2,3,13
2021년02월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2021년02월_여_총인구수,"18,167","2,025",115,"2,669",122,95,665,128,"1,489","1,073","1,684","1,227",93,"1,029",164,98,202,130,829,707,740,"1,298",122,489,974
2021년02월_여_연령구간인구수,"18,167","2,025",115,"2,669",122,95,665,128,"1,489","1,073","1,684","1,227",93,"1,029",164,98,202,130,829,707,740,"1,298",122,489,974
2021년02월_여_0~9세,766,59,3,104,5,2,22,4,99,35,68,52,3,42,5,8,13,6,40,41,37,58,5,11,44
2021년02월_여_10~19세,979,117,4,156,4,2,21,1,103,47,107,113,2,48,9,5,11,10,49,48,36,42,2,14,28
2021년02월_여_20~29세,"1,082",100,3,206,3,2,39,9,87,57,105,60,5,81,19,7,22,11,45,55,33,79,4,7,43
2021년02월_여_30~39세,984,107,7,144,6,2,23,2,89,43,86,63,7,66,12,4,13,11,51,52,40,70,10,27,49
2021년02월_여_40~49세,"1,434",158,4,229,6,5,53,9,130,77,148,108,7,86,20,5,23,8,68,66,49,70,10,30,65
2021년02월_여_50~59세,"2,749",306,16,467,17,13,97,21,221,181,236,162,19,159,28,16,41,19,115,110,83,174,23,67,158
2021년02월_여_60~69세,"3,443",387,21,546,28,23,114,36,274,219,322,201,21,164,28,19,34,26,149,120,157,245,27,96,186
2021년02월_여_70~79세,"3,491",418,28,440,36,30,165,28,285,229,332,222,13,191,26,13,21,19,145,106,154,266,20,118,186
2021년02월_여_80~89세,"2,810",317,27,313,16,15,116,17,186,165,238,224,13,146,16,19,24,16,147,97,133,247,20,103,195
2021년02월_여_90~99세,417,55,2,62,1,1,15,1,15,19,42,21,2,42,1,2,0,4,20,11,17,47,1,16,20
2021년02월_여_100세 이상,12,1,0,2,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,1,1,0,0,0,0
