카테고리,경상남도 양산시,경상남도 양산시 물금읍,경상남도 양산시 동면,경상남도 양산시 원동면,경상남도 양산시 상북면,경상남도 양산시 하북면,경상남도 양산시 중앙동,경상남도 양산시 양주동,경상남도 양산시 삼성동,경상남도 양산시 강서동,경상남도 양산시 서창동,경상남도 양산시 소주동,경상남도 양산시 평산동,경상남도 양산시 덕계동
2021년09월_계_총인구수,"353,662","121,006","35,056","3,344","12,706","8,198","11,502","33,152","22,064","8,975","28,445","20,421","30,620","18,173"
2021년09월_계_연령구간인구수,"353,662","121,006","35,056","3,344","12,706","8,198","11,502","33,152","22,064","8,975","28,445","20,421","30,620","18,173"
2021년09월_계_0~9세,"33,283","15,573","4,645",76,492,163,451,"2,375","1,312",695,"2,174","1,363","2,306","1,658"
2021년09월_계_10~19세,"34,594","12,985","2,941",111,793,540,579,"4,106","1,739","1,011","3,287","1,798","3,161","1,543"
2021년09월_계_20~29세,"39,622","13,839","3,122",148,"1,229",789,"1,397","4,510","3,064","1,006","3,153","2,195","3,148","2,022"
2021년09월_계_30~39세,"47,630","20,524","6,062",189,"1,059",565,"1,276","3,206","2,986","1,048","3,134","2,207","2,969","2,405"
2021년09월_계_40~49세,"61,322","22,606","6,577",265,"1,543",884,"1,452","5,913","3,420","1,627","5,382","3,394","5,374","2,885"
2021년09월_계_50~59세,"59,000","17,120","4,753",590,"2,669","1,798","2,411","6,287","4,510","1,530","4,997","3,885","5,191","3,259"
2021년09월_계_60~69세,"45,896","11,653","4,285",973,"2,772","1,956","2,408","3,689","3,232","1,234","3,793","3,116","4,277","2,508"
2021년09월_계_70~79세,"21,766","4,642","1,902",632,"1,392",930,"1,031","2,090","1,194",547,"1,763","1,603","2,786","1,254"
2021년09월_계_80~89세,"9,329","1,816",673,313,652,474,439,884,527,243,676,784,"1,283",565
2021년09월_계_90~99세,"1,187",244,95,46,102,90,58,90,78,34,82,74,122,72
2021년09월_계_100세 이상,33,4,1,1,3,9,0,2,2,0,4,2,3,2
2021년09월_남_총인구수,"177,286","59,780","17,801","1,717","6,492","4,275","6,119","16,017","11,596","4,502","14,865","10,211","14,919","8,992"
2021년09월_남_연령구간인구수,"177,286","59,780","17,801","1,717","6,492","4,275","6,119","16,017","11,596","4,502","14,865","10,211","14,919","8,992"
2021년09월_남_0~9세,"17,002","7,925","2,410",44,255,86,233,"1,205",669,342,"1,110",698,"1,179",846
2021년09월_남_10~19세,"17,683","6,601","1,488",54,395,286,326,"2,148",899,460,"1,693",920,"1,619",794
2021년09월_남_20~29세,"21,326","6,906","1,693",88,726,484,838,"2,377","1,832",534,"1,815","1,222","1,713","1,098"
2021년09월_남_30~39세,"24,478","10,125","3,066",117,621,329,758,"1,576","1,735",577,"1,690","1,152","1,481","1,251"
2021년09월_남_40~49세,"31,221","11,361","3,543",155,817,474,809,"2,679","1,831",833,"2,852","1,717","2,734","1,416"
2021년09월_남_50~59세,"29,741","8,403","2,368",319,"1,394",936,"1,285","3,065","2,210",795,"2,720","2,008","2,630","1,608"
2021년09월_남_60~69세,"22,462","5,664","2,029",502,"1,435","1,056","1,208","1,722","1,707",624,"1,900","1,519","1,891","1,205"
2021년09월_남_70~79세,"9,863","2,166",944,320,597,454,483,878,541,260,820,692,"1,155",553
2021년09월_남_80~89세,"3,249",586,243,107,227,149,161,347,155,74,249,263,484,204
2021년09월_남_90~99세,258,43,17,11,25,21,18,19,17,3,15,20,32,17
2021년09월_남_100세 이상,3,0,0,0,0,0,0,1,0,0,1,0,1,0
2021년09월_여_총인구수,"176,376","61,226","17,255","1,627","6,214","3,923","5,383","17,135","10,468","4,473","13,580","10,210","15,701","9,181"
2021년09월_여_연령구간인구수,"176,376","61,226","17,255","1,627","6,214","3,923","5,383","17,135","10,468","4,473","13,580","10,210","15,701","9,181"
2021년09월_여_0~9세,"16,281","7,648","2,235",32,237,77,218,"1,170",643,353,"1,064",665,"1,127",812
2021년09월_여_10~19세,"16,911","6,384","1,453",57,398,254,253,"1,958",840,551,"1,594",878,"1,542",749
2021년09월_여_20~29세,"18,296","6,933","1,429",60,503,305,559,"2,133","1,232",472,"1,338",973,"1,435",924
2021년09월_여_30~39세,"23,152","10,399","2,996",72,438,236,518,"1,630","1,251",471,"1,444","1,055","1,488","1,154"
2021년09월_여_40~49세,"30,101","11,245","3,034",110,726,410,643,"3,234","1,589",794,"2,530","1,677","2,640","1,469"
2021년09월_여_50~59세,"29,259","8,717","2,385",271,"1,275",862,"1,126","3,222","2,300",735,"2,277","1,877","2,561","1,651"
2021년09월_여_60~69세,"23,434","5,989","2,256",471,"1,337",900,"1,200","1,967","1,525",610,"1,893","1,597","2,386","1,303"
2021년09월_여_70~79세,"11,903","2,476",958,312,795,476,548,"1,212",653,287,943,911,"1,631",701
2021년09월_여_80~89세,"6,080","1,230",430,206,425,325,278,537,372,169,427,521,799,361
2021년09월_여_90~99세,929,201,78,35,77,69,40,71,61,31,67,54,90,55
2021년09월_여_100세 이상,30,4,1,1,3,9,0,1,2,0,3,2,2,2
