카테고리,서울특별시 동작구,서울특별시 동작구 노량진제1동,서울특별시 동작구 노량진제2동,서울특별시 동작구 상도제1동,서울특별시 동작구 상도제2동,서울특별시 동작구 상도제3동,서울특별시 동작구 상도제4동,서울특별시 동작구 흑석동,서울특별시 동작구 사당제1동,서울특별시 동작구 사당제2동,서울특별시 동작구 사당제3동,서울특별시 동작구 사당제4동,서울특별시 동작구 사당제5동,서울특별시 동작구 대방동,서울특별시 동작구 신대방제1동,서울특별시 동작구 신대방제2동
2020년05월_계_총인구수,"395,180","32,193","12,671","45,625","28,518","25,455","29,321","32,706","23,303","27,702","25,346","14,608","14,346","39,351","23,723","20,312"
2020년05월_계_연령구간인구수,"395,180","32,193","12,671","45,625","28,518","25,455","29,321","32,706","23,303","27,702","25,346","14,608","14,346","39,351","23,723","20,312"
2020년05월_계_0~9세,"25,852","2,019",366,"3,106","2,383","1,364","1,849","2,432",866,"1,852","2,183",798,"1,076","2,444","1,606","1,508"
2020년05월_계_10~19세,"28,860","2,045",616,"3,450","1,984","1,749","1,990","2,234",977,"1,737","1,680",769,976,"4,302","2,603","1,748"
2020년05월_계_20~29세,"66,831","5,622","2,216","9,827","4,425","4,261","4,604","5,198","5,259","3,800","3,457","2,534","2,211","6,553","3,335","3,529"
2020년05월_계_30~39세,"63,364","5,422","1,860","6,458","4,885","4,314","4,984","4,784","4,740","4,597","4,184","2,591","2,528","5,570","3,074","3,373"
2020년05월_계_40~49세,"60,013","4,410","1,589","6,667","4,454","3,814","4,475","4,958","2,956","4,131","3,925","2,111","2,243","6,835","4,159","3,286"
2020년05월_계_50~59세,"59,020","4,748","2,262","6,388","4,177","3,918","4,506","5,245","3,170","4,297","3,729","2,156","2,173","5,866","3,692","2,693"
2020년05월_계_60~69세,"48,215","4,142","1,956","5,114","3,279","3,097","3,660","3,949","3,016","3,849","3,419","1,953","1,716","4,073","2,879","2,113"
2020년05월_계_70~79세,"29,471","2,470","1,226","3,084","1,946","2,064","2,223","2,519","1,755","2,412","2,009","1,219",993,"2,483","1,611","1,457"
2020년05월_계_80~89세,"11,514","1,116",488,"1,283",839,755,908,"1,141",494,862,645,405,357,"1,045",657,519
2020년05월_계_90~99세,"1,734",168,78,214,120,105,111,191,64,130,95,66,61,157,101,73
2020년05월_계_100세 이상,306,31,14,34,26,14,11,55,6,35,20,6,12,23,6,13
2020년05월_남_총인구수,"191,281","16,004","6,518","22,136","13,728","12,194","14,248","15,939","11,057","13,331","12,303","6,982","6,978","18,684","11,468","9,711"
2020년05월_남_연령구간인구수,"191,281","16,004","6,518","22,136","13,728","12,194","14,248","15,939","11,057","13,331","12,303","6,982","6,978","18,684","11,468","9,711"
2020년05월_남_0~9세,"13,210","1,023",195,"1,566","1,228",717,936,"1,244",434,961,"1,103",420,548,"1,236",832,767
2020년05월_남_10~19세,"14,787","1,054",318,"1,769","1,023",885,"1,068","1,139",518,950,910,392,507,"2,096","1,280",878
2020년05월_남_20~29세,"32,341","2,941","1,185","4,977","2,099","1,955","2,224","2,739","2,268","1,820","1,619","1,170","1,102","3,065","1,609","1,568"
2020년05월_남_30~39세,"32,067","2,909","1,093","3,212","2,371","2,262","2,579","2,388","2,459","2,267","2,014","1,317","1,286","2,729","1,520","1,661"
2020년05월_남_40~49세,"30,050","2,289",880,"3,332","2,238","1,890","2,264","2,520","1,516","2,039","2,016","1,080","1,115","3,268","1,984","1,619"
2020년05월_남_50~59세,"28,319","2,298","1,139","2,974","2,003","1,853","2,151","2,508","1,428","2,023","1,774","1,020","1,015","2,960","1,860","1,313"
2020년05월_남_60~69세,"22,173","1,920",910,"2,387","1,517","1,377","1,686","1,842","1,350","1,762","1,609",846,805,"1,828","1,359",975
2020년05월_남_70~79세,"13,257","1,099",561,"1,383",876,931,980,"1,072",841,"1,107",943,568,449,"1,049",735,663
2020년05월_남_80~89세,"4,528",418,213,473,326,295,321,420,231,355,289,154,137,401,259,236
2020년05월_남_90~99세,459,42,18,55,40,24,35,50,12,33,20,15,13,46,29,27
2020년05월_남_100세 이상,90,11,6,8,7,5,4,17,0,14,6,0,1,6,1,4
2020년05월_여_총인구수,"203,899","16,189","6,153","23,489","14,790","13,261","15,073","16,767","12,246","14,371","13,043","7,626","7,368","20,667","12,255","10,601"
2020년05월_여_연령구간인구수,"203,899","16,189","6,153","23,489","14,790","13,261","15,073","16,767","12,246","14,371","13,043","7,626","7,368","20,667","12,255","10,601"
2020년05월_여_0~9세,"12,642",996,171,"1,540","1,155",647,913,"1,188",432,891,"1,080",378,528,"1,208",774,741
2020년05월_여_10~19세,"14,073",991,298,"1,681",961,864,922,"1,095",459,787,770,377,469,"2,206","1,323",870
2020년05월_여_20~29세,"34,490","2,681","1,031","4,850","2,326","2,306","2,380","2,459","2,991","1,980","1,838","1,364","1,109","3,488","1,726","1,961"
2020년05월_여_30~39세,"31,297","2,513",767,"3,246","2,514","2,052","2,405","2,396","2,281","2,330","2,170","1,274","1,242","2,841","1,554","1,712"
2020년05월_여_40~49세,"29,963","2,121",709,"3,335","2,216","1,924","2,211","2,438","1,440","2,092","1,909","1,031","1,128","3,567","2,175","1,667"
2020년05월_여_50~59세,"30,701","2,450","1,123","3,414","2,174","2,065","2,355","2,737","1,742","2,274","1,955","1,136","1,158","2,906","1,832","1,380"
2020년05월_여_60~69세,"26,042","2,222","1,046","2,727","1,762","1,720","1,974","2,107","1,666","2,087","1,810","1,107",911,"2,245","1,520","1,138"
2020년05월_여_70~79세,"16,214","1,371",665,"1,701","1,070","1,133","1,243","1,447",914,"1,305","1,066",651,544,"1,434",876,794
2020년05월_여_80~89세,"6,986",698,275,810,513,460,587,721,263,507,356,251,220,644,398,283
2020년05월_여_90~99세,"1,275",126,60,159,80,81,76,141,52,97,75,51,48,111,72,46
2020년05월_여_100세 이상,216,20,8,26,19,9,7,38,6,21,14,6,11,17,5,9
