카테고리,대구광역시 수성구,대구광역시 수성구 범어1동,대구광역시 수성구 범어2동,대구광역시 수성구 범어3동,대구광역시 수성구 범어4동,대구광역시 수성구 만촌1동,대구광역시 수성구 만촌2동,대구광역시 수성구 만촌3동,대구광역시 수성구 수성1가동,대구광역시 수성구 수성2.3가동,대구광역시 수성구 수성4가동,대구광역시 수성구 황금1동,대구광역시 수성구 황금2동,대구광역시 수성구 중동,대구광역시 수성구 상동,대구광역시 수성구 파동,대구광역시 수성구 두산동,대구광역시 수성구 지산1동,대구광역시 수성구 지산2동,대구광역시 수성구 범물1동,대구광역시 수성구 범물2동,대구광역시 수성구 고산1동,대구광역시 수성구 고산2동,대구광역시 수성구 고산3동
2020년04월_계_총인구수,"428,125","16,668","15,566","16,547","18,862","23,631","11,726","20,633","19,007","12,410","15,496","24,673","11,409","11,568","16,952","13,250","14,340","23,017","19,606","11,928","15,921","31,975","28,208","34,732"
2020년04월_계_연령구간인구수,"428,125","16,668","15,566","16,547","18,862","23,631","11,726","20,633","19,007","12,410","15,496","24,673","11,409","11,568","16,952","13,250","14,340","23,017","19,606","11,928","15,921","31,975","28,208","34,732"
2020년04월_계_0~9세,"31,026","1,428","1,015","2,009","1,552","1,966",546,"1,437","1,379","1,199",926,"2,130",589,695,"1,092","1,093",974,"1,118","1,171",402,"1,149","2,394","2,088","2,674"
2020년04월_계_10~19세,"52,953","2,206","1,802","2,043","4,249","2,627","1,251","4,081","2,239","1,801","1,523","4,349",934,797,"1,365","1,018","1,208","2,039","1,939",762,"1,860","4,904","3,486","4,470"
2020년04월_계_20~29세,"55,920","2,060","2,392","2,112","1,843","3,010","1,942","2,455","2,283","1,258","2,164","2,739","1,790","1,462","2,093","1,294","2,224","3,348","2,617","1,450","1,985","4,497","3,892","5,010"
2020년04월_계_30~39세,"44,014","1,618","1,997","2,223","1,316","2,488","1,208","1,505","1,728","1,235","1,570","2,080","1,412","1,504","2,127","1,677","1,896","2,364","2,037",988,"1,588","2,870","2,991","3,592"
2020년04월_계_40~49세,"74,489","3,015","2,581","3,276","4,659","3,847","1,793","4,664","3,268","2,525","2,337","5,012","1,811","1,871","2,541","1,973","2,366","3,366","2,973","1,429","2,662","5,851","4,755","5,914"
2020년04월_계_50~59세,"75,395","2,918","2,638","2,556","2,704","4,132","2,170","3,337","3,211","1,814","2,969","4,193","1,979","2,003","2,926","2,099","2,721","4,311","3,702","2,284","2,904","5,925","5,145","6,754"
2020년04월_계_60~69세,"50,539","1,705","1,724","1,234","1,292","2,919","1,511","1,642","2,299","1,360","2,070","2,353","1,490","1,681","2,538","2,146","1,773","3,372","2,872","2,335","2,342","3,160","3,276","3,445"
2020년04월_계_70~79세,"28,359","1,131",963,713,835,"1,714",840,"1,007","1,644",832,"1,231","1,168",967,"1,008","1,488","1,314",796,"2,033","1,415","1,457",945,"1,495","1,609","1,754"
