,인천광역시 중구,인천광역시 중구 연안동,인천광역시 중구 신포동,인천광역시 중구 신흥동,인천광역시 중구 도원동,인천광역시 중구 율목동,인천광역시 중구 동인천동,인천광역시 중구 북성동,인천광역시 중구 송월동,인천광역시 중구 영종동,인천광역시 중구 영종1동,인천광역시 중구 운서동,인천광역시 중구 용유동
2021년05월_계_총인구수,"139,930","6,215","5,139","13,263","3,972","3,269","5,855","2,737","4,404","15,978","43,481","31,581","4,036"
2021년05월_계_연령구간인구수,"139,930","6,215","5,139","13,263","3,972","3,269","5,855","2,737","4,404","15,978","43,481","31,581","4,036"
2021년05월_계_0~9세,"11,688",235,244,810,133,91,201,78,181,923,"6,969","1,742",81
2021년05월_계_10~19세,"12,749",342,359,"1,108",264,191,290,137,316,"1,248","4,969","3,409",116
2021년05월_계_20~29세,"18,763",633,531,"1,627",419,353,621,286,484,"2,033","3,813","7,682",281
2021년05월_계_30~39세,"21,287",608,523,"1,587",365,280,666,237,449,"2,389","8,692","5,224",267
2021년05월_계_40~49세,"24,585",813,804,"2,011",548,479,741,374,593,"2,548","9,517","5,684",473
2021년05월_계_50~59세,"20,654","1,290",866,"2,287",728,613,"1,110",494,790,"2,844","4,654","4,092",886
2021년05월_계_60~69세,"16,457","1,303",819,"2,051",750,623,"1,096",556,817,"2,448","2,951","1,976","1,067"
2021년05월_계_70~79세,"9,265",636,632,"1,191",526,444,698,392,523,"1,005","1,393","1,222",603
2021년05월_계_80~89세,"3,846",302,306,511,208,165,354,159,224,445,450,505,217
2021년05월_계_90~99세,613,52,53,80,30,30,73,23,26,90,71,43,42
2021년05월_계_100세 이상,23,1,2,0,1,0,5,1,1,5,2,2,3
2021년05월_남_총인구수,"72,745","3,364","2,628","6,766","2,029","1,692","3,088","1,419","2,173","8,875","21,838","16,616","2,257"
2021년05월_남_연령구간인구수,"72,745","3,364","2,628","6,766","2,029","1,692","3,088","1,419","2,173","8,875","21,838","16,616","2,257"
2021년05월_남_0~9세,"6,045",125,140,408,60,59,99,50,90,478,"3,591",908,37
2021년05월_남_10~19세,"6,604",165,183,574,147,92,147,67,152,655,"2,560","1,806",56
2021년05월_남_20~29세,"9,578",367,294,877,245,197,335,162,256,"1,152","1,879","3,629",185
2021년05월_남_30~39세,"11,563",362,285,850,199,165,386,147,253,"1,459","4,175","3,113",169
2021년05월_남_40~49세,"13,431",493,444,"1,075",308,266,441,204,330,"1,492","5,022","3,049",307
2021년05월_남_50~59세,"11,424",750,471,"1,226",387,347,652,278,419,"1,610","2,406","2,347",531
2021년05월_남_60~69세,"8,247",683,408,"1,017",359,309,572,275,371,"1,342","1,336","1,008",567
2021년05월_남_70~79세,"4,293",296,274,535,240,200,316,162,226,505,690,533,316
2021년05월_남_80~89세,"1,413",110,117,189,76,52,122,63,68,161,164,209,82
2021년05월_남_90~99세,140,13,12,15,8,5,17,11,8,18,14,13,6
2021년05월_남_100세 이상,7,0,0,0,0,0,1,0,0,3,1,1,1
2021년05월_여_총인구수,"67,185","2,851","2,511","6,497","1,943","1,577","2,767","1,318","2,231","7,103","21,643","14,965","1,779"
2021년05월_여_연령구간인구수,"67,185","2,851","2,511","6,497","1,943","1,577","2,767","1,318","2,231","7,103","21,643","14,965","1,779"
2021년05월_여_0~9세,"5,643",110,104,402,73,32,102,28,91,445,"3,378",834,44
2021년05월_여_10~19세,"6,145",177,176,534,117,99,143,70,164,593,"2,409","1,603",60
2021년05월_여_20~29세,"9,185",266,237,750,174,156,286,124,228,881,"1,934","4,053",96
2021년05월_여_30~39세,"9,724",246,238,737,166,115,280,90,196,930,"4,517","2,111",98
2021년05월_여_40~49세,"11,154",320,360,936,240,213,300,170,263,"1,056","4,495","2,635",166
2021년05월_여_50~59세,"9,230",540,395,"1,061",341,266,458,216,371,"1,234","2,248","1,745",355
2021년05월_여_60~69세,"8,210",620,411,"1,034",391,314,524,281,446,"1,106","1,615",968,500
2021년05월_여_70~79세,"4,972",340,358,656,286,244,382,230,297,500,703,689,287
2021년05월_여_80~89세,"2,433",192,189,322,132,113,232,96,156,284,286,296,135
2021년05월_여_90~99세,473,39,41,65,22,25,56,12,18,72,57,30,36
2021년05월_여_100세 이상,16,1,2,0,1,0,4,1,1,2,1,1,2
