카테고리,강원도 영월군,강원도 영월군 영월읍,강원도 영월군 상동읍,강원도 영월군 중동면,강원도 영월군 김삿갓면,강원도 영월군 북면,강원도 영월군 남면,강원도 영월군 한반도면,강원도 영월군 한반도면쌍용출장소,강원도 영월군 주천면,강원도 영월군 무릉도원면
2020년02월_계_총인구수,"38,969","21,262","1,111","1,475","1,757","2,174","2,287","1,278","1,760","3,859","2,006"
2020년02월_계_연령구간인구수,"38,969","21,262","1,111","1,475","1,757","2,174","2,287","1,278","1,760","3,859","2,006"
2020년02월_계_0~9세,"1,732","1,341",20,23,31,40,54,42,42,96,43
2020년02월_계_10~19세,"2,986","2,185",32,59,83,89,96,58,82,220,82
2020년02월_계_20~29세,"3,391","2,362",51,74,93,134,125,109,103,244,96
2020년02월_계_30~39세,"2,961","2,019",53,61,66,120,130,84,116,215,97
2020년02월_계_40~49세,"4,872","3,099",110,139,169,220,237,149,184,384,181
2020년02월_계_50~59세,"7,541","3,817",243,339,441,452,451,275,349,752,422
2020년02월_계_60~69세,"7,668","3,186",262,369,452,533,609,291,407,962,597
2020년02월_계_70~79세,"4,886","2,090",211,265,261,357,342,162,290,565,343
2020년02월_계_80~89세,"2,560","1,014",116,130,139,200,209,97,163,369,123
2020년02월_계_90~99세,324,130,12,15,19,23,29,10,23,43,20
2020년02월_계_100세 이상,48,19,1,1,3,6,5,1,1,9,2
2020년02월_남_총인구수,"20,145","10,883",582,776,905,"1,134","1,204",718,950,"1,978","1,015"
2020년02월_남_연령구간인구수,"20,145","10,883",582,776,905,"1,134","1,204",718,950,"1,978","1,015"
2020년02월_남_0~9세,927,729,14,12,17,19,24,21,22,46,23
2020년02월_남_10~19세,"1,610","1,194",17,26,40,42,55,31,36,129,40
2020년02월_남_20~29세,"1,943","1,335",31,46,60,81,75,72,62,132,49
2020년02월_남_30~39세,"1,630","1,049",31,43,34,70,87,50,84,132,50
2020년02월_남_40~49세,"2,710","1,614",77,91,92,140,150,92,121,222,111
2020년02월_남_50~59세,"4,115","2,068",141,188,237,255,251,167,205,391,212
2020년02월_남_60~69세,"3,977","1,585",133,215,243,286,334,160,215,509,297
2020년02월_남_70~79세,"2,217",905,90,110,132,160,153,84,136,270,177
2020년02월_남_80~89세,914,366,44,40,47,74,63,39,61,131,49
2020년02월_남_90~99세,88,33,3,4,3,4,10,2,8,14,7
2020년02월_남_100세 이상,14,5,1,1,0,3,2,0,0,2,0
2020년02월_여_총인구수,"18,824","10,379",529,699,852,"1,040","1,083",560,810,"1,881",991
2020년02월_여_연령구간인구수,"18,824","10,379",529,699,852,"1,040","1,083",560,810,"1,881",991
2020년02월_여_0~9세,805,612,6,11,14,21,30,21,20,50,20
2020년02월_여_10~19세,"1,376",991,15,33,43,47,41,27,46,91,42
2020년02월_여_20~29세,"1,448","1,027",20,28,33,53,50,37,41,112,47
2020년02월_여_30~39세,"1,331",970,22,18,32,50,43,34,32,83,47
2020년02월_여_40~49세,"2,162","1,485",33,48,77,80,87,57,63,162,70
2020년02월_여_50~59세,"3,426","1,749",102,151,204,197,200,108,144,361,210
2020년02월_여_60~69세,"3,691","1,601",129,154,209,247,275,131,192,453,300
2020년02월_여_70~79세,"2,669","1,185",121,155,129,197,189,78,154,295,166
2020년02월_여_80~89세,"1,646",648,72,90,92,126,146,58,102,238,74
2020년02월_여_90~99세,236,97,9,11,16,19,19,8,15,29,13
2020년02월_여_100세 이상,34,14,0,0,3,3,3,1,1,7,2
