카테고리,전라남도 영암군,전라남도 영암군 영암읍,전라남도 영암군 삼호읍,전라남도 영암군 삼호읍서부출장소,전라남도 영암군 덕진면,전라남도 영암군 금정면,전라남도 영암군 신북면,전라남도 영암군 시종면,전라남도 영암군 도포면,전라남도 영암군 군서면,전라남도 영암군 서호면,전라남도 영암군 학산면,전라남도 영암군 미암면
2021년08월_계_총인구수,"53,108","8,096","14,989","6,454","1,834","2,040","3,653","3,489","2,259","3,166","1,896","2,995","2,237"
2021년08월_계_연령구간인구수,"53,108","8,096","14,989","6,454","1,834","2,040","3,653","3,489","2,259","3,166","1,896","2,995","2,237"
2021년08월_계_0~9세,"3,266",542,"1,456",518,62,45,93,105,70,102,65,138,70
2021년08월_계_10~19세,"4,342",774,"1,806",656,91,66,182,120,105,170,82,190,100
2021년08월_계_20~29세,"4,954",856,"1,602",920,103,112,245,223,178,219,109,256,131
2021년08월_계_30~39세,"4,503",664,"1,792",778,109,83,201,185,131,163,102,153,142
2021년08월_계_40~49세,"7,270","1,026","2,891","1,243",166,175,370,313,188,278,138,277,205
2021년08월_계_50~59세,"9,417","1,403","2,557","1,423",314,389,638,574,412,531,300,501,375
2021년08월_계_60~69세,"8,421","1,294","1,609",539,342,448,815,808,464,619,394,599,490
2021년08월_계_70~79세,"6,180",907,848,239,306,383,642,639,386,600,368,470,392
2021년08월_계_80~89세,"4,170",523,392,115,302,291,423,454,300,422,295,355,298
2021년08월_계_90~99세,566,104,35,23,35,47,44,66,23,60,41,55,33
2021년08월_계_100세 이상,19,3,1,0,4,1,0,2,2,2,2,1,1
2021년08월_남_총인구수,"27,504","4,006","8,015","3,766",908,"1,032","1,837","1,754","1,153","1,533",914,"1,464","1,122"
2021년08월_남_연령구간인구수,"27,504","4,006","8,015","3,766",908,"1,032","1,837","1,754","1,153","1,533",914,"1,464","1,122"
2021년08월_남_0~9세,"1,656",283,700,263,38,19,46,61,48,60,28,76,34
2021년08월_남_10~19세,"2,298",415,949,353,44,43,96,65,64,94,47,82,46
2021년08월_남_20~29세,"2,913",473,888,567,62,73,171,146,108,133,63,149,80
2021년08월_남_30~39세,"2,434",332,896,464,74,43,121,109,83,89,58,78,87
2021년08월_남_40~49세,"4,350",542,"1,732",782,102,102,216,205,118,163,86,163,139
2021년08월_남_50~59세,"5,411",725,"1,488",880,199,233,342,348,230,304,175,279,208
2021년08월_남_60~69세,"4,384",656,856,319,163,262,422,403,247,311,203,298,244
2021년08월_남_70~79세,"2,660",391,381,103,129,168,272,286,162,243,150,203,172
2021년08월_남_80~89세,"1,287",165,120,31,88,79,142,122,88,125,99,123,105
2021년08월_남_90~99세,109,24,5,4,8,10,9,9,5,10,5,13,7
2021년08월_남_100세 이상,2,0,0,0,1,0,0,0,0,1,0,0,0
2021년08월_여_총인구수,"25,604","4,090","6,974","2,688",926,"1,008","1,816","1,735","1,106","1,633",982,"1,531","1,115"
2021년08월_여_연령구간인구수,"25,604","4,090","6,974","2,688",926,"1,008","1,816","1,735","1,106","1,633",982,"1,531","1,115"
2021년08월_여_0~9세,"1,610",259,756,255,24,26,47,44,22,42,37,62,36
2021년08월_여_10~19세,"2,044",359,857,303,47,23,86,55,41,76,35,108,54
2021년08월_여_20~29세,"2,041",383,714,353,41,39,74,77,70,86,46,107,51
2021년08월_여_30~39세,"2,069",332,896,314,35,40,80,76,48,74,44,75,55
2021년08월_여_40~49세,"2,920",484,"1,159",461,64,73,154,108,70,115,52,114,66
2021년08월_여_50~59세,"4,006",678,"1,069",543,115,156,296,226,182,227,125,222,167
2021년08월_여_60~69세,"4,037",638,753,220,179,186,393,405,217,308,191,301,246
2021년08월_여_70~79세,"3,520",516,467,136,177,215,370,353,224,357,218,267,220
2021년08월_여_80~89세,"2,883",358,272,84,214,212,281,332,212,297,196,232,193
2021년08월_여_90~99세,457,80,30,19,27,37,35,57,18,50,36,42,26
2021년08월_여_100세 이상,17,3,1,0,3,1,0,2,2,1,2,1,1
