카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년02월_계_총인구수,"114,618","12,224","2,796","3,070","1,530","2,404","2,604","3,636","2,011","4,802","4,498","3,549","1,971","4,413","7,816","2,863","5,191","9,262","3,498","3,615","32,865"
2020년02월_계_연령구간인구수,"114,618","12,224","2,796","3,070","1,530","2,404","2,604","3,636","2,011","4,802","4,498","3,549","1,971","4,413","7,816","2,863","5,191","9,262","3,498","3,615","32,865"
2020년02월_계_0~9세,"10,270","1,166",60,85,28,92,59,74,33,108,153,94,50,132,678,168,262,846,127,160,"5,895"
2020년02월_계_10~19세,"9,352",792,168,168,57,133,97,167,62,186,235,152,59,224,916,266,393,987,316,220,"3,754"
2020년02월_계_20~29세,"12,259","1,272",234,282,113,161,200,250,137,390,413,342,118,354,"1,175",348,568,"1,344",295,397,"3,866"
2020년02월_계_30~39세,"14,825","1,720",138,195,79,140,147,219,91,294,367,272,114,261,997,296,430,"1,109",257,336,"7,363"
2020년02월_계_40~49세,"16,329","1,775",240,279,133,249,217,321,174,446,480,414,170,413,"1,294",442,648,"1,422",347,467,"6,398"
2020년02월_계_50~59세,"17,366","1,985",525,580,281,394,434,665,375,905,805,703,416,764,"1,255",479,928,"1,478",660,647,"3,087"
2020년02월_계_60~69세,"15,339","1,799",557,604,326,501,558,769,409,"1,053",857,696,423,871,762,394,837,"1,006",626,647,"1,644"
2020년02월_계_70~79세,"11,480","1,095",502,516,283,425,520,655,401,803,756,518,370,842,448,290,743,700,530,470,613
2020년02월_계_80~89세,"6,398",539,313,319,194,277,333,447,289,526,362,312,221,472,257,152,332,316,295,225,217
2020년02월_계_90~99세,936,76,55,40,36,28,39,66,39,86,65,46,28,74,33,27,46,51,41,33,27
2020년02월_계_100세 이상,64,5,4,2,0,4,0,3,1,5,5,0,2,6,1,1,4,3,4,13,1
2020년02월_남_총인구수,"57,676","6,137","1,394","1,591",757,"1,193","1,288","1,827",977,"2,483","2,364","1,849","1,023","2,278","3,888","1,426","2,600","4,641","1,777","1,902","16,281"
2020년02월_남_연령구간인구수,"57,676","6,137","1,394","1,591",757,"1,193","1,288","1,827",977,"2,483","2,364","1,849","1,023","2,278","3,888","1,426","2,600","4,641","1,777","1,902","16,281"
2020년02월_남_0~9세,"5,237",604,28,37,14,47,30,38,14,66,82,44,28,64,348,86,149,431,76,80,"2,971"
2020년02월_남_10~19세,"4,802",404,90,97,31,69,58,100,36,85,126,80,28,128,478,148,225,528,133,104,"1,854"
2020년02월_남_20~29세,"6,463",675,127,154,71,90,116,150,76,221,236,204,68,196,626,195,308,730,169,224,"1,827"
2020년02월_남_30~39세,"7,730",886,79,125,54,80,91,142,55,183,228,164,65,148,521,154,233,564,150,209,"3,599"
