카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2021년04월_계_총인구수,"546,154","27,593","43,580","24,062","27,051","11,303","3,661","25,848","6,684","5,230","43,979","25,341","20,094","12,711","22,044","7,015","5,708","22,697","10,508","4,095","87,854","54,123","25,552","29,421"
2021년04월_계_연령구간인구수,"546,154","27,593","43,580","24,062","27,051","11,303","3,661","25,848","6,684","5,230","43,979","25,341","20,094","12,711","22,044","7,015","5,708","22,697","10,508","4,095","87,854","54,123","25,552","29,421"
2021년04월_계_0~9세,"49,475","1,596","3,872","1,841","4,006",483,116,"2,912",306,143,"2,828","1,277","2,354",695,"1,602",581,165,"1,014",515,127,"11,278","5,758","3,397","2,609"
2021년04월_계_10~19세,"53,687","1,787","5,771","1,925","3,248",819,202,"2,022",481,288,"4,830","2,287","1,833",885,"2,192",489,275,"1,719",639,215,"9,525","6,200","3,155","2,900"
2021년04월_계_20~29세,"75,437","3,081","5,866","3,144","2,408","1,479",348,"4,000",697,433,"7,246","3,697","2,641","2,523","2,914","1,026",708,"3,966","1,627",613,"11,694","7,360","3,517","4,449"
2021년04월_계_30~39세,"82,548","3,080","5,559","3,864","4,844","1,363",339,"5,038",620,341,"5,373","3,058","3,401","2,273","2,621","1,234",642,"2,914","1,460",426,"16,948","8,091","4,724","4,335"
2021년04월_계_40~49세,"94,930","4,001","8,503","4,583","5,528","1,653",470,"4,152",883,602,"7,512","4,079","3,677","2,111","3,716","1,155",773,"3,413","1,546",519,"16,731","9,470","5,179","4,674"
2021년04월_계_50~59세,"87,997","5,008","6,996","3,913","2,984","2,097",668,"3,758","1,273",962,"8,142","4,826","3,236","1,953","4,039","1,061",991,"4,211","1,856",791,"11,909","8,717","3,246","5,360"
2021년04월_계_60~69세,"57,217","4,572","3,916","2,719","2,256","1,830",754,"2,276","1,203","1,139","4,628","3,321","1,804","1,226","2,806",744,"1,010","3,061","1,534",744,"6,084","5,059","1,516","3,015"
2021년04월_계_70~79세,"28,435","2,729","1,941","1,316","1,093","1,020",468,"1,054",698,783,"2,218","1,805",724,699,"1,373",456,691,"1,574",860,445,"2,434","2,211",539,"1,304"
2021년04월_계_80~89세,"14,393","1,547","1,014",639,568,496,266,539,458,464,"1,067",877,364,309,668,235,367,743,422,188,"1,103","1,126",244,689
2021년04월_계_90~99세,"1,944",182,139,114,112,62,30,96,64,72,131,110,59,35,101,33,63,80,48,26,144,123,35,85
2021년04월_계_100세 이상,91,10,3,4,4,1,0,1,1,3,4,4,1,2,12,1,23,2,1,1,4,8,0,1
2021년04월_남_총인구수,"283,450","14,369","22,468","14,471","14,313","6,235","2,006","13,721","3,594","2,770","22,650","12,823","10,504","6,938","11,051","3,640","2,906","11,734","5,475","2,132","44,596","26,843","13,393","14,818"
2021년04월_남_연령구간인구수,"283,450","14,369","22,468","14,471","14,313","6,235","2,006","13,721","3,594","2,770","22,650","12,823","10,504","6,938","11,051","3,640","2,906","11,734","5,475","2,132","44,596","26,843","13,393","14,818"
2021년04월_남_0~9세,"25,200",821,"1,912",913,"2,071",239,56,"1,452",174,80,"1,421",636,"1,208",333,805,299,90,527,250,61,"5,753","2,936","1,805","1,358"
2021년04월_남_10~19세,"27,714",932,"2,918","1,031","1,677",438,120,"1,009",244,146,"2,487","1,178",909,437,"1,112",253,154,911,331,123,"4,944","3,255","1,633","1,472"
2021년04월_남_20~29세,"41,533","1,762","3,167","2,044","1,341",916,224,"2,366",410,262,"4,095","2,015","1,454","1,444","1,596",569,391,"2,150",919,352,"6,040","3,800","1,876","2,340"
2021년04월_남_30~39세,"45,079","1,739","3,053","2,580","2,513",870,193,"2,779",383,200,"3,048","1,737","1,776","1,395","1,324",674,397,"1,693",865,259,"8,732","4,057","2,502","2,310"
2021년04월_남_40~49세,"50,721","2,235","4,354","3,002","3,131",987,307,"2,312",537,381,"3,831","2,166","2,029","1,211","1,931",646,469,"1,808",820,285,"8,576","4,598","2,737","2,368"
2021년04월_남_50~59세,"46,388","2,788","3,845","2,482","1,695","1,152",379,"1,950",730,563,"4,164","2,432","1,679","1,068","2,048",564,526,"2,161",990,425,"6,065","4,287","1,735","2,660"
2021년04월_남_60~69세,"28,768","2,289","2,002","1,524","1,134",962,415,"1,146",624,588,"2,277","1,568",970,633,"1,398",376,469,"1,500",759,356,"2,992","2,499",778,"1,509"
2021년04월_남_70~79세,"12,469","1,191",836,647,538,482,217,503,316,380,951,744,328,290,567,168,261,684,373,194,"1,084",931,244,540
2021년04월_남_80~89세,"5,095",569,351,219,189,175,88,189,155,156,345,308,139,121,236,83,124,280,158,70,374,446,77,243
2021년04월_남_90~99세,458,40,30,29,24,14,7,14,21,14,31,37,12,6,28,7,15,20,10,7,35,33,6,18
2021년04월_남_100세 이상,25,3,0,0,0,0,0,1,0,0,0,2,0,0,6,1,10,0,0,0,1,1,0,0
2021년04월_여_총인구수,"262,704","13,224","21,112","9,591","12,738","5,068","1,655","12,127","3,090","2,460","21,329","12,518","9,590","5,773","10,993","3,375","2,802","10,963","5,033","1,963","43,258","27,280","12,159","14,603"
2021년04월_여_연령구간인구수,"262,704","13,224","21,112","9,591","12,738","5,068","1,655","12,127","3,090","2,460","21,329","12,518","9,590","5,773","10,993","3,375","2,802","10,963","5,033","1,963","43,258","27,280","12,159","14,603"
2021년04월_여_0~9세,"24,275",775,"1,960",928,"1,935",244,60,"1,460",132,63,"1,407",641,"1,146",362,797,282,75,487,265,66,"5,525","2,822","1,592","1,251"
2021년04월_여_10~19세,"25,973",855,"2,853",894,"1,571",381,82,"1,013",237,142,"2,343","1,109",924,448,"1,080",236,121,808,308,92,"4,581","2,945","1,522","1,428"
2021년04월_여_20~29세,"33,904","1,319","2,699","1,100","1,067",563,124,"1,634",287,171,"3,151","1,682","1,187","1,079","1,318",457,317,"1,816",708,261,"5,654","3,560","1,641","2,109"
2021년04월_여_30~39세,"37,469","1,341","2,506","1,284","2,331",493,146,"2,259",237,141,"2,325","1,321","1,625",878,"1,297",560,245,"1,221",595,167,"8,216","4,034","2,222","2,025"
2021년04월_여_40~49세,"44,209","1,766","4,149","1,581","2,397",666,163,"1,840",346,221,"3,681","1,913","1,648",900,"1,785",509,304,"1,605",726,234,"8,155","4,872","2,442","2,306"
2021년04월_여_50~59세,"41,609","2,220","3,151","1,431","1,289",945,289,"1,808",543,399,"3,978","2,394","1,557",885,"1,991",497,465,"2,050",866,366,"5,844","4,430","1,511","2,700"
2021년04월_여_60~69세,"28,449","2,283","1,914","1,195","1,122",868,339,"1,130",579,551,"2,351","1,753",834,593,"1,408",368,541,"1,561",775,388,"3,092","2,560",738,"1,506"
2021년04월_여_70~79세,"15,966","1,538","1,105",669,555,538,251,551,382,403,"1,267","1,061",396,409,806,288,430,890,487,251,"1,350","1,280",295,764
2021년04월_여_80~89세,"9,298",978,663,420,379,321,178,350,303,308,722,569,225,188,432,152,243,463,264,118,729,680,167,446
2021년04월_여_90~99세,"1,486",142,109,85,88,48,23,82,43,58,100,73,47,29,73,26,48,60,38,19,109,90,29,67
2021년04월_여_100세 이상,66,7,3,4,4,1,0,0,1,3,4,2,1,2,6,0,13,2,1,1,3,7,0,1
