,경기도 오산시,경기도 오산시 중앙동,경기도 오산시 남촌동,경기도 오산시 신장동,경기도 오산시 세마동,경기도 오산시 초평동,경기도 오산시 대원동
2021년03월_계_총인구수,"230,604","36,023","20,394","61,106","32,117","16,287","64,677"
2021년03월_계_연령구간인구수,"230,604","36,023","20,394","61,106","32,117","16,287","64,677"
2021년03월_계_0~9세,"23,226","3,926",894,"6,979","4,002","1,368","6,057"
2021년03월_계_10~19세,"24,947","4,209","1,183","7,041","3,340","1,954","7,220"
2021년03월_계_20~29세,"31,546","4,467","3,838","7,144","4,072","2,253","9,772"
2021년03월_계_30~39세,"38,603","5,461","4,922","9,854","5,998","2,355","10,013"
2021년03월_계_40~49세,"43,592","6,807","3,788","11,655","6,133","3,121","12,088"
2021년03월_계_50~59세,"33,504","5,422","2,848","8,493","4,258","2,530","9,953"
2021년03월_계_60~69세,"20,661","3,295","1,755","5,795","2,723","1,540","5,553"
2021년03월_계_70~79세,"9,871","1,624",819,"2,810","1,099",776,"2,743"
2021년03월_계_80~89세,"4,114",728,315,"1,171",422,352,"1,126"
2021년03월_계_90~99세,509,78,28,152,69,33,149
2021년03월_계_100세 이상,31,6,4,12,1,5,3
2021년03월_남_총인구수,"119,343","18,053","12,034","30,851","16,429","8,370","33,606"
2021년03월_남_연령구간인구수,"119,343","18,053","12,034","30,851","16,429","8,370","33,606"
2021년03월_남_0~9세,"11,827","2,023",438,"3,559","2,010",714,"3,083"
2021년03월_남_10~19세,"12,729","2,071",595,"3,565","1,701","1,012","3,785"
2021년03월_남_20~29세,"17,043","2,334","2,177","3,774","2,149","1,228","5,381"
2021년03월_남_30~39세,"20,875","2,791","3,178","5,096","3,131","1,281","5,398"
2021년03월_남_40~49세,"23,155","3,468","2,366","6,157","3,210","1,609","6,345"
2021년03월_남_50~59세,"17,517","2,769","1,799","4,278","2,160","1,303","5,208"
2021년03월_남_60~69세,"10,229","1,618",961,"2,763","1,372",760,"2,755"
2021년03월_남_70~79세,"4,352",688,388,"1,231",537,334,"1,174"
2021년03월_남_80~89세,"1,506",277,128,391,153,119,438
2021년03월_남_90~99세,101,12,4,34,6,7,38
2021년03월_남_100세 이상,9,2,0,3,0,3,1
2021년03월_여_총인구수,"111,261","17,970","8,360","30,255","15,688","7,917","31,071"
2021년03월_여_연령구간인구수,"111,261","17,970","8,360","30,255","15,688","7,917","31,071"
2021년03월_여_0~9세,"11,399","1,903",456,"3,420","1,992",654,"2,974"
2021년03월_여_10~19세,"12,218","2,138",588,"3,476","1,639",942,"3,435"
2021년03월_여_20~29세,"14,503","2,133","1,661","3,370","1,923","1,025","4,391"
2021년03월_여_30~39세,"17,728","2,670","1,744","4,758","2,867","1,074","4,615"
2021년03월_여_40~49세,"20,437","3,339","1,422","5,498","2,923","1,512","5,743"
2021년03월_여_50~59세,"15,987","2,653","1,049","4,215","2,098","1,227","4,745"
2021년03월_여_60~69세,"10,432","1,677",794,"3,032","1,351",780,"2,798"
2021년03월_여_70~79세,"5,519",936,431,"1,579",562,442,"1,569"
2021년03월_여_80~89세,"2,608",451,187,780,269,233,688
2021년03월_여_90~99세,408,66,24,118,63,26,111
2021년03월_여_100세 이상,22,4,4,9,1,2,2
