카테고리,전라북도 김제시,전라북도 김제시 만경읍,전라북도 김제시 죽산면,전라북도 김제시 백산면,전라북도 김제시 용지면,전라북도 김제시 백구면,전라북도 김제시 부량면,전라북도 김제시 공덕면,전라북도 김제시 청하면,전라북도 김제시 성덕면,전라북도 김제시 진봉면,전라북도 김제시 금구면,전라북도 김제시 봉남면,전라북도 김제시 황산면,전라북도 김제시 금산면,전라북도 김제시 광활면,전라북도 김제시 요촌동,전라북도 김제시 신풍동,전라북도 김제시 검산동,전라북도 김제시 교월동
2021년10월_계_총인구수,"81,106","2,619","2,418","2,457","3,494","3,717","1,303","2,458","1,732","1,752","2,553","4,956","2,191","1,867","4,528","1,333","11,009","12,725","11,600","6,394"
2021년10월_계_연령구간인구수,"81,106","2,619","2,418","2,457","3,494","3,717","1,303","2,458","1,732","1,752","2,553","4,956","2,191","1,867","4,528","1,333","11,009","12,725","11,600","6,394"
2021년10월_계_0~9세,"3,965",73,57,65,81,119,43,58,47,45,34,184,71,42,122,39,690,839,949,407
2021년10월_계_10~19세,"6,063",119,97,114,155,190,57,111,73,61,89,301,82,72,192,58,"1,036","1,395","1,357",504
2021년10월_계_20~29세,"6,916",163,110,133,253,245,77,179,78,101,123,392,109,137,288,69,"1,225","1,328","1,382",524
2021년10월_계_30~39세,"6,229",142,120,146,194,240,81,146,97,91,125,310,114,85,257,77,"1,069","1,202","1,147",586
2021년10월_계_40~49세,"9,609",243,201,227,315,369,102,199,156,168,217,528,181,156,416,133,"1,568","1,855","1,836",739
2021년10월_계_50~59세,"13,301",420,338,419,543,636,189,416,276,264,371,938,305,328,829,201,"1,789","2,119","1,898","1,022"
2021년10월_계_60~69세,"15,039",645,592,545,782,777,288,580,376,399,587,"1,032",498,413,"1,038",284,"1,737","1,837","1,501","1,128"
2021년10월_계_70~79세,"11,346",432,492,484,640,654,242,406,332,341,561,761,427,333,771,274,"1,162","1,266",921,847
2021년10월_계_80~89세,"7,345",325,355,277,435,407,195,303,252,228,382,438,352,265,516,169,610,789,503,544
2021년10월_계_90~99세,"1,250",56,55,42,94,79,29,56,45,52,63,71,48,35,91,29,119,95,105,86
2021년10월_계_100세 이상,43,1,1,5,2,1,0,4,0,2,1,1,4,1,8,0,4,0,1,7
2021년10월_남_총인구수,"40,251","1,316","1,196","1,309","1,786","1,813",620,"1,256",869,887,"1,231","2,529","1,080",943,"2,283",690,"5,440","6,152","5,670","3,181"
2021년10월_남_연령구간인구수,"40,251","1,316","1,196","1,309","1,786","1,813",620,"1,256",869,887,"1,231","2,529","1,080",943,"2,283",690,"5,440","6,152","5,670","3,181"
2021년10월_남_0~9세,"2,071",45,32,34,45,62,21,26,28,21,17,95,43,19,56,20,361,433,492,221
2021년10월_남_10~19세,"3,083",67,59,65,81,87,34,55,41,36,43,154,41,38,107,29,504,709,681,252
2021년10월_남_20~29세,"3,851",97,73,82,143,129,46,110,53,59,73,216,68,82,170,40,656,713,747,294
2021년10월_남_30~39세,"3,328",84,70,91,117,134,48,84,56,56,77,178,72,54,152,47,549,607,560,292
2021년10월_남_40~49세,"5,358",149,131,158,215,215,66,126,98,107,142,321,125,97,260,99,807,933,896,413
2021년10월_남_50~59세,"7,331",236,197,270,305,352,101,248,159,162,219,520,174,196,462,120,945,"1,076","1,020",569
2021년10월_남_60~69세,"7,623",329,297,286,428,397,142,310,184,221,300,545,254,232,545,146,836,873,722,576
2021년10월_남_70~79세,"4,999",206,227,227,293,292,99,189,147,142,228,334,178,138,344,119,539,540,380,377
2021년10월_남_80~89세,"2,313",93,102,88,132,121,55,89,94,71,121,145,114,79,160,60,210,244,157,178
2021년10월_남_90~99세,287,10,7,8,26,23,8,19,9,12,10,21,11,8,26,10,31,24,15,9
2021년10월_남_100세 이상,7,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,2,0,0,0
2021년10월_여_총인구수,"40,855","1,303","1,222","1,148","1,708","1,904",683,"1,202",863,865,"1,322","2,427","1,111",924,"2,245",643,"5,569","6,573","5,930","3,213"
2021년10월_여_연령구간인구수,"40,855","1,303","1,222","1,148","1,708","1,904",683,"1,202",863,865,"1,322","2,427","1,111",924,"2,245",643,"5,569","6,573","5,930","3,213"
2021년10월_여_0~9세,"1,894",28,25,31,36,57,22,32,19,24,17,89,28,23,66,19,329,406,457,186
2021년10월_여_10~19세,"2,980",52,38,49,74,103,23,56,32,25,46,147,41,34,85,29,532,686,676,252
2021년10월_여_20~29세,"3,065",66,37,51,110,116,31,69,25,42,50,176,41,55,118,29,569,615,635,230
2021년10월_여_30~39세,"2,901",58,50,55,77,106,33,62,41,35,48,132,42,31,105,30,520,595,587,294
2021년10월_여_40~49세,"4,251",94,70,69,100,154,36,73,58,61,75,207,56,59,156,34,761,922,940,326
2021년10월_여_50~59세,"5,970",184,141,149,238,284,88,168,117,102,152,418,131,132,367,81,844,"1,043",878,453
2021년10월_여_60~69세,"7,416",316,295,259,354,380,146,270,192,178,287,487,244,181,493,138,901,964,779,552
2021년10월_여_70~79세,"6,347",226,265,257,347,362,143,217,185,199,333,427,249,195,427,155,623,726,541,470
2021년10월_여_80~89세,"5,032",232,253,189,303,286,140,214,158,157,261,293,238,186,356,109,400,545,346,366
2021년10월_여_90~99세,963,46,48,34,68,56,21,37,36,40,53,50,37,27,65,19,88,71,90,77
2021년10월_여_100세 이상,36,1,0,5,1,0,0,4,0,2,0,1,4,1,7,0,2,0,1,7
