,충청북도 보은군,충청북도 보은군 보은읍,충청북도 보은군 속리산면,충청북도 보은군 장안면,충청북도 보은군 마로면,충청북도 보은군 탄부면,충청북도 보은군 삼승면,충청북도 보은군 수한면,충청북도 보은군 회남면,충청북도 보은군 회인면,충청북도 보은군 내북면,충청북도 보은군 산외면
2020년07월_계_총인구수,"32,522","14,841","1,906","1,478","2,232","1,694","2,333","1,954",773,"1,799","1,713","1,799"
2020년07월_계_연령구간인구수,"32,522","14,841","1,906","1,478","2,232","1,694","2,333","1,954",773,"1,799","1,713","1,799"
2020년07월_계_0~9세,"1,507","1,025",35,81,49,32,66,55,27,60,35,42
2020년07월_계_10~19세,"2,142","1,330",87,77,103,57,148,94,24,66,71,85
2020년07월_계_20~29세,"2,404","1,396",113,112,94,91,155,111,31,92,106,103
2020년07월_계_30~39세,"2,270","1,320",85,146,97,76,168,105,27,69,86,91
2020년07월_계_40~49세,"3,379","1,934",173,160,173,115,206,172,58,121,117,150
2020년07월_계_50~59세,"5,978","2,685",406,255,393,266,404,354,143,347,355,370
2020년07월_계_60~69세,"6,643","2,471",475,262,553,417,504,481,229,440,385,426
2020년07월_계_70~79세,"4,592","1,555",333,211,435,344,387,296,139,318,297,277
2020년07월_계_80~89세,"3,089",975,158,146,289,263,273,234,82,246,211,212
2020년07월_계_90~99세,492,141,38,26,44,30,21,50,13,39,49,41
2020년07월_계_100세 이상,26,9,3,2,2,3,1,2,0,1,1,2
2020년07월_남_총인구수,"16,373","7,407",979,762,"1,076",822,"1,190",980,414,908,882,953
2020년07월_남_연령구간인구수,"16,373","7,407",979,762,"1,076",822,"1,190",980,414,908,882,953
2020년07월_남_0~9세,784,522,20,39,23,21,34,28,16,33,18,30
2020년07월_남_10~19세,"1,145",722,42,32,56,32,78,49,14,34,41,45
2020년07월_남_20~29세,"1,402",788,69,72,52,53,101,62,12,61,62,70
2020년07월_남_30~39세,"1,253",662,57,98,54,47,116,62,14,38,51,54
2020년07월_남_40~49세,"1,895","1,023",104,95,109,68,125,101,35,86,69,80
2020년07월_남_50~59세,"3,289","1,424",217,148,213,156,216,202,88,198,215,212
2020년07월_남_60~69세,"3,402","1,230",258,127,273,192,257,257,129,226,212,241
2020년07월_남_70~79세,"2,039",681,140,94,195,149,162,136,74,144,124,140
2020년07월_남_80~89세,"1,053",324,65,50,90,92,97,80,32,79,74,70
2020년07월_남_90~99세,110,31,6,7,11,12,4,3,0,9,16,11
2020년07월_남_100세 이상,1,0,1,0,0,0,0,0,0,0,0,0
2020년07월_여_총인구수,"16,149","7,434",927,716,"1,156",872,"1,143",974,359,891,831,846
2020년07월_여_연령구간인구수,"16,149","7,434",927,716,"1,156",872,"1,143",974,359,891,831,846
2020년07월_여_0~9세,723,503,15,42,26,11,32,27,11,27,17,12
2020년07월_여_10~19세,997,608,45,45,47,25,70,45,10,32,30,40
2020년07월_여_20~29세,"1,002",608,44,40,42,38,54,49,19,31,44,33
2020년07월_여_30~39세,"1,017",658,28,48,43,29,52,43,13,31,35,37
2020년07월_여_40~49세,"1,484",911,69,65,64,47,81,71,23,35,48,70
2020년07월_여_50~59세,"2,689","1,261",189,107,180,110,188,152,55,149,140,158
2020년07월_여_60~69세,"3,241","1,241",217,135,280,225,247,224,100,214,173,185
2020년07월_여_70~79세,"2,553",874,193,117,240,195,225,160,65,174,173,137
2020년07월_여_80~89세,"2,036",651,93,96,199,171,176,154,50,167,137,142
2020년07월_여_90~99세,382,110,32,19,33,18,17,47,13,30,33,30
2020년07월_여_100세 이상,25,9,2,2,2,3,1,2,0,1,1,2
