카테고리,경상북도 경주시,경상북도 경주시 감포읍,경상북도 경주시 안강읍,경상북도 경주시 건천읍,경상북도 경주시 외동읍,경상북도 경주시 양북면,경상북도 경주시 양남면,경상북도 경주시 내남면,경상북도 경주시 산내면,경상북도 경주시 서면,경상북도 경주시 현곡면,경상북도 경주시 강동면,경상북도 경주시 천북면,경상북도 경주시 중부동,경상북도 경주시 황오동,경상북도 경주시 성건동,경상북도 경주시 황남동,경상북도 경주시 선도동,경상북도 경주시 월성동,경상북도 경주시 용강동,경상북도 경주시 황성동,경상북도 경주시 동천동,경상북도 경주시 불국동,경상북도 경주시 보덕동
2020년07월_계_총인구수,"253,674","5,568","25,297","9,586","19,412","4,350","6,294","4,786","3,279","3,271","22,010","6,392","5,734","5,397","6,729","14,206","4,909","15,035","5,937","21,601","29,255","23,085","9,743","1,798"
2020년07월_계_연령구간인구수,"253,674","5,568","25,297","9,586","19,412","4,350","6,294","4,786","3,279","3,271","22,010","6,392","5,734","5,397","6,729","14,206","4,909","15,035","5,937","21,601","29,255","23,085","9,743","1,798"
2020년07월_계_0~9세,"16,530",158,"1,258",375,"1,087",245,301,103,50,64,"2,472",198,282,208,200,469,101,"1,221",361,"2,649","2,658","1,331",677,62
2020년07월_계_10~19세,"21,228",218,"2,128",498,"1,110",193,339,217,94,139,"2,492",352,347,329,350,884,208,"1,747",340,"2,430","3,804","2,341",576,92
2020년07월_계_20~29세,"27,041",385,"2,447",756,"1,892",449,590,284,140,195,"2,362",521,546,577,663,"2,092",360,"1,933",501,"2,427","3,803","3,089",852,177
2020년07월_계_30~39세,"25,888",355,"1,881",698,"2,175",497,517,262,138,168,"3,147",404,611,540,578,"1,340",324,"1,556",533,"3,021","3,352","2,440","1,211",140
2020년07월_계_40~49세,"37,157",636,"3,450","1,074","2,669",403,745,425,202,325,"3,862",769,696,660,785,"1,851",527,"2,614",770,"3,910","5,442","3,832","1,302",208
2020년07월_계_50~59세,"46,881","1,046","5,133","1,747","3,937",653,"1,304",913,616,585,"3,542","1,288","1,076",927,"1,214","2,450",870,"2,776","1,040","3,683","5,455","4,540","1,750",336
2020년07월_계_60~69세,"39,994","1,239","4,334","2,030","3,435",807,"1,290","1,114",952,744,"2,305","1,316","1,022","1,041","1,442","2,657","1,082","1,713","1,139","2,088","2,892","3,285","1,685",382
2020년07월_계_70~79세,"24,383",950,"2,906","1,457","1,877",607,744,832,663,661,"1,143",895,733,740,"1,004","1,748",863,930,774,883,"1,158","1,515","1,037",263
2020년07월_계_80~89세,"12,801",512,"1,578",834,"1,076",430,387,571,366,352,611,571,375,337,421,633,508,480,415,433,604,633,561,113
2020년07월_계_90~99세,"1,680",67,170,109,148,63,75,62,55,36,73,76,44,30,62,80,58,64,63,73,85,78,86,23
2020년07월_계_100세 이상,91,2,12,8,6,3,2,3,3,2,1,2,2,8,10,2,8,1,1,4,2,1,6,2
2020년07월_남_총인구수,"127,019","2,786","12,599","4,850","10,261","2,262","3,353","2,405","1,619","1,640","10,871","3,243","2,980","2,687","3,245","7,049","2,415","7,547","2,931","10,630","14,414","11,530","4,811",891
2020년07월_남_연령구간인구수,"127,019","2,786","12,599","4,850","10,261","2,262","3,353","2,405","1,619","1,640","10,871","3,243","2,980","2,687","3,245","7,049","2,415","7,547","2,931","10,630","14,414","11,530","4,811",891
2020년07월_남_0~9세,"8,460",89,657,193,547,124,156,54,27,32,"1,283",90,144,104,90,262,53,619,185,"1,341","1,347",681,351,31
2020년07월_남_10~19세,"11,114",114,"1,076",275,587,124,182,111,48,93,"1,262",184,176,184,191,462,101,935,188,"1,222","2,043","1,217",301,38
2020년07월_남_20~29세,"15,300",232,"1,430",473,"1,119",269,391,173,87,119,"1,268",301,302,325,359,"1,189",210,"1,086",301,"1,342","2,062","1,734",444,84
2020년07월_남_30~39세,"13,777",209,"1,004",414,"1,281",305,307,166,71,92,"1,557",238,348,294,328,781,189,790,257,"1,489","1,624","1,306",645,82
2020년07월_남_40~49세,"19,423",406,"1,798",625,"1,612",261,449,250,115,201,"1,903",447,399,376,443,"1,013",303,"1,273",420,"1,919","2,505","1,882",708,115
2020년07월_남_50~59세,"24,154",571,"2,681",927,"2,139",382,732,513,318,327,"1,755",715,595,474,625,"1,175",482,"1,407",554,"1,762","2,707","2,232",899,182
