카테고리,전라북도 무주군,전라북도 무주군 무주읍,전라북도 무주군 무풍면,전라북도 무주군 설천면,전라북도 무주군 적상면,전라북도 무주군 안성면,전라북도 무주군 부남면
2020년11월_계_총인구수,"24,031","9,456","2,254","4,060","2,604","4,260","1,397"
2020년11월_계_연령구간인구수,"24,031","9,456","2,254","4,060","2,604","4,260","1,397"
2020년11월_계_0~9세,"1,215",745,60,188,64,126,32
2020년11월_계_10~19세,"1,810",981,110,291,117,259,52
2020년11월_계_20~29세,"1,787",862,132,338,148,241,66
2020년11월_계_30~39세,"1,714",888,138,250,130,240,68
2020년11월_계_40~49세,"2,877","1,468",191,500,232,390,96
2020년11월_계_50~59세,"4,239","1,487",447,807,452,792,254
2020년11월_계_60~69세,"4,352","1,272",510,755,552,910,353
2020년11월_계_70~79세,"3,386","1,003",374,542,494,703,270
2020년11월_계_80~89세,"2,301",630,255,347,371,523,175
2020년11월_계_90~99세,330,112,37,40,41,70,30
2020년11월_계_100세 이상,20,8,0,2,3,6,1
2020년11월_남_총인구수,"11,948","4,722","1,111","2,039","1,278","2,110",688
2020년11월_남_연령구간인구수,"11,948","4,722","1,111","2,039","1,278","2,110",688
2020년11월_남_0~9세,647,391,32,107,34,66,17
2020년11월_남_10~19세,927,496,65,159,56,125,26
2020년11월_남_20~29세,985,468,70,181,85,142,39
2020년11월_남_30~39세,936,459,79,143,76,140,39
2020년11월_남_40~49세,"1,598",773,111,275,139,241,59
2020년11월_남_50~59세,"2,336",838,232,451,252,427,136
2020년11월_남_60~69세,"2,235",618,261,384,296,485,191
2020년11월_남_70~79세,"1,413",432,173,209,197,288,114
2020년11월_남_80~89세,794,225,78,123,130,179,59
2020년11월_남_90~99세,73,21,10,7,12,15,8
2020년11월_남_100세 이상,4,1,0,0,1,2,0
2020년11월_여_총인구수,"12,083","4,734","1,143","2,021","1,326","2,150",709
2020년11월_여_연령구간인구수,"12,083","4,734","1,143","2,021","1,326","2,150",709
2020년11월_여_0~9세,568,354,28,81,30,60,15
2020년11월_여_10~19세,883,485,45,132,61,134,26
2020년11월_여_20~29세,802,394,62,157,63,99,27
2020년11월_여_30~39세,778,429,59,107,54,100,29
2020년11월_여_40~49세,"1,279",695,80,225,93,149,37
2020년11월_여_50~59세,"1,903",649,215,356,200,365,118
2020년11월_여_60~69세,"2,117",654,249,371,256,425,162
2020년11월_여_70~79세,"1,973",571,201,333,297,415,156
2020년11월_여_80~89세,"1,507",405,177,224,241,344,116
2020년11월_여_90~99세,257,91,27,33,29,55,22
2020년11월_여_100세 이상,16,7,0,2,2,4,1
