카테고리,강원도 인제군,강원도 인제군 인제읍,강원도 인제군 인제읍귀둔출장소,강원도 인제군 남면,강원도 인제군 북면,강원도 인제군 기린면,강원도 인제군 서화면,강원도 인제군 상남면
2021년01월_계_총인구수,"31,720","9,897",518,"3,943","8,170","5,045","2,616","1,531"
2021년01월_계_연령구간인구수,"31,720","9,897",518,"3,943","8,170","5,045","2,616","1,531"
2021년01월_계_0~9세,"2,487",931,16,323,587,392,196,42
2021년01월_계_10~19세,"2,304",846,32,260,620,324,139,83
2021년01월_계_20~29세,"4,121","1,268",35,513,"1,017",579,575,134
2021년01월_계_30~39세,"3,870","1,327",29,535,884,643,372,80
2021년01월_계_40~49세,"3,999","1,426",60,407,"1,067",629,249,161
2021년01월_계_50~59세,"5,237","1,521",120,608,"1,463",874,335,316
2021년01월_계_60~69세,"5,240","1,404",113,711,"1,372",876,382,382
2021년01월_계_70~79세,"2,671",715,77,327,688,422,232,210
2021년01월_계_80~89세,"1,517",384,33,218,404,256,120,102
2021년01월_계_90~99세,259,68,3,40,64,48,16,20
2021년01월_계_100세 이상,15,7,0,1,4,2,0,1
2021년01월_남_총인구수,"17,116","5,198",273,"2,122","4,367","2,744","1,571",841
2021년01월_남_연령구간인구수,"17,116","5,198",273,"2,122","4,367","2,744","1,571",841
2021년01월_남_0~9세,"1,258",470,9,157,291,205,104,22
2021년01월_남_10~19세,"1,218",457,15,131,331,164,74,46
2021년01월_남_20~29세,"2,745",777,21,354,651,388,459,95
2021년01월_남_30~39세,"2,203",711,19,313,481,379,245,55
2021년01월_남_40~49세,"2,233",775,35,226,602,354,149,92
2021년01월_남_50~59세,"2,766",791,63,322,778,449,193,170
2021년01월_남_60~69세,"2,815",719,58,381,758,497,190,212
2021년01월_남_70~79세,"1,278",345,41,155,314,204,112,107
2021년01월_남_80~89세,528,135,11,72,143,93,40,34
2021년01월_남_90~99세,66,15,1,11,16,10,5,8
2021년01월_남_100세 이상,6,3,0,0,2,1,0,0
2021년01월_여_총인구수,"14,604","4,699",245,"1,821","3,803","2,301","1,045",690
2021년01월_여_연령구간인구수,"14,604","4,699",245,"1,821","3,803","2,301","1,045",690
2021년01월_여_0~9세,"1,229",461,7,166,296,187,92,20
2021년01월_여_10~19세,"1,086",389,17,129,289,160,65,37
2021년01월_여_20~29세,"1,376",491,14,159,366,191,116,39
2021년01월_여_30~39세,"1,667",616,10,222,403,264,127,25
2021년01월_여_40~49세,"1,766",651,25,181,465,275,100,69
2021년01월_여_50~59세,"2,471",730,57,286,685,425,142,146
2021년01월_여_60~69세,"2,425",685,55,330,614,379,192,170
2021년01월_여_70~79세,"1,393",370,36,172,374,218,120,103
2021년01월_여_80~89세,989,249,22,146,261,163,80,68
2021년01월_여_90~99세,193,53,2,29,48,38,11,12
2021년01월_여_100세 이상,9,4,0,1,2,1,0,1
