,강원도,강원도 춘천시,강원도 원주시,강원도 강릉시,강원도 동해시,강원도 태백시,강원도 속초시,강원도 삼척시,강원도 홍천군,강원도 횡성군,강원도 영월군,강원도 평창군,강원도 정선군,강원도 철원군,강원도 화천군,강원도 양구군,강원도 인제군,강원도 고성군,강원도 양양군
2020년09월_계_총인구수,"1,541,104","282,012","353,189","213,055","90,575","42,937","82,457","65,639","69,164","46,482","38,698","41,706","36,956","44,799","24,855","22,315","31,538","26,787","27,940"
2020년09월_계_연령구간인구수,"1,541,104","282,012","353,189","213,055","90,575","42,937","82,457","65,639","69,164","46,482","38,698","41,706","36,956","44,799","24,855","22,315","31,538","26,787","27,940"
2020년09월_계_0~9세,"106,680","21,811","28,485","13,647","6,745","2,650","5,885","3,905","3,819","2,208","1,703","1,918","1,753","3,367","1,838","1,767","2,521","1,293","1,365"
2020년09월_계_10~19세,"138,747","27,073","36,082","19,242","8,818","3,880","7,529","5,263","5,248","3,597","2,936","2,948","2,576","3,843","1,818","2,083","2,293","1,641","1,877"
2020년09월_계_20~29세,"179,232","37,147","45,245","25,053","9,360","3,665","8,983","7,383","6,916","3,858","3,284","3,375","2,846","5,828","3,874","3,111","4,028","2,895","2,381"
2020년09월_계_30~39세,"167,217","34,356","45,317","21,741","9,350","3,864","9,266","5,887","6,162","3,474","2,836","3,152","3,148","4,739","2,874","2,588","3,873","2,210","2,380"
2020년09월_계_40~49세,"225,066","42,487","57,364","32,371","14,699","6,498","12,500","9,023","8,296","5,137","4,654","5,381","4,990","5,742","2,757","2,556","3,984","3,064","3,563"
2020년09월_계_50~59세,"268,664","47,079","60,614","36,838","15,612","7,434","15,191","11,406","12,881","8,840","7,406","8,142","7,074","7,280","3,969","3,568","5,307","4,903","5,120"
2020년09월_계_60~69세,"237,025","37,492","44,621","33,126","13,670","7,636","12,529","10,999","13,534","10,012","7,962","8,723","7,437","6,622","3,714","3,322","5,083","5,101","5,442"
2020년09월_계_70~79세,"135,771","21,034","21,658","19,555","8,083","4,916","6,772","7,221","7,309","5,642","4,874","5,020","4,548","4,768","2,449","2,037","2,700","3,513","3,672"
2020년09월_계_80~89세,"70,720","11,511","11,899","9,740","3,683","2,061","3,157","3,922","4,330","3,166","2,643","2,645","2,184","2,206","1,329","1,122","1,489","1,818","1,815"
2020년09월_계_90~99세,"11,142","1,909","1,797","1,636",525,270,612,580,628,515,347,360,350,359,218,147,247,333,309
2020년09월_계_100세 이상,840,113,107,106,30,63,33,50,41,33,53,42,50,45,15,14,13,16,16
2020년09월_남_총인구수,"775,324","139,184","175,217","105,704","45,906","21,741","40,828","33,245","35,605","23,823","19,987","21,321","19,202","23,267","13,458","11,814","17,007","13,815","14,200"
2020년09월_남_연령구간인구수,"775,324","139,184","175,217","105,704","45,906","21,741","40,828","33,245","35,605","23,823","19,987","21,321","19,202","23,267","13,458","11,814","17,007","13,815","14,200"
