,전라남도 강진군,전라남도 강진군 강진읍,전라남도 강진군 군동면,전라남도 강진군 칠량면,전라남도 강진군 대구면,전라남도 강진군 도암면,전라남도 강진군 신전면,전라남도 강진군 성전면,전라남도 강진군 작천면,전라남도 강진군 병영면,전라남도 강진군 옴천면,전라남도 강진군 마량면
2021년10월_계_총인구수,"33,860","13,281","4,401","2,244","1,133","2,454","1,770","2,760","1,816","1,603",620,"1,778"
2021년10월_계_연령구간인구수,"33,860","13,281","4,401","2,244","1,133","2,454","1,770","2,760","1,816","1,603",620,"1,778"
2021년10월_계_0~9세,"1,564",873,244,56,24,50,66,90,35,43,12,71
2021년10월_계_10~19세,"2,424","1,329",331,116,44,130,90,120,62,77,45,80
2021년10월_계_20~29세,"2,711","1,462",351,131,53,111,68,181,110,92,34,118
2021년10월_계_30~39세,"2,270","1,171",341,98,55,98,78,159,82,62,17,109
2021년10월_계_40~49세,"3,560","1,754",462,182,93,182,156,243,126,134,48,180
2021년10월_계_50~59세,"5,538","2,202",722,363,185,363,293,413,316,268,102,311
2021년10월_계_60~69세,"6,422","2,094",781,489,262,572,404,617,373,346,108,376
2021년10월_계_70~79세,"5,091","1,442",595,430,232,493,321,502,357,283,124,312
2021년10월_계_80~89세,"3,676",825,494,326,151,388,258,370,318,248,105,193
2021년10월_계_90~99세,592,128,77,51,33,66,35,65,35,49,25,28
2021년10월_계_100세 이상,12,1,3,2,1,1,1,0,2,1,0,0
2021년10월_남_총인구수,"16,418","6,412","2,136","1,085",545,"1,195",857,"1,361",883,752,307,885
2021년10월_남_연령구간인구수,"16,418","6,412","2,136","1,085",545,"1,195",857,"1,361",883,752,307,885
2021년10월_남_0~9세,777,443,117,33,8,25,28,44,23,18,6,32
2021년10월_남_10~19세,"1,250",664,186,51,23,72,44,59,32,44,28,47
2021년10월_남_20~29세,"1,536",796,208,77,33,67,41,113,61,51,21,68
2021년10월_남_30~39세,"1,177",599,176,52,30,60,38,83,46,32,4,57
2021년10월_남_40~49세,"1,962",863,246,116,62,111,101,152,82,82,36,111
2021년10월_남_50~59세,"3,026","1,132",380,196,111,214,165,234,194,152,65,183
2021년10월_남_60~69세,"3,232","1,016",425,251,123,297,202,319,191,174,59,175
2021년10월_남_70~79세,"2,208",626,242,188,106,219,151,223,148,109,56,140
2021년10월_남_80~89세,"1,139",248,141,113,45,118,84,119,98,78,26,69
2021년10월_남_90~99세,106,24,15,7,4,11,3,15,7,11,6,3
2021년10월_남_100세 이상,5,1,0,1,0,1,0,0,1,1,0,0
2021년10월_여_총인구수,"17,442","6,869","2,265","1,159",588,"1,259",913,"1,399",933,851,313,893
2021년10월_여_연령구간인구수,"17,442","6,869","2,265","1,159",588,"1,259",913,"1,399",933,851,313,893
2021년10월_여_0~9세,787,430,127,23,16,25,38,46,12,25,6,39
2021년10월_여_10~19세,"1,174",665,145,65,21,58,46,61,30,33,17,33
2021년10월_여_20~29세,"1,175",666,143,54,20,44,27,68,49,41,13,50
2021년10월_여_30~39세,"1,093",572,165,46,25,38,40,76,36,30,13,52
2021년10월_여_40~49세,"1,598",891,216,66,31,71,55,91,44,52,12,69
2021년10월_여_50~59세,"2,512","1,070",342,167,74,149,128,179,122,116,37,128
2021년10월_여_60~69세,"3,190","1,078",356,238,139,275,202,298,182,172,49,201
2021년10월_여_70~79세,"2,883",816,353,242,126,274,170,279,209,174,68,172
2021년10월_여_80~89세,"2,537",577,353,213,106,270,174,251,220,170,79,124
2021년10월_여_90~99세,486,104,62,44,29,55,32,50,28,38,19,25
2021년10월_여_100세 이상,7,0,3,1,1,0,1,0,1,0,0,0
