카테고리,인천광역시 계양구,인천광역시 계양구 효성1동,인천광역시 계양구 효성2동,인천광역시 계양구 계산1동,인천광역시 계양구 계산2동,인천광역시 계양구 계산3동,인천광역시 계양구 계산4동,인천광역시 계양구 작전1동,인천광역시 계양구 작전2동,인천광역시 계양구 작전서운동,인천광역시 계양구 계양1동,인천광역시 계양구 계양2동,인천광역시 계양구 계양3동
2020년02월_계_총인구수,"301,984","25,930","30,600","20,598","15,761","20,495","24,054","29,318","20,001","31,277","21,861","35,358","26,731"
2020년02월_계_연령구간인구수,"301,984","25,930","30,600","20,598","15,761","20,495","24,054","29,318","20,001","31,277","21,861","35,358","26,731"
2020년02월_계_0~9세,"20,125","1,478","2,132",922,637,"1,071","1,626","2,057","1,000","2,290","1,649","2,023","3,240"
2020년02월_계_10~19세,"28,186","2,450","2,915","1,433","1,065","1,793","2,747","2,974","1,499","3,554","1,901","3,036","2,819"
2020년02월_계_20~29세,"45,609","3,794","4,485","3,228","2,521","3,585","4,142","4,445","2,992","4,785","3,154","5,504","2,974"
2020년02월_계_30~39세,"39,377","2,986","3,846","2,681","1,978","2,901","2,750","3,800","2,722","3,977","2,856","4,631","4,249"
2020년02월_계_40~49세,"47,765","3,868","4,683","2,963","2,177","2,924","4,130","4,666","2,753","5,455","3,377","5,572","5,197"
2020년02월_계_50~59세,"61,973","5,446","6,288","4,520","3,495","4,591","5,377","5,919","4,246","6,442","4,343","7,286","4,020"
2020년02월_계_60~69세,"35,786","3,556","3,905","2,965","2,407","2,407","2,079","3,447","2,905","2,807","2,637","4,081","2,590"
2020년02월_계_70~79세,"15,095","1,546","1,616","1,271",991,748,632,"1,331","1,285","1,218","1,267","2,065","1,125"
2020년02월_계_80~89세,"6,985",689,664,558,409,404,475,582,515,641,593,"1,004",451
2020년02월_계_90~99세,"1,022",105,62,51,77,67,94,93,77,101,82,148,65
2020년02월_계_100세 이상,61,12,4,6,4,4,2,4,7,7,2,8,1
2020년02월_남_총인구수,"150,884","13,104","15,484","10,731","7,877","9,925","12,093","14,481","10,028","15,596","10,802","17,548","13,215"
2020년02월_남_연령구간인구수,"150,884","13,104","15,484","10,731","7,877","9,925","12,093","14,481","10,028","15,596","10,802","17,548","13,215"
2020년02월_남_0~9세,"10,240",734,"1,079",504,320,573,806,"1,032",520,"1,133",845,"1,009","1,685"
2020년02월_남_10~19세,"14,587","1,319","1,509",750,544,948,"1,424","1,526",774,"1,806",992,"1,562","1,433"
2020년02월_남_20~29세,"23,799","2,007","2,400","1,722","1,324","1,835","2,107","2,345","1,538","2,558","1,575","2,897","1,491"
2020년02월_남_30~39세,"20,386","1,587","2,024","1,482","1,092","1,473","1,366","1,916","1,509","2,027","1,440","2,452","2,018"
2020년02월_남_40~49세,"23,736","1,944","2,354","1,600","1,089","1,306","1,977","2,247","1,413","2,621","1,695","2,770","2,720"
2020년02월_남_50~59세,"30,431","2,724","3,087","2,336","1,698","2,078","2,742","2,866","2,048","3,230","2,103","3,577","1,942"
2020년02월_남_60~69세,"18,505","1,820","2,011","1,566","1,213","1,274","1,251","1,767","1,446","1,491","1,359","2,094","1,213"
2020년02월_남_70~79세,"6,728",715,771,590,452,316,273,580,580,506,569,842,534
2020년02월_남_80~89세,"2,225",224,236,167,129,105,132,175,180,203,205,309,160
2020년02월_남_90~99세,233,28,13,12,16,15,15,26,17,19,18,35,19
2020년02월_남_100세 이상,14,2,0,2,0,2,0,1,3,2,1,1,0
2020년02월_여_총인구수,"151,100","12,826","15,116","9,867","7,884","10,570","11,961","14,837","9,973","15,681","11,059","17,810","13,516"
2020년02월_여_연령구간인구수,"151,100","12,826","15,116","9,867","7,884","10,570","11,961","14,837","9,973","15,681","11,059","17,810","13,516"
2020년02월_여_0~9세,"9,885",744,"1,053",418,317,498,820,"1,025",480,"1,157",804,"1,014","1,555"
2020년02월_여_10~19세,"13,599","1,131","1,406",683,521,845,"1,323","1,448",725,"1,748",909,"1,474","1,386"
2020년02월_여_20~29세,"21,810","1,787","2,085","1,506","1,197","1,750","2,035","2,100","1,454","2,227","1,579","2,607","1,483"
2020년02월_여_30~39세,"18,991","1,399","1,822","1,199",886,"1,428","1,384","1,884","1,213","1,950","1,416","2,179","2,231"
2020년02월_여_40~49세,"24,029","1,924","2,329","1,363","1,088","1,618","2,153","2,419","1,340","2,834","1,682","2,802","2,477"
2020년02월_여_50~59세,"31,542","2,722","3,201","2,184","1,797","2,513","2,635","3,053","2,198","3,212","2,240","3,709","2,078"
2020년02월_여_60~69세,"17,281","1,736","1,894","1,399","1,194","1,133",828,"1,680","1,459","1,316","1,278","1,987","1,377"
2020년02월_여_70~79세,"8,367",831,845,681,539,432,359,751,705,712,698,"1,223",591
2020년02월_여_80~89세,"4,760",465,428,391,280,299,343,407,335,438,388,695,291
2020년02월_여_90~99세,789,77,49,39,61,52,79,67,60,82,64,113,46
2020년02월_여_100세 이상,47,10,4,4,4,2,2,3,4,5,1,7,1
