카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2020년03월_계_총인구수,"174,629","13,649","7,444","5,388","3,380","8,140","14,162","9,539","5,215","7,500","6,420","19,641","19,246","9,084","16,239","29,582"
2020년03월_계_연령구간인구수,"174,629","13,649","7,444","5,388","3,380","8,140","14,162","9,539","5,215","7,500","6,420","19,641","19,246","9,084","16,239","29,582"
2020년03월_계_0~9세,"15,815",752,569,127,62,684,"2,683",586,137,281,388,"1,857","1,826",629,"1,487","3,747"
2020년03월_계_10~19세,"17,507","1,126",720,225,128,726,"1,037",806,295,467,530,"2,169","2,414",931,"2,027","3,906"
2020년03월_계_20~29세,"19,173","1,811",654,314,177,678,"1,577",879,316,782,554,"2,650","2,259","1,130","1,971","3,421"
2020년03월_계_30~39세,"22,529","1,476",723,284,159,"1,024","3,683",915,279,507,607,"2,824","2,363",946,"2,055","4,684"
2020년03월_계_40~49세,"27,783","2,006","1,144",503,311,"1,248","1,992","1,430",578,890,917,"3,359","3,509","1,509","2,923","5,464"
2020년03월_계_50~59세,"28,085","3,049","1,281",897,624,"1,342","1,474","1,664",919,"1,395",848,"3,168","3,187","1,566","2,582","4,089"
2020년03월_계_60~69세,"20,871","1,760","1,037","1,295",822,"1,136",866,"1,434","1,084","1,366","1,061","1,923","1,907","1,242","1,682","2,256"
2020년03월_계_70~79세,"13,578",960,725,990,660,758,488,"1,046",928,"1,111",841,"1,046","1,127",742,938,"1,218"
2020년03월_계_80~89세,"8,068",613,515,674,377,465,323,692,597,618,584,542,564,324,504,676
2020년03월_계_90~99세,"1,156",93,72,78,56,78,36,83,79,80,83,93,82,58,68,117
2020년03월_계_100세 이상,64,3,4,1,4,1,3,4,3,3,7,10,8,7,2,4
2020년03월_남_총인구수,"90,543","7,772","3,793","2,742","1,715","4,344","7,408","4,919","2,622","3,859","3,309","10,144","10,037","4,591","8,185","15,103"
2020년03월_남_연령구간인구수,"90,543","7,772","3,793","2,742","1,715","4,344","7,408","4,919","2,622","3,859","3,309","10,144","10,037","4,591","8,185","15,103"
2020년03월_남_0~9세,"8,139",389,295,62,39,334,"1,403",306,73,148,209,985,935,323,738,"1,900"
2020년03월_남_10~19세,"9,286",591,392,123,61,388,515,449,156,268,279,"1,130","1,433",476,980,"2,045"
2020년03월_남_20~29세,"11,266","1,232",386,193,108,413,875,512,183,449,355,"1,489","1,346",657,"1,126","1,942"
2020년03월_남_30~39세,"12,356",979,363,177,90,625,"1,964",503,154,302,346,"1,573","1,257",516,"1,123","2,384"
2020년03월_남_40~49세,"14,823","1,158",609,324,191,726,"1,104",799,359,534,535,"1,733","1,732",770,"1,471","2,778"
2020년03월_남_50~59세,"14,918","1,797",710,476,348,723,768,882,500,734,456,"1,623","1,654",799,"1,332","2,116"
2020년03월_남_60~69세,"10,393",951,519,651,412,605,437,721,518,688,507,920,932,589,809,"1,134"
2020년03월_남_70~79세,"6,324",461,330,473,331,353,232,491,448,513,374,470,528,327,424,569
2020년03월_남_80~89세,"2,802",189,171,245,123,165,104,242,219,208,229,203,202,119,168,215
2020년03월_남_90~99세,227,25,18,18,9,12,5,14,11,15,18,18,16,15,14,19
2020년03월_남_100세 이상,9,0,0,0,3,0,1,0,1,0,1,0,2,0,0,1
2020년03월_여_총인구수,"84,086","5,877","3,651","2,646","1,665","3,796","6,754","4,620","2,593","3,641","3,111","9,497","9,209","4,493","8,054","14,479"
2020년03월_여_연령구간인구수,"84,086","5,877","3,651","2,646","1,665","3,796","6,754","4,620","2,593","3,641","3,111","9,497","9,209","4,493","8,054","14,479"
2020년03월_여_0~9세,"7,676",363,274,65,23,350,"1,280",280,64,133,179,872,891,306,749,"1,847"
2020년03월_여_10~19세,"8,221",535,328,102,67,338,522,357,139,199,251,"1,039",981,455,"1,047","1,861"
2020년03월_여_20~29세,"7,907",579,268,121,69,265,702,367,133,333,199,"1,161",913,473,845,"1,479"
2020년03월_여_30~39세,"10,173",497,360,107,69,399,"1,719",412,125,205,261,"1,251","1,106",430,932,"2,300"
2020년03월_여_40~49세,"12,960",848,535,179,120,522,888,631,219,356,382,"1,626","1,777",739,"1,452","2,686"
2020년03월_여_50~59세,"13,167","1,252",571,421,276,619,706,782,419,661,392,"1,545","1,533",767,"1,250","1,973"
2020년03월_여_60~69세,"10,478",809,518,644,410,531,429,713,566,678,554,"1,003",975,653,873,"1,122"
2020년03월_여_70~79세,"7,254",499,395,517,329,405,256,555,480,598,467,576,599,415,514,649
2020년03월_여_80~89세,"5,266",424,344,429,254,300,219,450,378,410,355,339,362,205,336,461
2020년03월_여_90~99세,929,68,54,60,47,66,31,69,68,65,65,75,66,43,54,98
2020년03월_여_100세 이상,55,3,4,1,1,1,2,4,2,3,6,10,6,7,2,3
