카테고리,울산광역시 남구,울산광역시 남구 신정1동,울산광역시 남구 신정2동,울산광역시 남구 신정3동,울산광역시 남구 신정4동,울산광역시 남구 신정5동,울산광역시 남구 달동,울산광역시 남구 삼산동,울산광역시 남구 삼호동,울산광역시 남구 무거동,울산광역시 남구 옥동,울산광역시 남구 대현동,울산광역시 남구 수암동,울산광역시 남구 선암동,울산광역시 남구 야음장생포동
2020년09월_계_총인구수,"321,494","19,216","24,904","16,381","21,715","8,889","27,476","48,891","21,218","32,407","26,875","30,764","16,962","14,764","11,032"
2020년09월_계_연령구간인구수,"321,494","19,216","24,904","16,381","21,715","8,889","27,476","48,891","21,218","32,407","26,875","30,764","16,962","14,764","11,032"
2020년09월_계_0~9세,"24,255",854,"2,034","1,326","1,862",473,"1,676","3,613","1,235","2,215","2,085","3,549","1,562","1,231",540
2020년09월_계_10~19세,"30,881","1,140","3,144","1,214","2,373",610,"2,160","4,463","1,787","3,611","3,308","3,293","1,868","1,307",603
2020년09월_계_20~29세,"46,087","2,694","3,316","2,161","2,925","1,387","4,179","7,830","3,279","5,785","3,795","3,480","2,300","1,854","1,102"
2020년09월_계_30~39세,"42,730","2,276","2,907","2,079","2,825","1,259","3,935","7,802","2,330","3,635","3,184","4,717","2,369","2,034","1,378"
2020년09월_계_40~49세,"52,070","2,548","4,401","2,498","3,714","1,381","4,202","8,462","3,114","5,380","4,313","5,531","2,660","2,420","1,446"
2020년09월_계_50~59세,"62,109","3,849","4,761","3,280","3,814","1,767","5,378","9,340","4,744","6,654","5,489","4,945","3,281","2,739","2,068"
2020년09월_계_60~69세,"40,842","3,580","2,734","2,387","2,668","1,254","3,855","5,217","2,960","3,286","3,234","3,349","2,032","2,076","2,210"
2020년09월_계_70~79세,"16,274","1,677","1,186","1,026","1,124",570,"1,439","1,593","1,233","1,293","1,072","1,405",639,788,"1,229"
2020년09월_계_80~89세,"5,539",535,360,352,360,164,584,495,480,484,357,449,224,284,411
2020년09월_계_90~99세,674,57,60,55,47,23,63,74,55,63,38,43,27,28,41
2020년09월_계_100세 이상,33,6,1,3,3,1,5,2,1,1,0,3,0,3,4
2020년09월_남_총인구수,"163,939","9,766","12,788","8,339","10,994","4,715","13,866","25,268","10,826","16,590","13,465","15,374","8,498","7,581","5,869"
2020년09월_남_연령구간인구수,"163,939","9,766","12,788","8,339","10,994","4,715","13,866","25,268","10,826","16,590","13,465","15,374","8,498","7,581","5,869"
2020년09월_남_0~9세,"12,475",434,"1,074",688,969,243,872,"1,832",691,"1,146","1,060","1,770",785,639,272
2020년09월_남_10~19세,"16,325",579,"1,715",657,"1,228",319,"1,156","2,323",946,"1,879","1,807","1,708",995,683,330
2020년09월_남_20~29세,"25,723","1,540","1,885","1,178","1,623",811,"2,316","4,286","1,844","3,315","2,183","1,849","1,235","1,011",647
2020년09월_남_30~39세,"22,680","1,311","1,504","1,088","1,471",710,"2,131","4,247","1,279","1,954","1,581","2,321","1,198","1,076",809
2020년09월_남_40~49세,"25,386","1,350","2,032","1,276","1,790",739,"2,094","4,132","1,522","2,471","1,875","2,755","1,230","1,252",868
2020년09월_남_50~59세,"31,274","1,895","2,478","1,669","1,947",911,"2,570","4,738","2,365","3,354","2,671","2,504","1,636","1,377","1,159"
2020년09월_남_60~69세,"20,287","1,691","1,368","1,142","1,297",635,"1,869","2,692","1,468","1,690","1,650","1,626","1,037","1,051","1,071"
2020년09월_남_70~79세,"7,773",770,593,490,525,283,658,839,546,608,522,674,310,390,565
2020년09월_남_80~89세,"1,890",187,130,139,131,61,187,165,154,163,110,158,69,95,141
2020년09월_남_90~99세,118,8,9,10,12,3,12,14,11,10,6,9,3,4,7
2020년09월_남_100세 이상,8,1,0,2,1,0,1,0,0,0,0,0,0,3,0
2020년09월_여_총인구수,"157,555","9,450","12,116","8,042","10,721","4,174","13,610","23,623","10,392","15,817","13,410","15,390","8,464","7,183","5,163"
2020년09월_여_연령구간인구수,"157,555","9,450","12,116","8,042","10,721","4,174","13,610","23,623","10,392","15,817","13,410","15,390","8,464","7,183","5,163"
2020년09월_여_0~9세,"11,780",420,960,638,893,230,804,"1,781",544,"1,069","1,025","1,779",777,592,268
2020년09월_여_10~19세,"14,556",561,"1,429",557,"1,145",291,"1,004","2,140",841,"1,732","1,501","1,585",873,624,273
2020년09월_여_20~29세,"20,364","1,154","1,431",983,"1,302",576,"1,863","3,544","1,435","2,470","1,612","1,631","1,065",843,455
2020년09월_여_30~39세,"20,050",965,"1,403",991,"1,354",549,"1,804","3,555","1,051","1,681","1,603","2,396","1,171",958,569
2020년09월_여_40~49세,"26,684","1,198","2,369","1,222","1,924",642,"2,108","4,330","1,592","2,909","2,438","2,776","1,430","1,168",578
2020년09월_여_50~59세,"30,835","1,954","2,283","1,611","1,867",856,"2,808","4,602","2,379","3,300","2,818","2,441","1,645","1,362",909
2020년09월_여_60~69세,"20,555","1,889","1,366","1,245","1,371",619,"1,986","2,525","1,492","1,596","1,584","1,723",995,"1,025","1,139"
2020년09월_여_70~79세,"8,501",907,593,536,599,287,781,754,687,685,550,731,329,398,664
2020년09월_여_80~89세,"3,649",348,230,213,229,103,397,330,326,321,247,291,155,189,270
2020년09월_여_90~99세,556,49,51,45,35,20,51,60,44,53,32,34,24,24,34
2020년09월_여_100세 이상,25,5,1,1,2,1,4,2,1,1,0,3,0,0,4
