,경기도 안성시,경기도 안성시 공도읍,경기도 안성시 보개면,경기도 안성시 금광면,경기도 안성시 서운면,경기도 안성시 미양면,경기도 안성시 대덕면,경기도 안성시 양성면,경기도 안성시 원곡면,경기도 안성시 일죽면,경기도 안성시 죽산면,경기도 안성시 삼죽면,경기도 안성시 고삼면,경기도 안성시 안성1동,경기도 안성시 안성2동,경기도 안성시 안성3동
2021년03월_계_총인구수,"187,540","59,688","5,344","7,385","3,340","5,911","15,340","5,283","6,267","7,579","6,810","3,607","1,946","12,398","24,178","22,464"
2021년03월_계_연령구간인구수,"187,540","59,688","5,344","7,385","3,340","5,911","15,340","5,283","6,267","7,579","6,810","3,607","1,946","12,398","24,178","22,464"
2021년03월_계_0~9세,"13,796","5,839",161,390,88,226,"1,355",150,391,289,218,82,44,702,"2,097","1,764"
2021년03월_계_10~19세,"17,926","7,538",300,624,139,279,"1,122",281,348,433,361,291,84,"1,030","2,583","2,513"
2021년03월_계_20~29세,"22,743","6,983",488,727,283,553,"2,016",464,766,661,690,414,191,"1,609","3,633","3,265"
2021년03월_계_30~39세,"22,891","8,332",397,644,243,554,"2,565",407,904,606,531,270,143,"1,315","3,268","2,712"
2021년03월_계_40~49세,"30,150","12,071",545,"1,019",336,729,"2,570",549,906,830,750,342,179,"1,721","4,040","3,563"
2021년03월_계_50~59세,"31,452","8,920","1,022","1,333",665,"1,117","2,350","1,024","1,163","1,377","1,399",648,373,"2,237","3,883","3,941"
2021년03월_계_60~69세,"26,110","5,550","1,190","1,409",766,"1,249","1,927","1,205","1,010","1,720","1,475",774,482,"1,985","2,735","2,633"
2021년03월_계_70~79세,"13,721","2,926",708,696,460,683,908,652,482,991,814,464,243,"1,115","1,256","1,323"
2021년03월_계_80~89세,"7,668","1,355",456,468,323,461,465,455,262,579,513,294,177,592,608,660
2021년03월_계_90~99세,"1,044",168,73,72,36,57,61,92,35,88,55,27,28,90,75,87
2021년03월_계_100세 이상,39,6,4,3,1,3,1,4,0,5,4,1,2,2,0,3
2021년03월_남_총인구수,"96,711","30,123","2,821","3,696","1,757","3,209","8,593","2,760","3,521","3,947","3,619","1,902","1,009","6,232","12,253","11,269"
2021년03월_남_연령구간인구수,"96,711","30,123","2,821","3,696","1,757","3,209","8,593","2,760","3,521","3,947","3,619","1,902","1,009","6,232","12,253","11,269"
2021년03월_남_0~9세,"7,094","2,944",89,211,49,114,734,78,227,140,105,43,21,342,"1,095",902
2021년03월_남_10~19세,"9,320","3,898",176,313,77,152,583,130,180,236,188,154,50,528,"1,346","1,309"
2021년03월_남_20~29세,"12,547","3,730",284,398,178,342,"1,150",275,476,368,388,222,102,877,"1,937","1,820"
2021년03월_남_30~39세,"12,520","4,363",242,340,138,344,"1,523",236,550,368,329,182,86,707,"1,712","1,400"
2021년03월_남_40~49세,"16,113","6,161",328,545,202,450,"1,569",330,554,488,440,201,105,914,"2,082","1,744"
2021년03월_남_50~59세,"16,690","4,634",556,696,378,616,"1,374",571,639,754,812,355,202,"1,137","1,984","1,982"
2021년03월_남_60~69세,"13,202","2,616",647,712,395,687,"1,017",654,561,873,780,407,247,968,"1,351","1,287"
2021년03월_남_70~79세,"6,277","1,290",322,295,214,333,456,309,231,492,375,225,117,507,541,570
2021년03월_남_80~89세,"2,734",451,163,174,117,158,177,162,91,211,190,110,74,235,186,235
2021년03월_남_90~99세,208,35,14,11,9,12,10,15,12,15,11,3,5,17,19,20
2021년03월_남_100세 이상,6,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0
2021년03월_여_총인구수,"90,829","29,565","2,523","3,689","1,583","2,702","6,747","2,523","2,746","3,632","3,191","1,705",937,"6,166","11,925","11,195"
2021년03월_여_연령구간인구수,"90,829","29,565","2,523","3,689","1,583","2,702","6,747","2,523","2,746","3,632","3,191","1,705",937,"6,166","11,925","11,195"
2021년03월_여_0~9세,"6,702","2,895",72,179,39,112,621,72,164,149,113,39,23,360,"1,002",862
2021년03월_여_10~19세,"8,606","3,640",124,311,62,127,539,151,168,197,173,137,34,502,"1,237","1,204"
2021년03월_여_20~29세,"10,196","3,253",204,329,105,211,866,189,290,293,302,192,89,732,"1,696","1,445"
2021년03월_여_30~39세,"10,371","3,969",155,304,105,210,"1,042",171,354,238,202,88,57,608,"1,556","1,312"
2021년03월_여_40~49세,"14,037","5,910",217,474,134,279,"1,001",219,352,342,310,141,74,807,"1,958","1,819"
2021년03월_여_50~59세,"14,762","4,286",466,637,287,501,976,453,524,623,587,293,171,"1,100","1,899","1,959"
2021년03월_여_60~69세,"12,908","2,934",543,697,371,562,910,551,449,847,695,367,235,"1,017","1,384","1,346"
2021년03월_여_70~79세,"7,444","1,636",386,401,246,350,452,343,251,499,439,239,126,608,715,753
2021년03월_여_80~89세,"4,934",904,293,294,206,303,288,293,171,368,323,184,103,357,422,425
2021년03월_여_90~99세,836,133,59,61,27,45,51,77,23,73,44,24,23,73,56,67
2021년03월_여_100세 이상,33,5,4,2,1,2,1,4,0,3,3,1,2,2,0,3
