,대구광역시 남구,대구광역시 남구 이천동,대구광역시 남구 봉덕1동,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕3동,대구광역시 남구 대명1동,대구광역시 남구 대명2동,대구광역시 남구 대명3동,대구광역시 남구 대명4동,대구광역시 남구 대명5동,대구광역시 남구 대명6동,대구광역시 남구 대명9동,대구광역시 남구 대명10동,대구광역시 남구 대명11동
2021년02월_계_총인구수,"146,255","12,331","9,275","12,199","17,212","11,550","10,658","11,072","11,243","7,299","9,660","15,971","9,275","8,510"
2021년02월_계_연령구간인구수,"146,255","12,331","9,275","12,199","17,212","11,550","10,658","11,072","11,243","7,299","9,660","15,971","9,275","8,510"
2021년02월_계_0~9세,"6,720",774,367,842,842,495,379,369,474,262,538,757,327,294
2021년02월_계_10~19세,"9,305","1,032",524,981,"1,336",735,616,612,628,398,628,886,482,447
2021년02월_계_20~29세,"20,398","1,227","1,132","1,267","2,097","1,799","1,995","1,527","1,651","1,420","1,447","2,464","1,345","1,027"
2021년02월_계_30~39세,"17,016","1,270","1,144","1,373","1,872","1,383","1,318","1,151","1,223",852,"1,280","2,131","1,114",905
2021년02월_계_40~49세,"20,202","1,987","1,337","1,707","2,519","1,574","1,365","1,492","1,382",882,"1,412","2,314","1,192","1,039"
2021년02월_계_50~59세,"24,856","1,977","1,644","2,043","2,948","2,041","1,668","1,984","2,023","1,161","1,572","2,691","1,593","1,511"
2021년02월_계_60~69세,"24,213","1,767","1,535","2,008","2,866","1,892","1,602","2,005","2,078","1,146","1,440","2,442","1,683","1,749"
2021년02월_계_70~79세,"15,125","1,387",959,"1,205","1,694","1,094","1,113","1,299","1,206",755,870,"1,532",995,"1,016"
2021년02월_계_80~89세,"7,360",773,567,665,908,460,532,554,511,375,413,645,488,469
2021년02월_계_90~99세,971,128,60,101,117,74,63,68,59,43,55,99,54,50
2021년02월_계_100세 이상,89,9,6,7,13,3,7,11,8,5,5,10,2,3
2021년02월_남_총인구수,"70,279","5,806","4,450","5,846","8,181","5,645","5,026","5,504","5,479","3,486","4,634","7,779","4,378","4,065"
2021년02월_남_연령구간인구수,"70,279","5,806","4,450","5,846","8,181","5,645","5,026","5,504","5,479","3,486","4,634","7,779","4,378","4,065"
2021년02월_남_0~9세,"3,482",430,185,429,453,263,186,207,229,152,255,390,162,141
2021년02월_남_10~19세,"4,910",564,285,492,688,397,293,330,340,217,339,471,257,237
2021년02월_남_20~29세,"10,183",612,541,677,"1,049",913,922,781,876,625,709,"1,262",662,554
2021년02월_남_30~39세,"8,965",629,622,703,960,731,698,653,677,444,647,"1,101",580,520
2021년02월_남_40~49세,"10,193",974,685,824,"1,193",814,706,827,708,461,689,"1,189",598,525
2021년02월_남_50~59세,"12,138",973,812,950,"1,472",966,828,"1,039","1,002",585,782,"1,278",740,711
2021년02월_남_60~69세,"11,071",765,718,937,"1,270",880,744,921,948,536,684,"1,138",755,775
2021년02월_남_70~79세,"6,433",545,387,546,716,490,456,537,524,321,381,668,440,422
2021년02월_남_80~89세,"2,659",284,203,254,348,172,176,194,162,132,140,257,170,167
2021년02월_남_90~99세,227,30,10,31,30,19,14,14,10,12,8,24,13,12
2021년02월_남_100세 이상,18,0,2,3,2,0,3,1,3,1,0,1,1,1
2021년02월_여_총인구수,"75,976","6,525","4,825","6,353","9,031","5,905","5,632","5,568","5,764","3,813","5,026","8,192","4,897","4,445"
2021년02월_여_연령구간인구수,"75,976","6,525","4,825","6,353","9,031","5,905","5,632","5,568","5,764","3,813","5,026","8,192","4,897","4,445"
2021년02월_여_0~9세,"3,238",344,182,413,389,232,193,162,245,110,283,367,165,153
2021년02월_여_10~19세,"4,395",468,239,489,648,338,323,282,288,181,289,415,225,210
2021년02월_여_20~29세,"10,215",615,591,590,"1,048",886,"1,073",746,775,795,738,"1,202",683,473
2021년02월_여_30~39세,"8,051",641,522,670,912,652,620,498,546,408,633,"1,030",534,385
2021년02월_여_40~49세,"10,009","1,013",652,883,"1,326",760,659,665,674,421,723,"1,125",594,514
2021년02월_여_50~59세,"12,718","1,004",832,"1,093","1,476","1,075",840,945,"1,021",576,790,"1,413",853,800
2021년02월_여_60~69세,"13,142","1,002",817,"1,071","1,596","1,012",858,"1,084","1,130",610,756,"1,304",928,974
2021년02월_여_70~79세,"8,692",842,572,659,978,604,657,762,682,434,489,864,555,594
2021년02월_여_80~89세,"4,701",489,364,411,560,288,356,360,349,243,273,388,318,302
2021년02월_여_90~99세,744,98,50,70,87,55,49,54,49,31,47,75,41,38
2021년02월_여_100세 이상,71,9,4,4,11,3,4,10,5,4,5,9,1,2
