카테고리,강원도 철원군,강원도 철원군 철원읍,강원도 철원군 김화읍,강원도 철원군 갈말읍,강원도 철원군 동송읍,강원도 철원군 서면,강원도 철원군 서면와수출장소,강원도 철원군 근남면,강원도 철원군 근북면,강원도 철원군 근동면,강원도 철원군 원동면,강원도 철원군 원남면,강원도 철원군 임남면
2021년05월_계_총인구수,"44,011","5,326","3,545","11,917","15,225","1,934","3,732","2,225",107,0,0,0,0
2021년05월_계_연령구간인구수,"44,011","5,326","3,545","11,917","15,225","1,934","3,732","2,225",107,0,0,0,0
2021년05월_계_0~9세,"3,291",427,352,808,"1,125",167,230,182,0,0,0,0,0
2021년05월_계_10~19세,"3,673",460,265,978,"1,422",85,326,134,3,0,0,0,0
2021년05월_계_20~29세,"5,572",650,515,"1,574","1,755",383,426,267,2,0,0,0,0
2021년05월_계_30~39세,"4,610",567,447,"1,232","1,527",234,341,260,2,0,0,0,0
2021년05월_계_40~49세,"5,593",644,391,"1,580","2,055",193,530,191,9,0,0,0,0
2021년05월_계_50~59세,"7,008",861,466,"1,977","2,492",226,638,331,17,0,0,0,0
2021년05월_계_60~69세,"6,967",813,503,"1,929","2,399",281,602,421,19,0,0,0,0
2021년05월_계_70~79세,"4,623",584,359,"1,188","1,559",225,381,289,38,0,0,0,0
2021년05월_계_80~89세,"2,298",281,209,557,762,119,222,132,16,0,0,0,0
2021년05월_계_90~99세,359,39,36,87,125,19,35,17,1,0,0,0,0
2021년05월_계_100세 이상,17,0,2,7,4,2,1,1,0,0,0,0,0
2021년05월_남_총인구수,"22,895","2,719","1,887","6,397","7,681","1,076","1,890","1,194",51,0,0,0,0
2021년05월_남_연령구간인구수,"22,895","2,719","1,887","6,397","7,681","1,076","1,890","1,194",51,0,0,0,0
2021년05월_남_0~9세,"1,654",202,194,394,554,85,124,101,0,0,0,0,0
2021년05월_남_10~19세,"1,920",253,137,541,705,53,161,68,2,0,0,0,0
2021년05월_남_20~29세,"3,613",387,337,"1,072","1,062",282,275,197,1,0,0,0,0
2021년05월_남_30~39세,"2,549",317,248,713,802,142,178,148,1,0,0,0,0
2021년05월_남_40~49세,"2,990",344,221,837,"1,061",116,292,113,6,0,0,0,0
2021년05월_남_50~59세,"3,747",471,254,"1,050","1,337",120,333,171,11,0,0,0,0
2021년05월_남_60~69세,"3,445",390,265,996,"1,156",135,282,215,6,0,0,0,0
2021년05월_남_70~79세,"2,058",253,142,540,711,103,164,130,15,0,0,0,0
2021년05월_남_80~89세,832,94,81,230,259,35,78,46,9,0,0,0,0
2021년05월_남_90~99세,82,8,8,21,33,4,3,5,0,0,0,0,0
2021년05월_남_100세 이상,5,0,0,3,1,1,0,0,0,0,0,0,0
2021년05월_여_총인구수,"21,116","2,607","1,658","5,520","7,544",858,"1,842","1,031",56,0,0,0,0
2021년05월_여_연령구간인구수,"21,116","2,607","1,658","5,520","7,544",858,"1,842","1,031",56,0,0,0,0
2021년05월_여_0~9세,"1,637",225,158,414,571,82,106,81,0,0,0,0,0
2021년05월_여_10~19세,"1,753",207,128,437,717,32,165,66,1,0,0,0,0
2021년05월_여_20~29세,"1,959",263,178,502,693,101,151,70,1,0,0,0,0
2021년05월_여_30~39세,"2,061",250,199,519,725,92,163,112,1,0,0,0,0
2021년05월_여_40~49세,"2,603",300,170,743,994,77,238,78,3,0,0,0,0
2021년05월_여_50~59세,"3,261",390,212,927,"1,155",106,305,160,6,0,0,0,0
2021년05월_여_60~69세,"3,522",423,238,933,"1,243",146,320,206,13,0,0,0,0
2021년05월_여_70~79세,"2,565",331,217,648,848,122,217,159,23,0,0,0,0
2021년05월_여_80~89세,"1,466",187,128,327,503,84,144,86,7,0,0,0,0
2021년05월_여_90~99세,277,31,28,66,92,15,32,12,1,0,0,0,0
2021년05월_여_100세 이상,12,0,2,4,3,1,1,1,0,0,0,0,0
