카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년05월_계_총인구수,"30,494","10,681","3,040","3,655","3,483","3,457","3,211","2,336",276,355
2020년05월_계_연령구간인구수,"30,494","10,681","3,040","3,655","3,483","3,457","3,211","2,336",276,355
2020년05월_계_0~9세,"1,768",905,121,211,126,129,114,111,18,33
2020년05월_계_10~19세,"2,259","1,171",176,246,166,197,129,129,11,34
2020년05월_계_20~29세,"2,428","1,157",195,264,223,218,205,131,20,15
2020년05월_계_30~39세,"2,292","1,109",188,282,205,176,163,128,18,23
2020년05월_계_40~49세,"3,585","1,558",325,394,365,331,252,288,29,43
2020년05월_계_50~59세,"5,086","1,742",520,590,636,610,523,362,46,57
2020년05월_계_60~69세,"5,147","1,416",582,703,673,649,622,406,41,55
2020년05월_계_70~79세,"4,762","1,049",547,550,642,676,721,462,51,64
2020년05월_계_80~89세,"2,793",509,344,362,391,397,430,294,39,27
2020년05월_계_90~99세,357,62,41,48,55,73,50,21,3,4
2020년05월_계_100세 이상,17,3,1,5,1,1,2,4,0,0
2020년05월_남_총인구수,"14,988","5,246","1,528","1,774","1,756","1,645","1,531","1,192",142,174
2020년05월_남_연령구간인구수,"14,988","5,246","1,528","1,774","1,756","1,645","1,531","1,192",142,174
2020년05월_남_0~9세,854,430,57,107,72,59,54,47,10,18
2020년05월_남_10~19세,"1,172",615,87,123,88,102,60,72,9,16
2020년05월_남_20~29세,"1,392",658,124,138,124,118,132,77,10,11
2020년05월_남_30~39세,"1,256",570,115,158,128,99,87,75,11,13
2020년05월_남_40~49세,"2,066",796,188,242,229,203,171,190,18,29
2020년05월_남_50~59세,"2,784",867,310,316,356,333,300,232,32,38
2020년05월_남_60~69세,"2,595",689,304,346,351,327,300,235,22,21
2020년05월_남_70~79세,"1,998",458,232,228,269,289,300,180,21,21
2020년05월_남_80~89세,805,152,103,106,129,103,116,82,8,6
2020년05월_남_90~99세,66,11,8,10,10,12,11,2,1,1
2020년05월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년05월_여_총인구수,"15,506","5,435","1,512","1,881","1,727","1,812","1,680","1,144",134,181
2020년05월_여_연령구간인구수,"15,506","5,435","1,512","1,881","1,727","1,812","1,680","1,144",134,181
2020년05월_여_0~9세,914,475,64,104,54,70,60,64,8,15
2020년05월_여_10~19세,"1,087",556,89,123,78,95,69,57,2,18
2020년05월_여_20~29세,"1,036",499,71,126,99,100,73,54,10,4
2020년05월_여_30~39세,"1,036",539,73,124,77,77,76,53,7,10
2020년05월_여_40~49세,"1,519",762,137,152,136,128,81,98,11,14
2020년05월_여_50~59세,"2,302",875,210,274,280,277,223,130,14,19
2020년05월_여_60~69세,"2,552",727,278,357,322,322,322,171,19,34
2020년05월_여_70~79세,"2,764",591,315,322,373,387,421,282,30,43
2020년05월_여_80~89세,"1,988",357,241,256,262,294,314,212,31,21
2020년05월_여_90~99세,291,51,33,38,45,61,39,19,2,3
2020년05월_여_100세 이상,17,3,1,5,1,1,2,4,0,0
