,전라남도 영광군,전라남도 영광군 영광읍,전라남도 영광군 백수읍,전라남도 영광군 홍농읍,전라남도 영광군 대마면,전라남도 영광군 묘량면,전라남도 영광군 불갑면,전라남도 영광군 군서면,전라남도 영광군 군남면,전라남도 영광군 염산면,전라남도 영광군 법성면,전라남도 영광군 낙월면,전라남도 영광군 낙월면안마출장소
2021년01월_계_총인구수,"53,048","21,925","4,689","6,881","1,786","1,781","1,373","2,323","2,418","4,039","5,246",401,186
2021년01월_계_연령구간인구수,"53,048","21,925","4,689","6,881","1,786","1,781","1,373","2,323","2,418","4,039","5,246",401,186
2021년01월_계_0~9세,"3,760","2,074",185,638,82,88,62,86,87,154,279,14,11
2021년01월_계_10~19세,"4,163","2,393",235,535,111,77,58,179,80,156,326,11,2
2021년01월_계_20~29세,"4,995","2,423",344,823,157,124,89,171,127,241,461,26,9
2021년01월_계_30~39세,"4,836","2,293",267,918,150,116,117,123,130,264,431,18,9
2021년01월_계_40~49세,"6,537","3,386",438,859,162,151,106,239,195,367,544,62,28
2021년01월_계_50~59세,"8,516","3,424",807,"1,118",285,287,230,384,333,647,885,87,29
2021년01월_계_60~69세,"8,484","2,889",856,878,322,343,302,401,469,918,949,104,53
2021년01월_계_70~79세,"7,169","1,947",912,733,295,312,244,421,542,833,844,50,36
2021년01월_계_80~89세,"4,003",945,567,331,182,250,147,277,406,405,463,22,8
2021년01월_계_90~99세,550,137,71,44,38,33,18,38,49,54,60,7,1
2021년01월_계_100세 이상,35,14,7,4,2,0,0,4,0,0,4,0,0
2021년01월_남_총인구수,"26,446","10,765","2,338","3,601",946,869,689,"1,172","1,161","1,982","2,567",245,111
2021년01월_남_연령구간인구수,"26,446","10,765","2,338","3,601",946,869,689,"1,172","1,161","1,982","2,567",245,111
2021년01월_남_0~9세,"1,919","1,057",93,340,40,49,28,39,47,72,142,6,6
2021년01월_남_10~19세,"2,163","1,234",123,261,80,38,25,101,48,76,168,7,2
2021년01월_남_20~29세,"2,803","1,298",212,490,91,61,50,96,70,150,263,16,6
2021년01월_남_30~39세,"2,485","1,106",154,500,81,54,61,72,70,147,224,12,4
2021년01월_남_40~49세,"3,680","1,706",288,491,110,98,71,153,120,248,327,46,22
2021년01월_남_50~59세,"4,704","1,767",480,637,170,159,132,249,201,357,471,61,20
2021년01월_남_60~69세,"4,264","1,372",427,463,184,186,157,200,240,455,491,61,28
2021년01월_남_70~79세,"3,086",889,373,309,131,135,112,167,217,363,340,29,21
2021년01월_남_80~89세,"1,232",306,171,104,50,79,49,87,140,103,134,7,2
2021년01월_남_90~99세,107,30,14,6,9,10,4,8,8,11,7,0,0
2021년01월_남_100세 이상,3,0,3,0,0,0,0,0,0,0,0,0,0
2021년01월_여_총인구수,"26,602","11,160","2,351","3,280",840,912,684,"1,151","1,257","2,057","2,679",156,75
2021년01월_여_연령구간인구수,"26,602","11,160","2,351","3,280",840,912,684,"1,151","1,257","2,057","2,679",156,75
2021년01월_여_0~9세,"1,841","1,017",92,298,42,39,34,47,40,82,137,8,5
2021년01월_여_10~19세,"2,000","1,159",112,274,31,39,33,78,32,80,158,4,0
2021년01월_여_20~29세,"2,192","1,125",132,333,66,63,39,75,57,91,198,10,3
2021년01월_여_30~39세,"2,351","1,187",113,418,69,62,56,51,60,117,207,6,5
2021년01월_여_40~49세,"2,857","1,680",150,368,52,53,35,86,75,119,217,16,6
2021년01월_여_50~59세,"3,812","1,657",327,481,115,128,98,135,132,290,414,26,9
2021년01월_여_60~69세,"4,220","1,517",429,415,138,157,145,201,229,463,458,43,25
2021년01월_여_70~79세,"4,083","1,058",539,424,164,177,132,254,325,470,504,21,15
2021년01월_여_80~89세,"2,771",639,396,227,132,171,98,190,266,302,329,15,6
2021년01월_여_90~99세,443,107,57,38,29,23,14,30,41,43,53,7,1
2021년01월_여_100세 이상,32,14,4,4,2,0,0,4,0,0,4,0,0
