,전라북도 진안군,전라북도 진안군 진안읍,전라북도 진안군 용담면,전라북도 진안군 안천면,전라북도 진안군 동향면,전라북도 진안군 상전면,전라북도 진안군 백운면,전라북도 진안군 성수면,전라북도 진안군 마령면,전라북도 진안군 부귀면,전라북도 진안군 정천면,전라북도 진안군 주천면
2020년08월_계_총인구수,"25,466","10,171",830,"1,068","1,404",885,"1,958","1,791","1,861","2,907","1,088","1,503"
2020년08월_계_연령구간인구수,"25,466","10,171",830,"1,068","1,404",885,"1,958","1,791","1,861","2,907","1,088","1,503"
2020년08월_계_0~9세,"1,324",709,16,49,59,38,82,80,52,139,60,40
2020년08월_계_10~19세,"1,675",851,25,69,85,38,89,82,89,221,61,65
2020년08월_계_20~29세,"1,969",928,38,62,74,54,152,134,143,234,67,83
2020년08월_계_30~39세,"1,712",880,37,47,56,67,103,95,95,196,81,55
2020년08월_계_40~49세,"2,815","1,371",66,94,127,78,198,177,154,316,99,135
2020년08월_계_50~59세,"4,570","1,705",177,202,261,170,356,314,339,559,207,280
2020년08월_계_60~69세,"4,739","1,571",215,208,292,194,399,365,373,593,216,313
2020년08월_계_70~79세,"3,822","1,241",159,184,239,139,317,317,358,397,158,313
2020년08월_계_80~89세,"2,449",801,85,130,174,100,226,194,224,209,117,189
2020년08월_계_90~99세,363,104,10,23,34,7,34,27,31,42,21,30
2020년08월_계_100세 이상,28,10,2,0,3,0,2,6,3,1,1,0
2020년08월_남_총인구수,"12,845","5,095",416,517,667,450,"1,011",897,920,"1,525",573,774
2020년08월_남_연령구간인구수,"12,845","5,095",416,517,667,450,"1,011",897,920,"1,525",573,774
2020년08월_남_0~9세,652,340,7,21,26,16,44,42,26,74,33,23
2020년08월_남_10~19세,897,441,15,37,40,19,53,43,50,127,35,37
2020년08월_남_20~29세,"1,113",526,23,35,46,32,83,68,67,142,45,46
2020년08월_남_30~39세,826,401,23,21,21,34,65,40,46,96,45,34
2020년08월_남_40~49세,"1,645",777,41,52,68,46,126,113,100,177,60,85
2020년08월_남_50~59세,"2,577",945,96,107,143,94,209,188,199,323,103,170
2020년08월_남_60~69세,"2,492",824,109,112,156,105,198,194,186,318,124,166
2020년08월_남_70~79세,"1,740",547,74,82,110,67,148,148,158,194,74,138
2020년08월_남_80~89세,803,260,25,44,46,35,81,54,78,64,48,68
2020년08월_남_90~99세,91,30,2,6,10,2,4,5,9,10,6,7
2020년08월_남_100세 이상,9,4,1,0,1,0,0,2,1,0,0,0
2020년08월_여_총인구수,"12,621","5,076",414,551,737,435,947,894,941,"1,382",515,729
2020년08월_여_연령구간인구수,"12,621","5,076",414,551,737,435,947,894,941,"1,382",515,729
2020년08월_여_0~9세,672,369,9,28,33,22,38,38,26,65,27,17
2020년08월_여_10~19세,778,410,10,32,45,19,36,39,39,94,26,28
2020년08월_여_20~29세,856,402,15,27,28,22,69,66,76,92,22,37
2020년08월_여_30~39세,886,479,14,26,35,33,38,55,49,100,36,21
2020년08월_여_40~49세,"1,170",594,25,42,59,32,72,64,54,139,39,50
2020년08월_여_50~59세,"1,993",760,81,95,118,76,147,126,140,236,104,110
2020년08월_여_60~69세,"2,247",747,106,96,136,89,201,171,187,275,92,147
2020년08월_여_70~79세,"2,082",694,85,102,129,72,169,169,200,203,84,175
2020년08월_여_80~89세,"1,646",541,60,86,128,65,145,140,146,145,69,121
2020년08월_여_90~99세,272,74,8,17,24,5,30,22,22,32,15,23
2020년08월_여_100세 이상,19,6,1,0,2,0,2,4,2,1,1,0
