,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2020년07월_계_총인구수,"2,945,565","139,042","63,309","405,498","374,353","529,413","501,128","299,210","544,147","69,032","20,433"
2020년07월_계_연령구간인구수,"2,945,565","139,042","63,309","405,498","374,353","529,413","501,128","299,210","544,147","69,032","20,433"
2020년07월_계_0~9세,"234,618","12,190","4,013","27,908","37,144","43,662","34,451","19,374","51,598","3,311",967
2020년07월_계_10~19세,"276,709","12,546","5,169","32,206","41,625","50,622","44,363","27,381","57,019","4,644","1,134"
2020년07월_계_20~29세,"403,335","19,315","6,713","57,264","50,851","71,671","71,391","44,851","73,145","5,464","2,670"
2020년07월_계_30~39세,"411,328","21,331","7,201","56,307","55,668","74,563","69,330","38,590","81,035","5,388","1,915"
2020년07월_계_40~49세,"486,394","24,419","10,224","63,788","66,320","89,748","78,798","46,697","96,126","7,823","2,451"
2020년07월_계_50~59세,"513,643","20,192","10,239","67,725","62,945","90,800","91,388","61,374","93,241","12,081","3,658"
2020년07월_계_60~69세,"355,205","15,544","9,852","54,493","36,222","63,620","64,231","37,298","56,204","13,842","3,899"
2020년07월_계_70~79세,"175,811","9,205","6,631","31,164","15,229","30,446","31,287","15,366","24,006","10,113","2,364"
2020년07월_계_80~89세,"75,651","3,609","2,768","12,520","7,071","12,186","13,624","7,144","10,050","5,553","1,126"
2020년07월_계_90~99세,"11,943",611,426,"1,944","1,226","1,965","2,069","1,067","1,622",775,238
2020년07월_계_100세 이상,928,80,73,179,52,130,196,68,101,38,11
2020년07월_남_총인구수,"1,475,837","71,985","31,979","204,272","186,133","263,176","248,030","149,306","274,755","34,582","11,619"
2020년07월_남_연령구간인구수,"1,475,837","71,985","31,979","204,272","186,133","263,176","248,030","149,306","274,755","34,582","11,619"
2020년07월_남_0~9세,"120,420","6,271","2,116","14,267","18,960","22,456","17,618","9,867","26,637","1,732",496
2020년07월_남_10~19세,"142,314","6,509","2,666","16,602","21,367","25,877","22,962","14,133","29,188","2,387",623
2020년07월_남_20~29세,"210,352","9,753","3,651","30,299","26,337","37,042","36,766","23,430","37,987","3,146","1,941"
2020년07월_남_30~39세,"212,697","11,520","3,835","30,219","27,491","38,351","35,868","20,020","41,377","2,826","1,190"
2020년07월_남_40~49세,"248,480","13,399","5,522","33,662","32,636","45,669","39,565","23,218","48,992","4,263","1,554"
2020년07월_남_50~59세,"256,879","11,057","5,425","33,994","31,154","44,750","44,868","30,017","47,295","6,210","2,109"
2020년07월_남_60~69세,"176,044","7,733","4,744","26,133","18,649","30,721","31,259","19,201","28,644","6,868","2,092"
2020년07월_남_70~79세,"79,969","4,267","2,926","14,105","6,977","13,771","14,070","6,901","11,021","4,765","1,166"
2020년07월_남_80~89세,"25,840","1,301",962,"4,500","2,266","4,106","4,576","2,276","3,268","2,188",397
2020년07월_남_90~99세,"2,596",149,109,443,283,403,434,227,313,188,47
2020년07월_남_100세 이상,246,26,23,48,13,30,44,16,33,9,4
2020년07월_여_총인구수,"1,469,728","67,057","31,330","201,226","188,220","266,237","253,098","149,904","269,392","34,450","8,814"
2020년07월_여_연령구간인구수,"1,469,728","67,057","31,330","201,226","188,220","266,237","253,098","149,904","269,392","34,450","8,814"
2020년07월_여_0~9세,"114,198","5,919","1,897","13,641","18,184","21,206","16,833","9,507","24,961","1,579",471
2020년07월_여_10~19세,"134,395","6,037","2,503","15,604","20,258","24,745","21,401","13,248","27,831","2,257",511
2020년07월_여_20~29세,"192,983","9,562","3,062","26,965","24,514","34,629","34,625","21,421","35,158","2,318",729
2020년07월_여_30~39세,"198,631","9,811","3,366","26,088","28,177","36,212","33,462","18,570","39,658","2,562",725
2020년07월_여_40~49세,"237,914","11,020","4,702","30,126","33,684","44,079","39,233","23,479","47,134","3,560",897
2020년07월_여_50~59세,"256,764","9,135","4,814","33,731","31,791","46,050","46,520","31,357","45,946","5,871","1,549"
2020년07월_여_60~69세,"179,161","7,811","5,108","28,360","17,573","32,899","32,972","18,097","27,560","6,974","1,807"
2020년07월_여_70~79세,"95,842","4,938","3,705","17,059","8,252","16,675","17,217","8,465","12,985","5,348","1,198"
2020년07월_여_80~89세,"49,811","2,308","1,806","8,020","4,805","8,080","9,048","4,868","6,782","3,365",729
2020년07월_여_90~99세,"9,347",462,317,"1,501",943,"1,562","1,635",840,"1,309",587,191
2020년07월_여_100세 이상,682,54,50,131,39,100,152,52,68,29,7
