카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년11월_계_총인구수,"176,610","13,554","7,283","5,271","3,347","8,139","15,450","9,275","5,016","7,279","6,071","19,078","18,587","8,763","15,856","33,641"
2021년11월_계_연령구간인구수,"176,610","13,554","7,283","5,271","3,347","8,139","15,450","9,275","5,016","7,279","6,071","19,078","18,587","8,763","15,856","33,641"
2021년11월_계_0~9세,"14,813",674,461,103,58,560,"2,856",447,120,221,344,"1,570","1,578",523,"1,286","4,012"
2021년11월_계_10~19세,"17,096",979,680,202,108,759,"1,254",735,254,441,419,"1,959","2,242",872,"1,914","4,278"
2021년11월_계_20~29세,"18,949","1,736",608,264,148,660,"1,550",816,259,662,566,"2,587","2,046","1,067","1,997","3,983"
2021년11월_계_30~39세,"21,667","1,430",562,252,150,907,"3,775",779,242,467,495,"2,639","2,033",821,"1,878","5,237"
2021년11월_계_40~49세,"27,759","1,909","1,073",463,275,"1,212","2,457","1,278",510,810,810,"3,160","3,312","1,420","2,756","6,314"
2021년11월_계_50~59세,"28,758","3,029","1,329",830,582,"1,376","1,626","1,714",806,"1,316",800,"3,178","3,284","1,536","2,536","4,816"
2021년11월_계_60~69세,"23,717","2,098","1,169","1,339",905,"1,297","1,069","1,631","1,187","1,484","1,088","2,195","2,197","1,362","1,884","2,812"
2021년11월_계_70~79세,"14,066",996,775,"1,011",670,803,500,"1,050",940,"1,132",837,"1,096","1,169",745,"1,006","1,336"
2021년11월_계_80~89세,"8,441",597,550,709,401,481,308,717,606,639,623,591,617,356,517,729
2021년11월_계_90~99세,"1,305",102,71,95,49,83,54,106,90,106,83,100,106,59,80,121
2021년11월_계_100세 이상,39,4,5,3,1,1,1,2,2,1,6,3,3,2,2,3
2021년11월_남_총인구수,"92,088","7,909","3,714","2,681","1,699","4,372","8,100","4,789","2,538","3,768","3,137","9,960","9,699","4,417","8,055","17,250"
2021년11월_남_연령구간인구수,"92,088","7,909","3,714","2,681","1,699","4,372","8,100","4,789","2,538","3,768","3,137","9,960","9,699","4,417","8,055","17,250"
2021년11월_남_0~9세,"7,541",352,233,46,34,272,"1,463",231,62,113,171,839,851,264,631,"1,979"
2021년11월_남_10~19세,"9,070",518,370,107,55,393,643,395,137,235,218,"1,027","1,318",480,928,"2,246"
2021년11월_남_20~29세,"11,304","1,204",365,169,90,415,874,500,147,413,384,"1,486","1,236",588,"1,136","2,297"
2021년11월_남_30~39세,"12,076",964,307,163,88,568,"2,013",431,138,278,279,"1,499","1,087",453,"1,071","2,737"
2021년11월_남_40~49세,"14,836","1,192",553,295,165,715,"1,359",709,307,490,479,"1,614","1,656",731,"1,385","3,186"
2021년11월_남_50~59세,"15,450","1,821",735,454,327,764,852,913,451,713,434,"1,677","1,671",788,"1,326","2,524"
2021년11월_남_60~69세,"11,912","1,167",587,671,456,680,553,828,577,752,537,"1,075","1,067",647,930,"1,385"
2021년11월_남_70~79세,"6,643",473,362,489,334,384,235,503,473,539,394,509,554,316,463,615
2021년11월_남_80~89세,"2,982",190,187,269,142,165,99,258,227,212,220,220,237,133,166,257
2021년11월_남_90~99세,272,28,15,18,8,16,9,21,18,23,21,14,22,16,19,24
2021년11월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2021년11월_여_총인구수,"84,522","5,645","3,569","2,590","1,648","3,767","7,350","4,486","2,478","3,511","2,934","9,118","8,888","4,346","7,801","16,391"
2021년11월_여_연령구간인구수,"84,522","5,645","3,569","2,590","1,648","3,767","7,350","4,486","2,478","3,511","2,934","9,118","8,888","4,346","7,801","16,391"
2021년11월_여_0~9세,"7,272",322,228,57,24,288,"1,393",216,58,108,173,731,727,259,655,"2,033"
2021년11월_여_10~19세,"8,026",461,310,95,53,366,611,340,117,206,201,932,924,392,986,"2,032"
2021년11월_여_20~29세,"7,645",532,243,95,58,245,676,316,112,249,182,"1,101",810,479,861,"1,686"
2021년11월_여_30~39세,"9,591",466,255,89,62,339,"1,762",348,104,189,216,"1,140",946,368,807,"2,500"
2021년11월_여_40~49세,"12,923",717,520,168,110,497,"1,098",569,203,320,331,"1,546","1,656",689,"1,371","3,128"
2021년11월_여_50~59세,"13,308","1,208",594,376,255,612,774,801,355,603,366,"1,501","1,613",748,"1,210","2,292"
2021년11월_여_60~69세,"11,805",931,582,668,449,617,516,803,610,732,551,"1,120","1,130",715,954,"1,427"
2021년11월_여_70~79세,"7,423",523,413,522,336,419,265,547,467,593,443,587,615,429,543,721
2021년11월_여_80~89세,"5,459",407,363,440,259,316,209,459,379,427,403,371,380,223,351,472
2021년11월_여_90~99세,"1,033",74,56,77,41,67,45,85,72,83,62,86,84,43,61,97
2021년11월_여_100세 이상,37,4,5,3,1,1,1,2,1,1,6,3,3,1,2,3
