카테고리,전라남도 함평군,전라남도 함평군 함평읍,전라남도 함평군 손불면,전라남도 함평군 신광면,전라남도 함평군 학교면,전라남도 함평군 엄다면,전라남도 함평군 대동면,전라남도 함평군 나산면,전라남도 함평군 해보면,전라남도 함평군 월야면
2020년04월_계_총인구수,"32,519","8,559","3,429","1,912","3,933","1,938","3,161","2,909","2,917","3,761"
2020년04월_계_연령구간인구수,"32,519","8,559","3,429","1,912","3,933","1,938","3,161","2,909","2,917","3,761"
2020년04월_계_0~9세,"1,459",553,150,74,146,48,107,111,105,165
2020년04월_계_10~19세,"2,122",776,194,67,216,98,239,150,138,244
2020년04월_계_20~29세,"2,623",837,191,145,284,141,266,208,268,283
2020년04월_계_30~39세,"2,199",725,185,126,242,102,192,185,199,243
2020년04월_계_40~49세,"3,634","1,183",367,189,394,176,307,276,329,413
2020년04월_계_50~59세,"5,664","1,414",595,304,689,371,583,523,528,657
2020년04월_계_60~69세,"5,744","1,230",634,415,751,354,542,611,550,657
2020년04월_계_70~79세,"5,217","1,072",675,325,674,352,525,462,467,665
2020년04월_계_80~89세,"3,354",671,392,228,460,260,349,332,284,378
2020년04월_계_90~99세,477,92,45,38,74,35,50,49,42,52
2020년04월_계_100세 이상,26,6,1,1,3,1,1,2,7,4
2020년04월_남_총인구수,"16,239","4,213","1,699",947,"1,959",933,"1,617","1,421","1,463","1,987"
2020년04월_남_연령구간인구수,"16,239","4,213","1,699",947,"1,959",933,"1,617","1,421","1,463","1,987"
2020년04월_남_0~9세,756,283,61,41,84,20,63,54,52,98
2020년04월_남_10~19세,"1,134",428,97,35,107,55,130,71,73,138
2020년04월_남_20~29세,"1,510",442,122,75,172,91,163,115,151,179
2020년04월_남_30~39세,"1,187",365,98,74,140,57,110,106,100,137
2020년04월_남_40~49세,"2,163",649,240,118,245,102,171,165,189,284
2020년04월_남_50~59세,"3,266",778,347,171,383,208,362,302,308,407
2020년04월_남_60~69세,"2,946",596,330,208,398,186,268,329,286,345
2020년04월_남_70~79세,"2,156",446,264,144,276,131,231,185,200,279
2020년04월_남_80~89세,"1,005",201,128,71,139,73,107,89,90,107
2020년04월_남_90~99세,113,23,12,10,15,10,12,5,14,12
2020년04월_남_100세 이상,3,2,0,0,0,0,0,0,0,1
2020년04월_여_총인구수,"16,280","4,346","1,730",965,"1,974","1,005","1,544","1,488","1,454","1,774"
2020년04월_여_연령구간인구수,"16,280","4,346","1,730",965,"1,974","1,005","1,544","1,488","1,454","1,774"
2020년04월_여_0~9세,703,270,89,33,62,28,44,57,53,67
2020년04월_여_10~19세,988,348,97,32,109,43,109,79,65,106
2020년04월_여_20~29세,"1,113",395,69,70,112,50,103,93,117,104
2020년04월_여_30~39세,"1,012",360,87,52,102,45,82,79,99,106
2020년04월_여_40~49세,"1,471",534,127,71,149,74,136,111,140,129
2020년04월_여_50~59세,"2,398",636,248,133,306,163,221,221,220,250
2020년04월_여_60~69세,"2,798",634,304,207,353,168,274,282,264,312
2020년04월_여_70~79세,"3,061",626,411,181,398,221,294,277,267,386
2020년04월_여_80~89세,"2,349",470,264,157,321,187,242,243,194,271
2020년04월_여_90~99세,364,69,33,28,59,25,38,44,28,40
2020년04월_여_100세 이상,23,4,1,1,3,1,1,2,7,3
