카테고리,전라남도 구례군,전라남도 구례군 구례읍,전라남도 구례군 문척면,전라남도 구례군 간전면,전라남도 구례군 토지면,전라남도 구례군 마산면,전라남도 구례군 광의면,전라남도 구례군 용방면,전라남도 구례군 산동면
2021년08월_계_총인구수,"25,161","10,616","1,266","1,489","2,506","2,638","2,272","1,442","2,932"
2021년08월_계_연령구간인구수,"25,161","10,616","1,266","1,489","2,506","2,638","2,272","1,442","2,932"
2021년08월_계_0~9세,"1,054",625,38,43,56,103,65,39,85
2021년08월_계_10~19세,"1,781","1,026",64,66,142,173,100,53,157
2021년08월_계_20~29세,"1,866",975,83,80,135,193,114,98,188
2021년08월_계_30~39세,"1,549",815,46,68,104,150,134,94,138
2021년08월_계_40~49세,"2,725","1,384",122,139,214,306,174,146,240
2021년08월_계_50~59세,"4,519","1,900",253,282,510,449,352,215,558
2021년08월_계_60~69세,"4,826","1,753",265,299,613,519,469,285,623
2021년08월_계_70~79세,"3,812","1,276",213,292,378,409,447,271,526
2021년08월_계_80~89세,"2,613",733,154,196,303,288,361,207,371
2021년08월_계_90~99세,400,124,27,23,50,43,54,34,45
2021년08월_계_100세 이상,16,5,1,1,1,5,2,0,1
2021년08월_남_총인구수,"12,241","5,161",641,730,"1,226","1,298","1,074",693,"1,418"
2021년08월_남_연령구간인구수,"12,241","5,161",641,730,"1,226","1,298","1,074",693,"1,418"
2021년08월_남_0~9세,513,302,22,21,28,50,28,21,41
2021년08월_남_10~19세,936,543,32,29,73,101,56,31,71
2021년08월_남_20~29세,"1,036",527,52,42,81,101,61,56,116
2021년08월_남_30~39세,811,401,22,32,62,87,80,54,73
2021년08월_남_40~49세,"1,477",700,73,87,119,165,108,79,146
2021년08월_남_50~59세,"2,519",993,147,173,285,272,205,124,320
2021년08월_남_60~69세,"2,405",867,147,149,314,252,229,137,310
2021년08월_남_70~79세,"1,607",546,83,126,157,175,186,115,219
2021년08월_남_80~89세,853,256,62,65,94,84,111,67,114
2021년08월_남_90~99세,81,25,1,6,13,9,10,9,8
2021년08월_남_100세 이상,3,1,0,0,0,2,0,0,0
2021년08월_여_총인구수,"12,920","5,455",625,759,"1,280","1,340","1,198",749,"1,514"
2021년08월_여_연령구간인구수,"12,920","5,455",625,759,"1,280","1,340","1,198",749,"1,514"
2021년08월_여_0~9세,541,323,16,22,28,53,37,18,44
2021년08월_여_10~19세,845,483,32,37,69,72,44,22,86
2021년08월_여_20~29세,830,448,31,38,54,92,53,42,72
2021년08월_여_30~39세,738,414,24,36,42,63,54,40,65
2021년08월_여_40~49세,"1,248",684,49,52,95,141,66,67,94
2021년08월_여_50~59세,"2,000",907,106,109,225,177,147,91,238
2021년08월_여_60~69세,"2,421",886,118,150,299,267,240,148,313
2021년08월_여_70~79세,"2,205",730,130,166,221,234,261,156,307
2021년08월_여_80~89세,"1,760",477,92,131,209,204,250,140,257
2021년08월_여_90~99세,319,99,26,17,37,34,44,25,37
2021년08월_여_100세 이상,13,4,1,1,1,3,2,0,1
