카테고리,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2021년02월_계_총인구수,"295,368","3,954","4,722","11,033","5,064","8,494","10,713","30,636","24,977","23,996","15,839","20,902","10,244","15,733","5,929","20,411","28,981","37,489","16,251"
2021년02월_계_연령구간인구수,"295,368","3,954","4,722","11,033","5,064","8,494","10,713","30,636","24,977","23,996","15,839","20,902","10,244","15,733","5,929","20,411","28,981","37,489","16,251"
2021년02월_계_0~9세,"21,346",96,373,569,172,555,847,"2,178","1,648","1,186",872,"2,372",549,"1,064",385,"1,247","2,632","3,011","1,590"
2021년02월_계_10~19세,"31,154",144,361,658,259,595,"1,269","3,084","2,439","1,700","1,090","2,401","1,026","1,589",420,"2,092","4,353","5,243","2,431"
2021년02월_계_20~29세,"45,178",418,490,"1,655",867,"1,115","1,673","5,511","4,714","4,384","3,082","2,428","1,551","2,175",721,"2,997","4,048","5,463","1,886"
2021년02월_계_30~39세,"36,350",343,608,"1,547",594,"1,011","1,423","4,362","3,598","2,931","2,353","2,999","1,067","1,710",710,"2,051","3,152","4,185","1,706"
2021년02월_계_40~49세,"48,469",438,723,"1,529",671,"1,306","1,882","4,928","3,964","3,237","2,276","3,670","1,418","2,219",750,"2,950","5,670","7,443","3,395"
2021년02월_계_50~59세,"49,522",650,673,"1,755",892,"1,586","1,802","5,412","3,973","4,055","2,356","2,966","1,737","2,659","1,191","3,936","5,086","6,292","2,501"
2021년02월_계_60~69세,"34,591",773,777,"1,547",799,"1,232",938,"2,799","2,642","3,432","1,892","2,410","1,591","2,607",948,"2,987","2,332","3,211","1,674"
2021년02월_계_70~79세,"19,306",741,509,"1,196",540,737,548,"1,525","1,427","2,070","1,222","1,192",864,"1,165",494,"1,416","1,143","1,751",766
2021년02월_계_80~89세,"8,140",306,181,504,242,295,287,747,487,860,603,387,362,468,252,654,480,775,250
2021년02월_계_90~99세,"1,238",37,27,69,27,54,43,88,81,127,90,75,75,73,52,78,77,114,51
2021년02월_계_100세 이상,74,8,0,4,1,8,1,2,4,14,3,2,4,4,6,3,8,1,1
