,전라남도 고흥군,전라남도 고흥군 고흥읍,전라남도 고흥군 도양읍,전라남도 고흥군 도양읍소록출장소,전라남도 고흥군 도양읍시산출장소,전라남도 고흥군 풍양면,전라남도 고흥군 도덕면,전라남도 고흥군 금산면,전라남도 고흥군 도화면,전라남도 고흥군 포두면,전라남도 고흥군 봉래면,전라남도 고흥군 점암면,전라남도 고흥군 과역면,전라남도 고흥군 남양면,전라남도 고흥군 동강면,전라남도 고흥군 대서면,전라남도 고흥군 두원면,전라남도 고흥군 영남면,전라남도 고흥군 동일면
2020년04월_계_총인구수,"64,407","12,409","9,910",620,227,"3,214","2,973","4,422","3,948","5,002","1,913","2,648","3,375","2,346","3,137","2,318","3,124","1,308","1,513"
2020년04월_계_연령구간인구수,"64,407","12,409","9,910",620,227,"3,214","2,973","4,422","3,948","5,002","1,913","2,648","3,375","2,346","3,137","2,318","3,124","1,308","1,513"
2020년04월_계_0~9세,"2,652","1,028",539,19,4,73,71,127,93,117,57,44,82,70,110,67,77,29,45
2020년04월_계_10~19세,"4,047","1,501",787,19,14,99,142,200,181,237,95,100,150,104,126,67,101,55,69
2020년04월_계_20~29세,"4,349","1,211",825,13,9,159,145,249,223,281,91,122,232,135,214,133,150,69,88
2020년04월_계_30~39세,"3,843","1,208",758,21,14,144,153,206,153,221,73,97,146,128,169,110,117,50,75
2020년04월_계_40~49세,"6,512","1,893","1,233",28,35,236,229,385,351,448,156,192,278,162,265,151,226,102,142
2020년04월_계_50~59세,"10,522","1,929","1,696",48,47,503,504,716,664,845,311,435,626,386,495,417,452,192,256
2020년04월_계_60~69세,"12,421","1,712","1,842",100,28,711,622,911,828,"1,031",412,566,706,547,679,487,632,271,336
2020년04월_계_70~79세,"11,422","1,181","1,444",188,43,725,565,948,823,"1,050",410,579,617,446,574,483,745,309,292
2020년04월_계_80~89세,"7,389",615,679,160,32,471,466,614,542,673,262,412,453,319,430,346,531,194,190
2020년04월_계_90~99세,"1,205",125,103,24,1,93,75,64,83,92,44,101,81,47,72,55,89,36,20
2020년04월_계_100세 이상,45,6,4,0,0,0,1,2,7,7,2,0,4,2,3,2,4,1,0
2020년04월_남_총인구수,"31,244","6,111","4,838",314,118,"1,592","1,414","2,159","1,897","2,403",929,"1,240","1,605","1,101","1,537","1,116","1,465",633,772
2020년04월_남_연령구간인구수,"31,244","6,111","4,838",314,118,"1,592","1,414","2,159","1,897","2,403",929,"1,240","1,605","1,101","1,537","1,116","1,465",633,772
2020년04월_남_0~9세,"1,324",512,270,9,0,33,37,64,36,59,29,17,43,31,64,33,43,15,29
2020년04월_남_10~19세,"2,144",798,414,10,5,57,70,109,78,126,44,59,85,65,68,40,51,31,34
2020년04월_남_20~29세,"2,521",694,442,4,8,106,74,153,137,162,52,76,129,81,128,86,82,49,58
2020년04월_남_30~39세,"2,092",569,402,8,11,94,95,119,96,124,40,60,87,63,96,75,77,34,42
2020년04월_남_40~49세,"3,812",964,656,16,30,165,139,238,219,286,103,131,178,97,171,103,149,70,97
2020년04월_남_50~59세,"5,776","1,015",900,25,24,309,300,383,355,472,193,242,329,208,288,224,260,104,145
2020년04월_남_60~69세,"6,126",803,876,58,16,363,328,447,403,480,205,288,361,276,330,255,306,149,182
2020년04월_남_70~79세,"4,887",538,632,100,14,297,227,411,392,441,173,245,242,180,241,195,311,116,132
2020년04월_남_80~89세,"2,298",198,228,78,10,146,128,218,166,229,78,105,127,94,123,97,169,56,48
2020년04월_남_90~99세,257,18,17,6,0,22,16,16,15,23,11,17,24,6,28,7,17,9,5
2020년04월_남_100세 이상,7,2,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0
2020년04월_여_총인구수,"33,163","6,298","5,072",306,109,"1,622","1,559","2,263","2,051","2,599",984,"1,408","1,770","1,245","1,600","1,202","1,659",675,741
2020년04월_여_연령구간인구수,"33,163","6,298","5,072",306,109,"1,622","1,559","2,263","2,051","2,599",984,"1,408","1,770","1,245","1,600","1,202","1,659",675,741
2020년04월_여_0~9세,"1,328",516,269,10,4,40,34,63,57,58,28,27,39,39,46,34,34,14,16
2020년04월_여_10~19세,"1,903",703,373,9,9,42,72,91,103,111,51,41,65,39,58,27,50,24,35
2020년04월_여_20~29세,"1,828",517,383,9,1,53,71,96,86,119,39,46,103,54,86,47,68,20,30
2020년04월_여_30~39세,"1,751",639,356,13,3,50,58,87,57,97,33,37,59,65,73,35,40,16,33
2020년04월_여_40~49세,"2,700",929,577,12,5,71,90,147,132,162,53,61,100,65,94,48,77,32,45
2020년04월_여_50~59세,"4,746",914,796,23,23,194,204,333,309,373,118,193,297,178,207,193,192,88,111
2020년04월_여_60~69세,"6,295",909,966,42,12,348,294,464,425,551,207,278,345,271,349,232,326,122,154
2020년04월_여_70~79세,"6,535",643,812,88,29,428,338,537,431,609,237,334,375,266,333,288,434,193,160
2020년04월_여_80~89세,"5,091",417,451,82,22,325,338,396,376,444,184,307,326,225,307,249,362,138,142
2020년04월_여_90~99세,948,107,86,18,1,71,59,48,68,69,33,84,57,41,44,48,72,27,15
2020년04월_여_100세 이상,38,4,3,0,0,0,1,1,7,6,1,0,4,2,3,1,4,1,0
