,경기도 의정부시,경기도 의정부시 의정부1동,경기도 의정부시 의정부2동,경기도 의정부시 호원1동,경기도 의정부시 호원2동,경기도 의정부시 장암동,경기도 의정부시 신곡1동,경기도 의정부시 신곡2동,경기도 의정부시 송산1동,경기도 의정부시 송산2동,경기도 의정부시 송산3동,경기도 의정부시 자금동,경기도 의정부시 가능동,경기도 의정부시 흥선동,경기도 의정부시 녹양동
2021년03월_계_총인구수,"461,143","32,219","31,306","36,204","35,004","20,545","43,521","48,080","40,283","33,676","46,734","26,978","25,963","18,673","21,957"
2021년03월_계_연령구간인구수,"461,143","32,219","31,306","36,204","35,004","20,545","43,521","48,080","40,283","33,676","46,734","26,978","25,963","18,673","21,957"
2021년03월_계_0~9세,"33,963","1,121","1,778","2,275","2,391","1,480","2,732","3,436","3,408","2,774","6,587","1,917","1,494","1,085","1,485"
2021년03월_계_10~19세,"42,135","1,623","2,109","2,795","3,395","2,057","3,940","5,115","3,564","4,231","5,177","2,448","2,014","1,552","2,115"
2021년03월_계_20~29세,"64,877","6,597","5,360","4,744","4,542","2,415","6,114","6,940","5,541","4,582","5,189","3,770","3,594","2,494","2,995"
2021년03월_계_30~39세,"59,663","4,852","4,595","4,520","3,976","2,249","5,107","5,450","5,716","3,779","8,203","3,176","3,255","2,200","2,585"
2021년03월_계_40~49세,"74,309","4,409","4,778","5,749","5,549","3,436","6,669","7,662","6,515","6,248","9,123","4,147","3,839","2,686","3,499"
2021년03월_계_50~59세,"80,292","5,503","5,496","5,899","5,986","3,416","8,532","8,922","6,974","5,997","6,111","5,060","4,926","3,524","3,946"
2021년03월_계_60~69세,"58,388","4,562","4,053","5,281","4,620","2,856","5,983","6,099","4,933","3,083","3,816","3,532","3,804","2,844","2,922"
2021년03월_계_70~79세,"31,148","2,287","2,115","3,465","2,991","1,713","2,937","2,868","2,253","1,901","1,714","1,868","2,022","1,472","1,542"
2021년03월_계_80~89세,"14,342","1,050",902,"1,330","1,393",796,"1,339","1,373","1,207",939,713,939,902,718,741
2021년03월_계_90~99세,"1,899",153,115,144,156,118,163,211,165,139,98,116,108,88,125
2021년03월_계_100세 이상,127,62,5,2,5,9,5,4,7,3,3,5,5,10,2
2021년03월_남_총인구수,"227,191","16,432","15,511","17,651","16,970","9,805","21,395","23,342","20,008","16,681","22,741","13,188","12,996","9,488","10,983"
2021년03월_남_연령구간인구수,"227,191","16,432","15,511","17,651","16,970","9,805","21,395","23,342","20,008","16,681","22,741","13,188","12,996","9,488","10,983"
2021년03월_남_0~9세,"17,530",593,935,"1,183","1,226",739,"1,454","1,804","1,724","1,432","3,376",949,762,563,790
2021년03월_남_10~19세,"21,766",822,"1,140","1,425","1,712","1,060","2,019","2,667","1,857","2,166","2,582","1,282","1,068",817,"1,149"
2021년03월_남_20~29세,"32,835","3,085","2,598","2,290","2,328","1,204","3,158","3,521","2,858","2,428","2,580","1,964","1,876","1,361","1,584"
2021년03월_남_30~39세,"30,466","2,679","2,399","2,305","2,002","1,118","2,645","2,747","2,976","1,863","3,884","1,590","1,751","1,181","1,326"
2021년03월_남_40~49세,"37,360","2,469","2,477","2,998","2,676","1,697","3,265","3,697","3,255","3,019","4,589","2,048","1,969","1,433","1,768"
2021년03월_남_50~59세,"39,446","2,989","2,729","2,841","2,934","1,615","4,099","4,186","3,394","3,080","2,941","2,444","2,436","1,798","1,960"
2021년03월_남_60~69세,"28,275","2,338","1,925","2,410","2,157","1,363","2,935","2,944","2,476","1,492","1,779","1,740","1,886","1,415","1,415"
2021년03월_남_70~79세,"13,725","1,009",922,"1,581","1,300",720,"1,321","1,245","1,041",802,767,812,891,639,675
2021년03월_남_80~89세,"5,322",400,351,573,578,270,469,485,397,369,216,326,340,264,284
2021년03월_남_90~99세,439,36,32,44,56,18,29,46,28,29,26,32,16,15,32
2021년03월_남_100세 이상,27,12,3,1,1,1,1,0,2,1,1,1,1,2,0
2021년03월_여_총인구수,"233,952","15,787","15,795","18,553","18,034","10,740","22,126","24,738","20,275","16,995","23,993","13,790","12,967","9,185","10,974"
2021년03월_여_연령구간인구수,"233,952","15,787","15,795","18,553","18,034","10,740","22,126","24,738","20,275","16,995","23,993","13,790","12,967","9,185","10,974"
2021년03월_여_0~9세,"16,433",528,843,"1,092","1,165",741,"1,278","1,632","1,684","1,342","3,211",968,732,522,695
2021년03월_여_10~19세,"20,369",801,969,"1,370","1,683",997,"1,921","2,448","1,707","2,065","2,595","1,166",946,735,966
2021년03월_여_20~29세,"32,042","3,512","2,762","2,454","2,214","1,211","2,956","3,419","2,683","2,154","2,609","1,806","1,718","1,133","1,411"
2021년03월_여_30~39세,"29,197","2,173","2,196","2,215","1,974","1,131","2,462","2,703","2,740","1,916","4,319","1,586","1,504","1,019","1,259"
2021년03월_여_40~49세,"36,949","1,940","2,301","2,751","2,873","1,739","3,404","3,965","3,260","3,229","4,534","2,099","1,870","1,253","1,731"
2021년03월_여_50~59세,"40,846","2,514","2,767","3,058","3,052","1,801","4,433","4,736","3,580","2,917","3,170","2,616","2,490","1,726","1,986"
2021년03월_여_60~69세,"30,113","2,224","2,128","2,871","2,463","1,493","3,048","3,155","2,457","1,591","2,037","1,792","1,918","1,429","1,507"
2021년03월_여_70~79세,"17,423","1,278","1,193","1,884","1,691",993,"1,616","1,623","1,212","1,099",947,"1,056","1,131",833,867
2021년03월_여_80~89세,"9,020",650,551,757,815,526,870,888,810,570,497,613,562,454,457
2021년03월_여_90~99세,"1,460",117,83,100,100,100,134,165,137,110,72,84,92,73,93
2021년03월_여_100세 이상,100,50,2,1,4,8,4,4,5,2,2,4,4,8,2
