,강원도 원주시,강원도 원주시 문막읍,강원도 원주시 소초면,강원도 원주시 호저면,강원도 원주시 지정면,강원도 원주시 부론면,강원도 원주시 귀래면,강원도 원주시 흥업면,강원도 원주시 판부면,강원도 원주시 신림면,강원도 원주시 중앙동,강원도 원주시 원인동,강원도 원주시 개운동,강원도 원주시 명륜1동,강원도 원주시 명륜2동,강원도 원주시 단구동,강원도 원주시 일산동,강원도 원주시 학성동,강원도 원주시 단계동,강원도 원주시 우산동,강원도 원주시 태장1동,강원도 원주시 태장2동,강원도 원주시 봉산동,강원도 원주시 행구동,강원도 원주시 무실동,강원도 원주시 반곡관설동
2021년01월_계_총인구수,"354,664","17,684","8,626","3,731","28,135","2,251","2,182","8,619","7,267","3,579","2,760","5,169","12,768","8,640","15,625","44,084","8,663","4,836","28,650","13,677","10,136","24,955","8,202","7,645","32,697","44,083"
2021년01월_계_연령구간인구수,"354,664","17,684","8,626","3,731","28,135","2,251","2,182","8,619","7,267","3,579","2,760","5,169","12,768","8,640","15,625","44,084","8,663","4,836","28,650","13,677","10,136","24,955","8,202","7,645","32,697","44,083"
2021년01월_계_0~9세,"28,236","1,143",370,112,"4,690",38,43,413,395,60,49,210,666,394,726,"3,388",403,166,"2,082","1,037",782,"1,775",276,472,"3,239","5,307"
2021년01월_계_10~19세,"35,852","1,599",529,148,"2,389",94,73,642,664,110,105,351,"1,311",766,"1,703","5,307",632,287,"2,430","1,226","1,155","2,647",682,874,"4,321","5,807"
2021년01월_계_20~29세,"45,621","2,081",968,322,"2,892",126,147,"1,382",999,201,196,744,"1,627","1,169","2,173","6,545","1,656",580,"4,490","2,011","1,058","3,042",926,947,"4,079","5,260"
2021년01월_계_30~39세,"45,234","1,826",712,231,"6,910",86,115,794,836,181,202,515,"1,199",786,"1,367","5,436",928,405,"4,100","1,648","1,091","2,765",656,705,"4,374","7,366"
2021년01월_계_40~49세,"57,160","2,870",984,341,"4,805",169,163,"1,153","1,149",281,282,650,"1,721","1,137","2,363","7,984","1,013",604,"4,079","2,120","1,758","4,172","1,045","1,188","6,306","8,823"
2021년01월_계_50~59세,"60,832","3,304","1,713",733,"3,105",394,451,"1,541","1,417",750,577,964,"2,444","1,737","3,113","7,707","1,444",939,"5,337","2,309","1,719","4,622","1,627","1,491","5,120","6,274"
2021년01월_계_60~69세,"45,951","2,535","1,848",908,"2,106",639,591,"1,516","1,029","1,015",656,915,"1,989","1,430","2,359","4,439","1,322",957,"3,863","1,896","1,409","3,354","1,522","1,108","3,319","3,226"
2021년01월_계_70~79세,"21,681","1,412",863,488,749,394,347,673,459,579,370,475,"1,105",765,"1,083","2,069",770,528,"1,415",915,730,"1,584",859,503,"1,265","1,281"
