카테고리,인천광역시,인천광역시 중구,인천광역시 동구,인천광역시 미추홀구,인천광역시 연수구,인천광역시 남동구,인천광역시 부평구,인천광역시 계양구,인천광역시 서구,인천광역시 강화군,인천광역시 옹진군
2021년08월_계_총인구수,"2,938,429","141,341","62,410","405,811","390,107","519,667","489,178","295,492","544,726","69,324","20,373"
2021년08월_계_연령구간인구수,"2,938,429","141,341","62,410","405,811","390,107","519,667","489,178","295,492","544,726","69,324","20,373"
2021년08월_계_0~9세,"220,236","11,629","3,606","26,496","37,882","39,146","31,166","17,638","48,484","3,287",902
2021년08월_계_10~19세,"271,571","12,919","4,971","31,593","43,087","49,045","41,988","25,890","56,473","4,531","1,074"
2021년08월_계_20~29세,"393,256","18,875","6,558","56,835","51,224","69,315","68,277","42,886","71,523","5,150","2,613"
2021년08월_계_30~39세,"400,549","21,524","6,931","55,551","57,231","69,731","66,234","37,588","78,677","5,259","1,823"
2021년08월_계_40~49세,"480,219","24,873","9,854","63,382","69,000","87,238","75,505","44,850","95,513","7,670","2,334"
2021년08월_계_50~59세,"508,757","20,750","10,040","66,988","64,899","88,977","88,410","59,680","93,849","11,648","3,516"
2021년08월_계_60~69세,"391,192","16,850","10,416","58,205","42,008","69,754","69,425","42,398","62,777","15,052","4,307"
2021년08월_계_70~79세,"178,487","9,331","6,603","31,205","15,820","31,152","31,469","15,680","24,841","10,003","2,383"
2021년08월_계_80~89세,"80,986","3,930","2,969","13,471","7,553","13,192","14,453","7,658","10,779","5,835","1,146"
2021년08월_계_90~99세,"12,627",635,425,"1,989","1,353","2,031","2,136","1,193","1,731",871,263
2021년08월_계_100세 이상,549,25,37,96,50,86,115,31,79,18,12
2021년08월_남_총인구수,"1,471,347","73,472","31,517","204,357","193,801","258,080","241,608","147,178","275,064","34,679","11,591"
2021년08월_남_연령구간인구수,"1,471,347","73,472","31,517","204,357","193,801","258,080","241,608","147,178","275,064","34,679","11,591"
2021년08월_남_0~9세,"112,982","6,007","1,881","13,567","19,293","20,148","15,923","8,956","25,023","1,724",460
2021년08월_남_10~19세,"139,625","6,659","2,575","16,255","22,150","25,133","21,795","13,249","28,920","2,314",575
2021년08월_남_20~29세,"204,944","9,677","3,576","29,916","26,597","35,782","34,992","22,475","37,078","2,949","1,902"
2021년08월_남_30~39세,"207,373","11,736","3,714","29,895","28,135","35,953","34,218","19,648","40,186","2,757","1,131"
2021년08월_남_40~49세,"245,805","13,547","5,307","33,531","33,998","44,408","38,102","22,391","48,903","4,151","1,467"
2021년08월_남_50~59세,"254,234","11,504","5,359","33,788","31,970","43,888","43,127","29,033","47,489","6,020","2,056"
2021년08월_남_60~69세,"193,757","8,444","5,060","27,823","21,543","33,685","33,816","21,590","31,961","7,507","2,328"
2021년08월_남_70~79세,"81,710","4,326","2,900","14,178","7,311","14,173","14,255","7,095","11,558","4,730","1,184"
2021년08월_남_80~89세,"28,133","1,420","1,038","4,919","2,515","4,518","4,921","2,475","3,584","2,312",431
2021년08월_남_90~99세,"2,657",144,98,455,279,380,438,259,339,211,54
2021년08월_남_100세 이상,127,8,9,30,10,12,21,7,23,4,3
2021년08월_여_총인구수,"1,467,082","67,869","30,893","201,454","196,306","261,587","247,570","148,314","269,662","34,645","8,782"
2021년08월_여_연령구간인구수,"1,467,082","67,869","30,893","201,454","196,306","261,587","247,570","148,314","269,662","34,645","8,782"
2021년08월_여_0~9세,"107,254","5,622","1,725","12,929","18,589","18,998","15,243","8,682","23,461","1,563",442
2021년08월_여_10~19세,"131,946","6,260","2,396","15,338","20,937","23,912","20,193","12,641","27,553","2,217",499
2021년08월_여_20~29세,"188,312","9,198","2,982","26,919","24,627","33,533","33,285","20,411","34,445","2,201",711
2021년08월_여_30~39세,"193,176","9,788","3,217","25,656","29,096","33,778","32,016","17,940","38,491","2,502",692
2021년08월_여_40~49세,"234,414","11,326","4,547","29,851","35,002","42,830","37,403","22,459","46,610","3,519",867
2021년08월_여_50~59세,"254,523","9,246","4,681","33,200","32,929","45,089","45,283","30,647","46,360","5,628","1,460"
2021년08월_여_60~69세,"197,435","8,406","5,356","30,382","20,465","36,069","35,609","20,808","30,816","7,545","1,979"
2021년08월_여_70~79세,"96,777","5,005","3,703","17,027","8,509","16,979","17,214","8,585","13,283","5,273","1,199"
2021년08월_여_80~89세,"52,853","2,510","1,931","8,552","5,038","8,674","9,532","5,183","7,195","3,523",715
2021년08월_여_90~99세,"9,970",491,327,"1,534","1,074","1,651","1,698",934,"1,392",660,209
2021년08월_여_100세 이상,422,17,28,66,40,74,94,24,56,14,9
