,경상남도 밀양시,경상남도 밀양시 삼랑진읍,경상남도 밀양시 삼랑진임천출장소,경상남도 밀양시 하남읍,경상남도 밀양시 부북면,경상남도 밀양시 상동면,경상남도 밀양시 산외면,경상남도 밀양시 산내면,경상남도 밀양시 단장면,경상남도 밀양시 상남면,경상남도 밀양시 초동면,경상남도 밀양시 무안면,경상남도 밀양시 청도면,경상남도 밀양시 내일동,경상남도 밀양시 내이동,경상남도 밀양시 삼문동,경상남도 밀양시 가곡동,경상남도 밀양시 교동
2020년06월_계_총인구수,"105,133","5,438","1,284","7,243","5,298","3,118","2,873","3,953","4,356","8,621","3,454","5,134","1,772","2,850","14,976","20,639","8,050","6,074"
2020년06월_계_연령구간인구수,"105,133","5,438","1,284","7,243","5,298","3,118","2,873","3,953","4,356","8,621","3,454","5,134","1,772","2,850","14,976","20,639","8,050","6,074"
2020년06월_계_0~9세,"5,809",150,21,298,141,69,70,101,80,493,80,120,39,78,"1,250","2,040",399,380
2020년06월_계_10~19세,"7,996",251,48,440,258,95,134,210,157,561,142,285,56,158,"1,309","2,622",672,598
2020년06월_계_20~29세,"9,225",352,111,516,379,171,197,219,257,686,184,322,76,254,"1,830","2,199",801,671
2020년06월_계_30~39세,"9,117",333,69,524,356,163,169,196,252,725,165,254,72,211,"1,948","2,311",715,654
2020년06월_계_40~49세,"13,133",530,106,798,491,215,273,376,329,"1,031",314,420,125,319,"2,268","3,525","1,091",922
2020년06월_계_50~59세,"19,056","1,031",232,"1,335","1,049",572,572,757,914,"1,542",601,918,284,562,"2,680","3,383","1,465","1,159"
2020년06월_계_60~69세,"20,522","1,367",322,"1,580","1,292",902,692,"1,024","1,237","1,734",935,"1,268",501,604,"2,150","2,509","1,439",966
2020년06월_계_70~79세,"12,510",905,216,"1,057",784,551,480,674,689,"1,138",616,862,346,443,999,"1,335",918,497
2020년06월_계_80~89세,"6,842",451,139,620,479,332,250,354,389,630,371,593,243,197,462,633,492,207
2020년06월_계_90~99세,879,66,20,68,68,48,33,41,49,74,42,89,30,19,78,80,57,17
2020년06월_계_100세 이상,44,2,0,7,1,0,3,1,3,7,4,3,0,5,2,2,1,3
2020년06월_남_총인구수,"51,496","2,670",631,"3,612","2,718","1,491","1,465","2,018","2,149","4,266","1,715","2,511",856,"1,386","7,401","9,928","3,743","2,936"
2020년06월_남_연령구간인구수,"51,496","2,670",631,"3,612","2,718","1,491","1,465","2,018","2,149","4,266","1,715","2,511",856,"1,386","7,401","9,928","3,743","2,936"
2020년06월_남_0~9세,"2,963",76,10,161,78,29,39,51,44,242,41,67,18,34,627,"1,061",208,177
2020년06월_남_10~19세,"4,208",126,25,234,142,51,75,113,89,298,73,160,31,87,684,"1,381",332,307
2020년06월_남_20~29세,"5,314",200,60,301,248,109,126,142,156,411,111,191,50,160,"1,031","1,240",418,360
2020년06월_남_30~39세,"4,803",195,42,300,214,96,97,117,142,383,102,147,38,111,"1,022","1,078",378,341
2020년06월_남_40~49세,"6,962",313,69,481,286,129,162,241,195,586,203,235,80,173,"1,156","1,673",523,457
2020년06월_남_50~59세,"9,641",538,130,704,582,279,306,393,462,779,313,509,132,292,"1,312","1,622",734,554
2020년06월_남_60~69세,"9,956",674,153,759,666,444,350,528,618,887,458,629,267,269,"1,009","1,128",651,466
2020년06월_남_70~79세,"5,394",397,96,466,331,254,231,326,324,475,287,374,157,191,401,538,336,210
2020년06월_남_80~89세,"2,087",139,41,193,160,93,75,102,111,190,119,184,78,64,139,188,149,62
2020년06월_남_90~99세,162,12,5,12,11,7,3,5,7,15,7,15,5,3,20,19,14,2
2020년06월_남_100세 이상,6,0,0,1,0,0,1,0,1,0,1,0,0,2,0,0,0,0
2020년06월_여_총인구수,"53,637","2,768",653,"3,631","2,580","1,627","1,408","1,935","2,207","4,355","1,739","2,623",916,"1,464","7,575","10,711","4,307","3,138"
2020년06월_여_연령구간인구수,"53,637","2,768",653,"3,631","2,580","1,627","1,408","1,935","2,207","4,355","1,739","2,623",916,"1,464","7,575","10,711","4,307","3,138"
2020년06월_여_0~9세,"2,846",74,11,137,63,40,31,50,36,251,39,53,21,44,623,979,191,203
2020년06월_여_10~19세,"3,788",125,23,206,116,44,59,97,68,263,69,125,25,71,625,"1,241",340,291
2020년06월_여_20~29세,"3,911",152,51,215,131,62,71,77,101,275,73,131,26,94,799,959,383,311
2020년06월_여_30~39세,"4,314",138,27,224,142,67,72,79,110,342,63,107,34,100,926,"1,233",337,313
2020년06월_여_40~49세,"6,171",217,37,317,205,86,111,135,134,445,111,185,45,146,"1,112","1,852",568,465
2020년06월_여_50~59세,"9,415",493,102,631,467,293,266,364,452,763,288,409,152,270,"1,368","1,761",731,605
2020년06월_여_60~69세,"10,566",693,169,821,626,458,342,496,619,847,477,639,234,335,"1,141","1,381",788,500
2020년06월_여_70~79세,"7,116",508,120,591,453,297,249,348,365,663,329,488,189,252,598,797,582,287
2020년06월_여_80~89세,"4,755",312,98,427,319,239,175,252,278,440,252,409,165,133,323,445,343,145
2020년06월_여_90~99세,717,54,15,56,57,41,30,36,42,59,35,74,25,16,58,61,43,15
2020년06월_여_100세 이상,38,2,0,6,1,0,2,1,2,7,3,3,0,3,2,2,1,3
