,울산광역시 북구,울산광역시 북구 농소1동,울산광역시 북구 농소2동,울산광역시 북구 농소3동,울산광역시 북구 강동동,울산광역시 북구 효문동,울산광역시 북구 송정동,울산광역시 북구 양정동,울산광역시 북구 염포동
2021년03월_계_총인구수,"218,481","37,173","40,158","38,865","16,527","29,800","35,968","9,972","10,018"
2021년03월_계_연령구간인구수,"218,481","37,173","40,158","38,865","16,527","29,800","35,968","9,972","10,018"
2021년03월_계_0~9세,"24,880","4,586","5,371","3,697","2,661","2,704","4,390",719,752
2021년03월_계_10~19세,"23,473","3,917","4,681","6,192","1,350","2,182","3,618",758,775
2021년03월_계_20~29세,"27,324","4,156","4,428","4,904","1,192","4,621","4,983","1,743","1,297"
2021년03월_계_30~39세,"33,801","5,746","6,678","3,860","3,410","4,940","6,163","1,585","1,419"
2021년03월_계_40~49세,"38,693","6,718","7,495","8,437","2,819","4,313","5,938","1,449","1,524"
2021년03월_계_50~59세,"38,621","6,182","6,307","7,176","2,167","6,331","6,584","1,975","1,899"
2021년03월_계_60~69세,"20,662","3,733","3,412","2,736","1,827","3,279","2,889","1,199","1,587"
2021년03월_계_70~79세,"7,511","1,513","1,202","1,258",682,972,948,390,546
2021년03월_계_80~89세,"3,067",541,516,527,361,393,395,134,200
2021년03월_계_90~99세,432,77,67,75,55,64,60,20,14
2021년03월_계_100세 이상,17,4,1,3,3,1,0,0,5
2021년03월_남_총인구수,"113,172","18,996","20,467","19,781","8,462","15,968","18,361","5,767","5,370"
2021년03월_남_연령구간인구수,"113,172","18,996","20,467","19,781","8,462","15,968","18,361","5,767","5,370"
2021년03월_남_0~9세,"12,784","2,340","2,784","1,900","1,318","1,427","2,275",365,375
2021년03월_남_10~19세,"12,220","2,006","2,410","3,260",687,"1,154","1,875",401,427
2021년03월_남_20~29세,"15,547","2,308","2,408","2,745",670,"2,666","2,738","1,210",802
2021년03월_남_30~39세,"17,594","2,908","3,357","1,871","1,697","2,826","3,136",983,816
2021년03월_남_40~49세,"19,848","3,505","3,883","3,953","1,590","2,313","2,904",828,872
2021년03월_남_50~59세,"19,822","3,116","3,161","3,878","1,089","3,227","3,291","1,111",949
2021년03월_남_60~69세,"10,865","1,953","1,730","1,450",963,"1,761","1,559",631,818
2021년03월_남_70~79세,"3,509",689,564,552,331,469,473,201,230
2021년03월_남_80~89세,917,158,159,159,108,116,104,35,78
2021년03월_남_90~99세,62,13,11,12,9,8,6,2,1
2021년03월_남_100세 이상,4,0,0,1,0,1,0,0,2
2021년03월_여_총인구수,"105,309","18,177","19,691","19,084","8,065","13,832","17,607","4,205","4,648"
2021년03월_여_연령구간인구수,"105,309","18,177","19,691","19,084","8,065","13,832","17,607","4,205","4,648"
2021년03월_여_0~9세,"12,096","2,246","2,587","1,797","1,343","1,277","2,115",354,377
2021년03월_여_10~19세,"11,253","1,911","2,271","2,932",663,"1,028","1,743",357,348
2021년03월_여_20~29세,"11,777","1,848","2,020","2,159",522,"1,955","2,245",533,495
2021년03월_여_30~39세,"16,207","2,838","3,321","1,989","1,713","2,114","3,027",602,603
2021년03월_여_40~49세,"18,845","3,213","3,612","4,484","1,229","2,000","3,034",621,652
2021년03월_여_50~59세,"18,799","3,066","3,146","3,298","1,078","3,104","3,293",864,950
2021년03월_여_60~69세,"9,797","1,780","1,682","1,286",864,"1,518","1,330",568,769
2021년03월_여_70~79세,"4,002",824,638,706,351,503,475,189,316
2021년03월_여_80~89세,"2,150",383,357,368,253,277,291,99,122
2021년03월_여_90~99세,370,64,56,63,46,56,54,18,13
2021년03월_여_100세 이상,13,4,1,2,3,0,0,0,3
