카테고리,충청남도 서산시,충청남도 서산시 대산읍,충청남도 서산시 인지면,충청남도 서산시 부석면,충청남도 서산시 팔봉면,충청남도 서산시 지곡면,충청남도 서산시 성연면,충청남도 서산시 음암면,충청남도 서산시 운산면,충청남도 서산시 해미면,충청남도 서산시 고북면,충청남도 서산시 부춘동,충청남도 서산시 동문1동,충청남도 서산시 동문2동,충청남도 서산시 수석동,충청남도 서산시 석남동
2021년09월_계_총인구수,"176,491","13,570","7,277","5,297","3,347","8,130","15,529","9,264","5,039","7,294","6,062","19,039","18,652","8,721","15,820","33,450"
2021년09월_계_연령구간인구수,"176,491","13,570","7,277","5,297","3,347","8,130","15,529","9,264","5,039","7,294","6,062","19,039","18,652","8,721","15,820","33,450"
2021년09월_계_0~9세,"14,973",679,465,113,60,565,"2,888",461,121,230,348,"1,558","1,604",527,"1,311","4,043"
2021년09월_계_10~19세,"17,124",993,674,203,112,773,"1,240",734,261,446,423,"1,973","2,254",862,"1,907","4,269"
2021년09월_계_20~29세,"18,985","1,744",594,262,148,664,"1,578",821,273,672,552,"2,599","2,076","1,054","1,981","3,967"
2021년09월_계_30~39세,"21,738","1,433",579,262,148,897,"3,831",765,244,456,510,"2,622","2,055",825,"1,882","5,229"
2021년09월_계_40~49세,"27,796","1,940","1,071",469,281,"1,214","2,433","1,291",518,823,812,"3,189","3,332","1,401","2,766","6,256"
2021년09월_계_50~59세,"28,580","3,014","1,319",840,576,"1,368","1,636","1,698",814,"1,316",784,"3,170","3,268","1,523","2,521","4,733"
2021년09월_계_60~69세,"23,543","2,074","1,172","1,342",899,"1,292","1,052","1,615","1,180","1,476","1,105","2,162","2,170","1,358","1,859","2,787"
2021년09월_계_70~79세,"13,993",983,777,"1,002",674,803,510,"1,048",929,"1,127",825,"1,075","1,174",754,995,"1,317"
2021년09월_계_80~89세,"8,432",606,547,704,401,469,309,727,611,644,621,590,611,356,514,722
2021년09월_계_90~99세,"1,286",100,72,99,47,84,51,102,86,103,76,98,103,59,82,124
2021년09월_계_100세 이상,41,4,7,1,1,1,1,2,2,1,6,3,5,2,2,3
2021년09월_남_총인구수,"92,022","7,910","3,717","2,684","1,698","4,366","8,154","4,768","2,556","3,779","3,123","9,933","9,751","4,398","8,026","17,159"
2021년09월_남_연령구간인구수,"92,022","7,910","3,717","2,684","1,698","4,366","8,154","4,768","2,556","3,779","3,123","9,933","9,751","4,398","8,026","17,159"
2021년09월_남_0~9세,"7,639",358,238,48,37,276,"1,481",241,65,116,172,831,856,270,640,"2,010"
2021년09월_남_10~19세,"9,086",526,360,110,57,400,633,393,141,245,217,"1,035","1,333",467,921,"2,248"
2021년09월_남_20~29세,"11,329","1,211",363,164,92,417,896,501,157,425,376,"1,491","1,255",577,"1,126","2,278"
2021년09월_남_30~39세,"12,074",960,310,169,85,566,"2,051",419,136,267,287,"1,475","1,095",458,"1,070","2,726"
2021년09월_남_40~49세,"14,864","1,200",553,297,171,710,"1,346",716,311,491,480,"1,634","1,670",725,"1,398","3,162"
2021년09월_남_50~59세,"15,333","1,817",737,458,320,753,850,900,455,712,425,"1,676","1,669",781,"1,310","2,470"
2021년09월_남_60~69세,"11,845","1,154",590,672,450,681,550,813,581,747,545,"1,056","1,056",647,921,"1,382"
2021년09월_남_70~79세,"6,594",465,363,478,336,385,238,504,463,535,383,505,560,320,456,603
2021년09월_남_80~89세,"2,991",192,188,269,142,162,100,262,228,220,218,216,235,137,165,257
2021년09월_남_90~99세,265,27,15,19,8,16,9,19,18,21,20,14,21,16,19,23
2021년09월_남_100세 이상,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
2021년09월_여_총인구수,"84,469","5,660","3,560","2,613","1,649","3,764","7,375","4,496","2,483","3,515","2,939","9,106","8,901","4,323","7,794","16,291"
2021년09월_여_연령구간인구수,"84,469","5,660","3,560","2,613","1,649","3,764","7,375","4,496","2,483","3,515","2,939","9,106","8,901","4,323","7,794","16,291"
2021년09월_여_0~9세,"7,334",321,227,65,23,289,"1,407",220,56,114,176,727,748,257,671,"2,033"
2021년09월_여_10~19세,"8,038",467,314,93,55,373,607,341,120,201,206,938,921,395,986,"2,021"
2021년09월_여_20~29세,"7,656",533,231,98,56,247,682,320,116,247,176,"1,108",821,477,855,"1,689"
2021년09월_여_30~39세,"9,664",473,269,93,63,331,"1,780",346,108,189,223,"1,147",960,367,812,"2,503"
2021년09월_여_40~49세,"12,932",740,518,172,110,504,"1,087",575,207,332,332,"1,555","1,662",676,"1,368","3,094"
2021년09월_여_50~59세,"13,247","1,197",582,382,256,615,786,798,359,604,359,"1,494","1,599",742,"1,211","2,263"
2021년09월_여_60~69세,"11,698",920,582,670,449,611,502,802,599,729,560,"1,106","1,114",711,938,"1,405"
2021년09월_여_70~79세,"7,399",518,414,524,338,418,272,544,466,592,442,570,614,434,539,714
2021년09월_여_80~89세,"5,441",414,359,435,259,307,209,465,383,424,403,374,376,219,349,465
2021년09월_여_90~99세,"1,021",73,57,80,39,68,42,83,68,82,56,84,82,43,63,101
2021년09월_여_100세 이상,39,4,7,1,1,1,1,2,1,1,6,3,4,2,2,3
