,인천광역시 연수구,인천광역시 연수구 옥련1동,인천광역시 연수구 옥련2동,인천광역시 연수구 선학동,인천광역시 연수구 연수1동,인천광역시 연수구 연수2동,인천광역시 연수구 연수3동,인천광역시 연수구 청학동,인천광역시 연수구 동춘1동,인천광역시 연수구 동춘2동,인천광역시 연수구 동춘3동,인천광역시 연수구 송도1동,인천광역시 연수구 송도2동,인천광역시 연수구 송도3동,인천광역시 연수구 송도4동
2020년06월_계_총인구수,"372,566","20,183","21,266","17,689","20,678","21,912","17,058","25,590","26,213","19,112","19,103","36,582","36,673","48,828","41,679"
2020년06월_계_연령구간인구수,"372,566","20,183","21,266","17,689","20,678","21,912","17,058","25,590","26,213","19,112","19,103","36,582","36,673","48,828","41,679"
2020년06월_계_0~9세,"36,886","1,492","1,579",948,"1,060","1,486","1,098","1,393","2,387","1,521","1,669","3,209","4,874","7,319","6,851"
2020년06월_계_10~19세,"41,501","1,980","2,303","1,136","1,711","1,808","1,337","1,842","2,747","2,081","2,888","5,353","6,312","5,877","4,126"
2020년06월_계_20~29세,"50,829","2,851","3,135","2,607","3,337","3,477","2,339","3,642","3,778","2,839","2,591","5,867","3,711","6,045","4,610"
2020년06월_계_30~39세,"55,309","2,457","2,562","2,388","2,735","3,312","2,359","3,122","4,024","2,644","1,920","4,283","4,574","9,636","9,293"
2020년06월_계_40~49세,"66,023","3,232","3,446","2,374","3,452","3,186","2,348","3,870","4,298","3,134","3,477","6,680","8,544","9,926","8,056"
2020년06월_계_50~59세,"62,700","3,826","4,091","3,599","4,082","4,037","3,173","5,340","4,773","3,592","3,431","6,177","5,389","5,931","5,259"
2020년06월_계_60~69세,"35,862","2,356","2,358","2,776","2,566","2,680","2,404","3,697","2,730","2,034","1,822","3,208","2,096","2,670","2,465"
2020년06월_계_70~79세,"15,133","1,310","1,156","1,240","1,175","1,174","1,153","1,726",906,796,840,"1,191",754,"1,004",708
2020년06월_계_80~89세,"7,044",595,537,530,479,639,697,829,460,420,381,500,351,360,266
2020년06월_계_90~99세,"1,227",81,94,87,77,109,145,121,98,49,83,113,67,60,43
2020년06월_계_100세 이상,52,3,5,4,4,4,5,8,12,2,1,1,1,0,2
2020년06월_남_총인구수,"185,258","10,023","10,515","9,153","11,279","10,727","8,130","13,246","12,879","9,357","9,334","18,028","17,991","23,991","20,605"
2020년06월_남_연령구간인구수,"185,258","10,023","10,515","9,153","11,279","10,727","8,130","13,246","12,879","9,357","9,334","18,028","17,991","23,991","20,605"
2020년06월_남_0~9세,"18,806",774,799,503,554,770,564,719,"1,220",779,836,"1,645","2,484","3,698","3,461"
2020년06월_남_10~19세,"21,324","1,037","1,181",584,937,914,704,952,"1,371","1,075","1,482","2,758","3,242","2,998","2,089"
2020년06월_남_20~29세,"26,342","1,542","1,651","1,461","1,874","1,827","1,149","2,021","1,941","1,461","1,360","2,960","1,876","2,932","2,287"
2020년06월_남_30~39세,"27,332","1,253","1,270","1,367","1,631","1,730","1,234","1,803","2,005","1,332",854,"2,005","1,911","4,517","4,420"
2020년06월_남_40~49세,"32,464","1,582","1,681","1,328","1,970","1,554","1,119","2,048","2,042","1,449","1,593","3,074","4,007","4,923","4,094"
2020년06월_남_50~59세,"31,053","1,871","1,975","1,698","2,200","1,887","1,463","2,735","2,259","1,710","1,707","3,108","2,888","2,981","2,571"
2020년06월_남_60~69세,"18,463","1,167","1,203","1,442","1,378","1,354","1,196","1,880","1,430","1,047",959,"1,708","1,109","1,347","1,243"
2020년06월_남_70~79세,"6,933",571,547,570,563,488,484,782,443,364,394,582,338,456,351
2020년06월_남_80~89세,"2,244",201,183,180,155,176,193,274,141,126,128,163,121,121,82
2020년06월_남_90~99세,284,25,23,20,17,26,22,28,24,13,21,25,15,18,7
2020년06월_남_100세 이상,13,0,2,0,0,1,2,4,3,1,0,0,0,0,0
2020년06월_여_총인구수,"187,308","10,160","10,751","8,536","9,399","11,185","8,928","12,344","13,334","9,755","9,769","18,554","18,682","24,837","21,074"
2020년06월_여_연령구간인구수,"187,308","10,160","10,751","8,536","9,399","11,185","8,928","12,344","13,334","9,755","9,769","18,554","18,682","24,837","21,074"
2020년06월_여_0~9세,"18,080",718,780,445,506,716,534,674,"1,167",742,833,"1,564","2,390","3,621","3,390"
2020년06월_여_10~19세,"20,177",943,"1,122",552,774,894,633,890,"1,376","1,006","1,406","2,595","3,070","2,879","2,037"
2020년06월_여_20~29세,"24,487","1,309","1,484","1,146","1,463","1,650","1,190","1,621","1,837","1,378","1,231","2,907","1,835","3,113","2,323"
2020년06월_여_30~39세,"27,977","1,204","1,292","1,021","1,104","1,582","1,125","1,319","2,019","1,312","1,066","2,278","2,663","5,119","4,873"
2020년06월_여_40~49세,"33,559","1,650","1,765","1,046","1,482","1,632","1,229","1,822","2,256","1,685","1,884","3,606","4,537","5,003","3,962"
2020년06월_여_50~59세,"31,647","1,955","2,116","1,901","1,882","2,150","1,710","2,605","2,514","1,882","1,724","3,069","2,501","2,950","2,688"
2020년06월_여_60~69세,"17,399","1,189","1,155","1,334","1,188","1,326","1,208","1,817","1,300",987,863,"1,500",987,"1,323","1,222"
2020년06월_여_70~79세,"8,200",739,609,670,612,686,669,944,463,432,446,609,416,548,357
2020년06월_여_80~89세,"4,800",394,354,350,324,463,504,555,319,294,253,337,230,239,184
2020년06월_여_90~99세,943,56,71,67,60,83,123,93,74,36,62,88,52,42,36
2020년06월_여_100세 이상,39,3,3,4,4,3,3,4,9,1,1,1,1,0,2
