카테고리,전라남도 진도군,전라남도 진도군 진도읍,전라남도 진도군 군내면,전라남도 진도군 고군면,전라남도 진도군 의신면,전라남도 진도군 임회면,전라남도 진도군 지산면,전라남도 진도군 조도면,전라남도 진도군 조도면가사출장소,전라남도 진도군 조도면거차출장소
2020년03월_계_총인구수,"30,564","10,566","3,064","3,692","3,526","3,473","3,263","2,344",278,358
2020년03월_계_연령구간인구수,"30,564","10,566","3,064","3,692","3,526","3,473","3,263","2,344",278,358
2020년03월_계_0~9세,"1,792",889,130,222,137,128,119,116,19,32
2020년03월_계_10~19세,"2,268","1,162",180,245,175,198,132,130,12,34
2020년03월_계_20~29세,"2,446","1,143",198,277,225,232,211,126,19,15
2020년03월_계_30~39세,"2,307","1,080",188,288,216,180,175,138,18,24
2020년03월_계_40~49세,"3,597","1,533",327,406,375,334,262,288,31,41
2020년03월_계_50~59세,"5,124","1,745",532,590,640,611,532,371,44,59
2020년03월_계_60~69세,"5,108","1,393",579,700,675,641,622,403,40,55
2020년03월_계_70~79세,"4,802","1,050",550,553,644,690,740,458,52,65
2020년03월_계_80~89세,"2,755",508,342,357,384,388,417,291,39,29
2020년03월_계_90~99세,349,61,37,49,54,70,51,19,4,4
2020년03월_계_100세 이상,16,2,1,5,1,1,2,4,0,0
2020년03월_남_총인구수,"15,021","5,179","1,541","1,795","1,779","1,650","1,561","1,196",144,176
2020년03월_남_연령구간인구수,"15,021","5,179","1,541","1,795","1,779","1,650","1,561","1,196",144,176
2020년03월_남_0~9세,874,426,61,114,77,57,59,51,12,17
2020년03월_남_10~19세,"1,178",610,91,122,94,104,62,70,9,16
2020년03월_남_20~29세,"1,388",650,120,143,123,123,135,73,10,11
2020년03월_남_30~39세,"1,270",550,120,164,131,101,97,83,10,14
2020년03월_남_40~49세,"2,075",783,189,244,237,210,174,189,21,28
2020년03월_남_50~59세,"2,790",865,320,316,358,325,301,236,30,39
2020년03월_남_60~69세,"2,585",683,298,346,351,327,301,236,21,22
2020년03월_남_70~79세,"2,003",454,234,231,270,289,308,176,21,20
2020년03월_남_80~89세,791,148,101,104,127,102,112,81,9,7
2020년03월_남_90~99세,67,10,7,11,11,12,12,1,1,2
2020년03월_남_100세 이상,0,0,0,0,0,0,0,0,0,0
2020년03월_여_총인구수,"15,543","5,387","1,523","1,897","1,747","1,823","1,702","1,148",134,182
2020년03월_여_연령구간인구수,"15,543","5,387","1,523","1,897","1,747","1,823","1,702","1,148",134,182
2020년03월_여_0~9세,918,463,69,108,60,71,60,65,7,15
2020년03월_여_10~19세,"1,090",552,89,123,81,94,70,60,3,18
2020년03월_여_20~29세,"1,058",493,78,134,102,109,76,53,9,4
2020년03월_여_30~39세,"1,037",530,68,124,85,79,78,55,8,10
2020년03월_여_40~49세,"1,522",750,138,162,138,124,88,99,10,13
2020년03월_여_50~59세,"2,334",880,212,274,282,286,231,135,14,20
2020년03월_여_60~69세,"2,523",710,281,354,324,314,321,167,19,33
2020년03월_여_70~79세,"2,799",596,316,322,374,401,432,282,31,45
2020년03월_여_80~89세,"1,964",360,241,253,257,286,305,210,30,22
2020년03월_여_90~99세,282,51,30,38,43,58,39,18,3,2
2020년03월_여_100세 이상,16,2,1,5,1,1,2,4,0,0
