카테고리,충청북도 음성군,충청북도 음성군 음성읍,충청북도 음성군 금왕읍,충청북도 음성군 소이면,충청북도 음성군 원남면,충청북도 음성군 맹동면,충청북도 음성군 대소면,충청북도 음성군 삼성면,충청북도 음성군 생극면,충청북도 음성군 감곡면
2021년03월_계_총인구수,"92,407","16,799","19,698","2,875","3,015","13,050","15,645","6,882","4,494","9,949"
2021년03월_계_연령구간인구수,"92,407","16,799","19,698","2,875","3,015","13,050","15,645","6,882","4,494","9,949"
2021년03월_계_0~9세,"5,730",881,"1,244",49,62,"1,547","1,051",231,168,497
2021년03월_계_10~19세,"7,534","1,354","1,964",115,133,"1,040","1,545",417,227,739
2021년03월_계_20~29세,"9,314","1,706","2,181",146,163,"1,378","1,789",609,337,"1,005"
2021년03월_계_30~39세,"9,409","1,481","1,919",169,166,"2,339","1,659",543,301,832
2021년03월_계_40~49세,"13,524","2,269","3,256",205,214,"2,206","2,810",852,464,"1,248"
2021년03월_계_50~59세,"17,529","3,173","3,898",520,520,"1,821","3,228","1,541",898,"1,930"
2021년03월_계_60~69세,"15,695","3,167","2,895",722,818,"1,544","2,079","1,447","1,060","1,963"
2021년03월_계_70~79세,"8,213","1,729","1,431",533,523,720,897,738,586,"1,056"
2021년03월_계_80~89세,"4,706",900,801,359,352,382,513,438,381,580
2021년03월_계_90~99세,735,138,105,55,62,73,74,62,69,97
2021년03월_계_100세 이상,18,1,4,2,2,0,0,4,3,2
2021년03월_남_총인구수,"48,982","8,587","10,525","1,478","1,572","6,952","8,541","3,826","2,433","5,068"
2021년03월_남_연령구간인구수,"48,982","8,587","10,525","1,478","1,572","6,952","8,541","3,826","2,433","5,068"
2021년03월_남_0~9세,"2,989",455,651,26,28,821,545,136,87,240
2021년03월_남_10~19세,"3,904",680,"1,059",64,85,518,807,219,115,357
2021년03월_남_20~29세,"5,439",975,"1,312",85,96,726,"1,080",381,220,564
2021년03월_남_30~39세,"5,280",818,"1,072",110,93,"1,253",959,333,187,455
2021년03월_남_40~49세,"7,590","1,231","1,780",135,146,"1,223","1,548",546,287,694
2021년03월_남_50~59세,"9,774","1,681","2,213",287,283,"1,005","1,859",890,526,"1,030"
2021년03월_남_60~69세,"8,334","1,614","1,498",383,452,881,"1,138",807,562,999
2021년03월_남_70~79세,"3,886",795,630,246,263,358,422,363,296,513
2021년03월_남_80~89세,"1,609",302,281,131,112,150,163,138,138,194
2021년03월_남_90~99세,172,36,28,11,14,17,20,11,14,21
2021년03월_남_100세 이상,5,0,1,0,0,0,0,2,1,1
2021년03월_여_총인구수,"43,425","8,212","9,173","1,397","1,443","6,098","7,104","3,056","2,061","4,881"
2021년03월_여_연령구간인구수,"43,425","8,212","9,173","1,397","1,443","6,098","7,104","3,056","2,061","4,881"
2021년03월_여_0~9세,"2,741",426,593,23,34,726,506,95,81,257
2021년03월_여_10~19세,"3,630",674,905,51,48,522,738,198,112,382
2021년03월_여_20~29세,"3,875",731,869,61,67,652,709,228,117,441
2021년03월_여_30~39세,"4,129",663,847,59,73,"1,086",700,210,114,377
2021년03월_여_40~49세,"5,934","1,038","1,476",70,68,983,"1,262",306,177,554
2021년03월_여_50~59세,"7,755","1,492","1,685",233,237,816,"1,369",651,372,900
2021년03월_여_60~69세,"7,361","1,553","1,397",339,366,663,941,640,498,964
2021년03월_여_70~79세,"4,327",934,801,287,260,362,475,375,290,543
2021년03월_여_80~89세,"3,097",598,520,228,240,232,350,300,243,386
2021년03월_여_90~99세,563,102,77,44,48,56,54,51,55,76
2021년03월_여_100세 이상,13,1,3,2,2,0,0,2,2,1
