,경상남도 산청군,경상남도 산청군 산청읍,경상남도 산청군 차황면,경상남도 산청군 오부면,경상남도 산청군 생초면,경상남도 산청군 금서면,경상남도 산청군 삼장면,경상남도 산청군 시천면,경상남도 산청군 단성면,경상남도 산청군 신안면,경상남도 산청군 생비량면,경상남도 산청군 신등면
2021년12월_계_총인구수,"34,360","6,736","1,412","1,054","1,986","2,870","1,812","4,093","5,628","5,557","1,155","2,057"
2021년12월_계_연령구간인구수,"34,360","6,736","1,412","1,054","1,986","2,870","1,812","4,093","5,628","5,557","1,155","2,057"
2021년12월_계_0~9세,"1,175",348,40,33,39,80,24,98,162,288,28,35
2021년12월_계_10~19세,"2,006",542,38,46,86,155,70,272,201,449,45,102
2021년12월_계_20~29세,"2,261",603,53,36,96,156,91,271,338,481,45,91
2021년12월_계_30~39세,"1,935",576,56,38,72,169,64,188,266,386,50,70
2021년12월_계_40~49세,"3,291",792,99,91,121,253,132,424,511,619,86,163
2021년12월_계_50~59세,"6,304","1,132",245,159,304,524,382,880,"1,117","1,047",171,343
2021년12월_계_60~69세,"7,797","1,220",358,225,471,617,475,983,"1,463","1,175",311,499
2021년12월_계_70~79세,"5,162",854,261,193,404,471,326,558,877,595,225,398
2021년12월_계_80~89세,"3,809",560,227,197,338,373,220,363,595,457,164,315
2021년12월_계_90~99세,606,107,34,35,54,70,27,54,95,59,30,41
2021년12월_계_100세 이상,14,2,1,1,1,2,1,2,3,1,0,0
2021년12월_남_총인구수,"16,931","3,276",698,509,960,"1,410",889,"2,045","2,836","2,726",557,"1,025"
2021년12월_남_연령구간인구수,"16,931","3,276",698,509,960,"1,410",889,"2,045","2,836","2,726",557,"1,025"
2021년12월_남_0~9세,601,169,23,14,27,48,15,46,93,139,11,16
2021년12월_남_10~19세,"1,083",285,26,27,50,82,46,156,102,224,23,62
2021년12월_남_20~29세,"1,296",339,28,19,60,88,50,155,209,271,27,50
2021년12월_남_30~39세,"1,048",302,35,18,42,91,39,93,156,202,29,41
2021년12월_남_40~49세,"1,816",400,54,59,84,145,75,225,301,312,57,104
2021년12월_남_50~59세,"3,452",593,155,100,179,300,194,477,594,543,106,211
2021년12월_남_60~69세,"4,068",628,187,119,242,319,250,488,779,626,158,272
2021년12월_남_70~79세,"2,312",379,118,80,162,208,143,260,411,274,97,180
2021년12월_남_80~89세,"1,133",162,63,66,102,111,73,128,181,127,43,77
2021년12월_남_90~99세,120,19,9,7,11,18,4,16,10,8,6,12
2021년12월_남_100세 이상,2,0,0,0,1,0,0,1,0,0,0,0
2021년12월_여_총인구수,"17,429","3,460",714,545,"1,026","1,460",923,"2,048","2,792","2,831",598,"1,032"
2021년12월_여_연령구간인구수,"17,429","3,460",714,545,"1,026","1,460",923,"2,048","2,792","2,831",598,"1,032"
2021년12월_여_0~9세,574,179,17,19,12,32,9,52,69,149,17,19
2021년12월_여_10~19세,923,257,12,19,36,73,24,116,99,225,22,40
2021년12월_여_20~29세,965,264,25,17,36,68,41,116,129,210,18,41
2021년12월_여_30~39세,887,274,21,20,30,78,25,95,110,184,21,29
2021년12월_여_40~49세,"1,475",392,45,32,37,108,57,199,210,307,29,59
2021년12월_여_50~59세,"2,852",539,90,59,125,224,188,403,523,504,65,132
2021년12월_여_60~69세,"3,729",592,171,106,229,298,225,495,684,549,153,227
2021년12월_여_70~79세,"2,850",475,143,113,242,263,183,298,466,321,128,218
2021년12월_여_80~89세,"2,676",398,164,131,236,262,147,235,414,330,121,238
2021년12월_여_90~99세,486,88,25,28,43,52,23,38,85,51,24,29
2021년12월_여_100세 이상,12,2,1,1,0,2,1,1,3,1,0,0
